field_g,m0_0,m2_0,m2_1,m4_0,m4_1,m4_2
450.0,-0.09735388701402704,1.788238494786975,1.8421079300654035,3.5931567689565727,3.6484706048796123,3.69559257213068
451.27777777777777,-0.0969896581129939,1.7885822258068234,1.8421284279465882,3.593291333062132,3.6486816639529986,3.6956111778527676
452.55555555555554,-0.0966231061579241,1.7889278818339156,1.8421493238745659,3.5934256726612683,3.648894932123122,3.6956301220385774
453.8333333333333,-0.09625421036591503,1.7892754723581845,1.842170629142306,3.593559780074921,3.6491104288547183,3.695649413685338
455.1111111111111,-0.09588294973229258,1.7896250066747885,1.8421923554593245,3.593693647622847,3.6493281735242906,3.695669062101462
456.3888888888889,-0.09550930302827007,1.7899764938677636,1.842214514970372,3.593827267626503,3.649548185406458,3.695689076919661
457.6666666666667,-0.09513324879859644,1.7903299427927168,1.8422371202750922,3.593960632411964,3.6497704836596316,3.6957094681107
458.94444444444446,-0.09475476535919464,1.7906853620584953,1.8422601844487156,3.5940937343128656,3.6499950873110074,3.6957302459978245
460.22222222222223,-0.09437383079479122,1.791042760007774,1.8422837210638403,3.5942265656733725,3.650222015240814,3.6957514212719147
461.5,-0.09399042295653787,1.7914021446964972,1.8423077442133704,3.5943591188511754,3.6504512861657883,3.6957730050073905
462.77777777777777,-0.09360451945962558,1.7917635238721032,1.8423322685346766,3.594491386220501,3.6506829186218566,3.695795008678909
464.05555555555554,-0.09321609768089342,1.7921269049504562,1.8423573092350558,3.594623360175143,3.6509169309459373,3.6958174441789184
465.3333333333333,-0.09282513475643148,1.7924922949914153,1.8423828821185588,3.5947550331315075,3.651153341256859,3.695840323836094
466.6111111111111,-0.09243160757918079,1.7928597006729448,1.84240900361428,3.5948863975316683,3.65139216743533,3.6958636604347133
467.8888888888889,-0.09203549279653025,1.7932291282636912,1.842435690806184,3.5950174458464246,3.6516334271028965,3.695887467235041
469.1666666666667,-0.09163676680791254,1.7936005835939197,1.8424629614645733,3.595148170578376,3.6518771375998624,3.6959117579947414
470.44444444444446,-0.09123540576239954,1.7939740720247215,1.8424908340792845,3.5952785642649823,3.6521233159620823,3.6959365469914283
471.72222222222223,-0.0908313855563004,1.7943495984153757,1.8425193278947294,3.5954086194816357,3.6523719788965825,3.6959618490463737
473.0,-0.09042468183076152,1.7947271670887601,1.8425484629468838,3.5955383288447162,3.652623142755949,3.6959876795494653
474.27777777777777,-0.09001526996937224,1.795106781794687,1.8425782601023462,3.595667685014643,3.6528768235113955,3.6960140544854814
475.55555555555554,-0.08960312509577624,1.795488445671037,1.8426087410995924,3.5957966806989115,3.6531330367244474,3.696040990461757
476.8333333333333,-0.0891882220712918,1.7958721612025526,1.8426399285925612,3.5959253086551164,3.6533917975171644,3.69606850473732
478.1111111111111,-0.0887705354925419,1.7962579301771557,1.8426718461967078,3.596053561693949,3.653653120540814,3.6960966152535875
