coordinate_um,x_profile,y_profile
-300.0,0.0,0.0
-299.0,0.0,0.0
-298.0,0.0,0.0
-297.0,0.0,0.0
-296.0,0.0,0.0
-295.0,0.0,0.0
-294.0,0.0,0.0
-293.0,0.0,0.0
-292.0,0.0,0.0
-291.0,0.0,0.0
-290.0,0.0,0.0
-289.0,0.0,0.0
-288.0,0.0,0.0
-287.0,0.0,0.0
-286.0,0.0,0.0
-285.0,0.0,0.0
-284.0,0.0,0.0
-283.0,0.0,0.0
-282.0,0.0,0.0
-281.0,0.0,0.0
-280.0,0.0,0.0
-279.0,0.0,0.0
-278.0,0.0,0.0
-277.0,0.0,0.0
-276.0,0.0,0.0
-275.0,0.0,0.0
-274.0,0.0,0.0
-273.0,0.0,0.0
-272.0,0.0,0.0
-271.0,0.0,0.0
-270.0,0.0,0.0
-269.0,0.0,0.0
-268.0,0.0,0.0
-267.0,0.0,0.0
-266.0,0.0,0.0
-265.0,0.0,0.0
-264.0,0.0,0.0
-263.0,0.0,0.0
-262.0,0.0,0.0
-261.0,0.0,1.63e-322
-260.0,0.0,4.6625e-320
-259.0,0.0,1.3190836e-317
-258.0,0.0,3.651709865e-315
-257.0,0.0,9.89173462076e-313
-256.0,0.0,2.62180853898855e-310
-255.0,0.0,6.799575747803141e-308
-254.0,0.0,1.7255000821864863e-305
-253.0,0.0,4.284503262627333e-303
-252.0,0.0,1.0409701996081829e-300
-251.0,0.0,2.474733523335973e-298
-250.0,0.0,5.756664394026784e-296
-249.0,0.0,1.310284811571229e-293
-248.0,0.0,2.918185046868022e-291
-247.0,0.0,6.359343354965522e-289
-246.0,0.0,1.3560136022443495e-286
-245.0,0.0,2.829229275503285e-284
-244.0,0.0,5.7759651751783385e-282
-243.0,0.0,1.1538073849941478e-279
-242.0,0.0,2.2552484244057957e-277
-241.0,0.0,4.313281347168315e-275
-240.0,0.0,8.071857976721823e-273
-239.0,0.0,1.4780582915766458e-270
-238.0,0.0,2.6482680296491655e-268
-237.0,0.0,4.642849849646464e-266
-236.0,0.0,7.964521065875636e-264
-235.0,0.0,1.3368633500152656e-261
-234.0,0.0,2.1956681129432903e-259
-233.0,0.0,3.528569677624004e-257
-232.0,0.0,5.548594999647258e-255
-231.0,0.0,8.537283040909365e-253
-230.0,0.0,1.285312287551302e-250
-229.0,0.0,1.893433096846121e-248
-228.0,0.0,2.729251731645046e-246
-227.0,0.0,3.849369051330676e-244
-226.0,0.0,5.312364080114575e-242
-225.0,0.0,7.173621167280735e-240
-224.0,0.0,9.478538324500627e-238
-223.0,0.0,1.2254529116928923e-235
-222.0,0.0,1.5502588209499707e-233
-221.0,0.0,1.9189520360359274e-231
-220.0,0.0,2.3242152894135007e-229
-219.0,0.0,2.7544881814244716e-227
-218.0,0.0,3.194168322121228e-225
-217.0,0.0,3.6243239484716164e-223
-216.0,0.0,4.0239126506397115e-221
-215.0,0.0,4.371418703144788e-219
-214.0,0.0,4.646742353273211e-217
-213.0,0.0,4.833114736510058e-215
-212.0,0.0,4.918786167673385e-213
-211.0,0.0,4.898251795414687e-211
-210.0,0.0,4.7728369154946343e-209
-209.0,0.0,4.550555434651345e-207
-208.0,0.0,4.245262495641847e-205
-207.0,0.0,3.8752258111825323e-203
-206.0,0.0,3.46132042192494e-201
-205.0,0.0,3.0250943246743175e-199
-204.0,0.0,2.586951950980445e-197
-203.0,0.0,2.164662179940939e-195
-202.0,0.0,1.7723285027321026e-193
-201.0,0.0,1.4198767239736457e-191
-200.0,0.0,1.1130364406186884e-189
-199.0,0.0,8.537298219655135e-188
-198.0,0.0,6.407429649909804e-186
-197.0,0.0,4.7054327016801013e-184
-196.0,0.0,3.381174708202291e-182
-195.0,0.0,2.3773218527654757e-180
-194.0,0.0,1.6355381498401752e-178
-193.0,0.0,1.1009958968360622e-176
-192.0,0.0,7.252087703911829e-175
-191.0,0.0,4.674043181077546e-173
-190.0,0.0,2.9476418805797664e-171
-189.0,0.0,1.8189009174635023e-169
-188.0,0.0,1.0982360388610358e-167
-187.0,0.0,6.488355926666383e-166
-186.0,0.0,3.7508177764007716e-164
-185.0,0.0,2.1216297232851243e-162
-184.0,0.0,1.1742634465698501e-160
-183.0,0.0,6.359365967999485e-159
-182.0,0.0,3.3698798774073784e-157
-181.0,0.0,1.7472994799477209e-155
-180.0,0.0,8.864874679471933e-154
-179.0,0.0,4.400785274541228e-152
-178.0,0.0,2.1376671456360844e-150
-177.0,0.0,1.01602012811397e-148
-176.0,0.0,4.7251637814569115e-147
-175.0,0.0,2.150224205964223e-145
-174.0,0.0,9.57421007014091e-144
-173.0,0.0,4.171329370302481e-142
-172.0,0.0,1.7782726124729487e-140
-171.0,0.0,7.417789791116392e-139
-170.0,0.0,3.027631600149672e-137
-169.0,0.0,1.209160251909382e-135
-168.0,0.0,4.725165461663797e-134
-167.0,0.0,1.80676847708902e-132
-166.0,2.347e-321,6.759900665118644e-131
-165.0,1.6680936e-317,2.4747449631404912e-129
-164.0,1.1228337721e-313,8.86488098394171e-128
-163.0,7.16373458062084e-310,3.1071891743324166e-126
-162.0,4.332039538514401e-306,1.0656505327057115e-124
-161.0,2.4829858347660677e-302,3.5761377827903474e-123
-160.0,1.3489162210320269e-298,1.1742646992287978e-121
-159.0,6.945837482023269e-295,3.77285481277031e-120
-158.0,3.389948987482368e-291,1.1861142023500423e-118
-157.0,1.5681608721630538e-287,3.648675535435283e-117
-156.0,6.875700785559998e-284,1.098237600935707e-115
-155.0,2.8574078241028695e-280,3.2345189385714803e-114
-154.0,1.1255282378357397e-276,9.321276984481765e-113
-153.0,4.202129827261714e-273,2.6284120759278737e-111
-152.0,1.4870016208796088e-269,7.252100597661485e-110
-151.0,4.98749327209243e-266,1.957881988913207e-108
-150.0,1.585557911052461e-262,5.172035868679111e-107
-149.0,4.7776111537908667e-259,1.3368690544810232e-105
-148.0,1.364483838609472e-255,3.3811819220193515e-104
-147.0,3.6936428289263135e-252,8.367592684992059e-103
-146.0,9.476987409850835e-249,2.0262118473096596e-101
-145.0,2.3047011316103255e-245,4.800887117518218e-100
-144.0,5.312364080114575e-242,1.1130392110906895e-98
-143.0,1.1606197406214781e-238,2.524944052346583e-97
-142.0,2.4033719030833236e-235,5.604609777594803e-96
-141.0,4.717163303948195e-232,1.217282353438001e-94
-140.0,8.775457114312233e-229,2.5869593100814192e-93
-139.0,1.5473461903963175e-225,5.3794787321678584e-92
-138.0,2.5860334429623682e-222,1.0945689328112877e-90
-137.0,4.096469153331877e-219,2.1792063984132826e-89
-136.0,6.150552728194813e-216,4.245276081702547e-88
