time_ms,ground_occupation
0.0,2.0
0.025,1.998368406093081
0.05,1.9934807233021299
0.07500000000000001,1.9853582175297082
0.1,1.9740362291249554
0.125,1.959564019120659
0.15000000000000002,1.9420045549025862
0.17500000000000002,1.9214342362436088
0.2,1.8979425628946265
0.225,1.8716317451785716
0.25,1.8426162592817679
0.275,1.811022349177537
0.30000000000000004,1.7769874773491368
0.325,1.740659726701896
0.35000000000000003,1.7021971562667686
0.375,1.6617671134985987
0.4,1.6195455061612187
0.42500000000000004,1.5757160369673535
0.45,1.5304694043033504
0.47500000000000003,1.4840024725163112
0.5,1.4365174153736413
0.525,1.38822083642175
0.55,1.3393228700711524
0.5750000000000001,1.2900362673190704
0.6000000000000001,1.2405754700874856
0.625,1.1911556782041166
0.65,1.141991913085811
0.675,1.0932980821981912
0.7000000000000001,1.0452860483620063
0.7250000000000001,0.9981647079555646
0.75,0.9521390820239146
0.775,0.9074094242492756
0.8,0.8641703496638704
0.8250000000000001,0.8226099878960571
0.8500000000000001,0.7829091646339157
0.875,0.7452406148676702
0.9,0.7097682313340701
0.925,0.6766463514326814
0.9500000000000001,0.6460190857166586
0.9750000000000001,0.618019690879676
1.0,0.5927699899671025
1.0250000000000001,0.5703798423340327
1.05,0.5509466656563418
1.075,0.534555012074455
1.1,0.5212762003139946
1.125,0.5111680053839196
1.1500000000000001,0.5042744072022508
1.175,0.5006253992430949
1.2000000000000002,0.500236858037525
1.225,0.5031104740961108
1.25,0.5092337445536467
1.2750000000000001,0.5185800275680824
1.3,0.5311086582369681
1.3250000000000002,0.5467651255270732
1.35,0.5654813094473728
1.375,0.5871757774334797
1.4000000000000001,0.611754138653981
1.425,0.6391094546971178
1.4500000000000002,0.6691227048509496
1.475,0.7016633039526018
1.5,0.7365896705534833
1.5250000000000001,0.7737498429284295
1.55,0.8129821402485676
1.5750000000000002,0.8541158660412
1.6,0.8969720508760001
1.625,0.9413642310461681
1.6500000000000001,0.9870992598565557
1.675,1.0339781479889227
1.7000000000000002,1.081796929287964
1.725,1.1303475482011354
1.75,1.1794187650111139
1.7750000000000001,1.228797074922295
1.8,1.2782676370024504
1.8250000000000002,1.3276152089378166
1.85,1.3766250835345504
1.875,1.4250840228919286
1.9000000000000001,1.472781186182776
1.925,1.5195090470044175
1.9500000000000002,1.5650642963088544
1.975,1.6092487269835707
2.0,1.651870096234247
2.025,1.69274296201722
2.0500000000000003,1.7316894898824382
2.075,1.7685402267164045
2.1,1.8031348380186303
2.125,1.835322805503747
2.15,1.8649640819940885
2.1750000000000003,1.8919297007533498
2.2,1.9161023366101582
2.225,1.9373768164301732
2.25,1.955660576715669
2.275,1.9708740663416386
2.3000000000000003,1.9829510926761449
2.325,1.9918391095789714
2.35,1.9974994460255224
2.375,1.9999074743612455
2.4000000000000004,1.999052717454513
2.4250000000000003,1.9949388942817547
2.45,1.9875839037464973
2.475,1.9770197468027222
2.5,1.9632923872213655
2.5250000000000004,1.946461551605763
2.5500000000000003,1.9266004695261523
2.575,1.9037955549038816
2.6,1.8781460300316066
2.625,1.8497634938653185
2.6500000000000004,1.8187714364665415
2.6750000000000003,1.7853047017073163
2.7,1.7495089005756888
2.725,1.711539777634379
2.75,1.6715625333890989
2.7750000000000004,1.6297511055148495
2.8000000000000003,1.5862874120675245
2.825,1.5413605599735247
2.85,1.4951660222412075
2.875,1.4479047874740307
2.9000000000000004,1.3997824853858054
2.9250000000000003,1.3510084921228651
2.95,1.3017950192858048
2.975,1.2523561906144105
3.0,1.2029071103530156
3.0250000000000004,1.1536629273497732
3.0500000000000003,1.1048378989618548
3.075,1.0566444588394555
3.1,1.0092922926445937
3.125,0.9629874257261839
3.1500000000000004,0.9179313267208241
3.1750000000000003,0.8743200309794682
3.2,0.8323432876338599
3.225,0.7921837340137983
3.25,0.7540161010072616
3.2750000000000004,0.7180064528207944
3.3000000000000003,0.6843114644479222
3.325,0.6530777399892385
3.35,0.6244411747901222
3.375,0.5985263641713573
3.4000000000000004,0.5754460613252219
3.4250000000000003,0.5553006867357004
3.45,0.538177891257279
3.475,0.524152174753351
3.5,0.5132845619534836
3.5250000000000004,0.5056223369398822
3.5500000000000003,0.5011988374182688
3.575,0.5000333096682876
3.6,0.5021308248045395
3.625,0.5074822567125816
3.6500000000000004,0.5160643217558958
3.6750000000000003,0.527839680081059
3.7,0.5427570980803516
3.725,0.5607516713049338
3.75,0.5817451068587236
3.7750000000000004,0.6056460640442957
3.8000000000000003,0.6323505517786792
3.825,0.6617423810499419
3.85,0.6936936704459447
3.875,0.728065402555763
3.9000000000000004,0.7647080288229162
3.9250000000000003,0.8034621202187329
3.95,0.8441590609048429
3.975,0.8866217818667009
4.0,0.9306655313261945
4.025,0.9760986785813089
4.05,1.0227235477754177
4.075,1.0703372779685576
4.1000000000000005,1.1187327057685428
4.125,1.1676992666817156
4.15,1.2170239112616004
4.175,1.2664920320693775
4.2,1.3158883974130569
4.2250000000000005,1.364998087802721
4.25,1.4136074310474056
4.275,1.4615049319250968
4.3,1.5084821923808858
4.325,1.5543348182496488
4.3500000000000005,1.5988633085580934
4.375,1.641873923536961
4.4,1.6831795275666999
4.425,1.7226004033890256
4.45,1.759965034041814
4.4750000000000005,1.7951108491151773
4.5,1.827884932081841
4.525,1.8581446856242798
4.55,1.8857584520638113
4.575,1.910606086192252
4.6000000000000005,1.9325794780137466
4.625,1.9515830231224003
4.65,1.9675340386691225
4.675,1.9803631231078462
4.7,1.990014458155901
4.7250000000000005,1.9964460516547313
4.75,1.9996299202742986
4.775,1.9995522112662296
4.800000000000001,1.9962132627359752
4.825,1.9896276021717418
4.8500000000000005,1.979823883236595
4.875,1.966844761098748
4.9,1.950746706842459
4.925000000000001,1.9315997617670302
4.95,1.9094872326429175
4.9750000000000005,1.8845053292508815
5.0,1.8567627457812117
5.025,1.826380187914308
5.050000000000001,1.793489847640285
5.075,1.758234828102578
5.1000000000000005,1.720768520968026
5.125,1.68125393903246
5.15,1.6398630069655322
