n,field_v_per_cm,branch,spin_projection,magnetic_label,shift_khz
20,0.001,lower_mf0,-0.5,0,-812.5810121318234
20,0.0030025062656641606,lower_mf0,-0.5,0,-1257.8829124855235
20,0.005005012531328321,lower_mf0,-0.5,0,-1731.237676163131
20,0.007007518796992482,lower_mf0,-0.5,0,-1857.112056104256
20,0.009010025062656642,lower_mf0,-0.5,0,-1952.295098539105
20,0.011012531328320804,lower_mf0,-0.5,0,-2027.318712661978
20,0.013015037593984966,lower_mf0,-0.5,0,-2088.2335179746674
20,0.015017543859649124,lower_mf0,-0.5,0,-2138.7330783969524
20,0.017020050125313286,lower_mf0,-0.5,0,-2181.219949586148
20,0.019022556390977448,lower_mf0,-0.5,0,-2217.3505426486427
20,0.021025062656641606,lower_mf0,-0.5,0,-2248.325523893921
20,0.023027568922305768,lower_mf0,-0.5,0,-2275.0513691008614
20,0.02503007518796993,lower_mf0,-0.5,0,-2298.2342954666697
20,0.02703258145363409,lower_mf0,-0.5,0,-2318.437509633018
20,0.02903508771929825,lower_mf0,-0.5,0,-2336.1178753652125
20,0.03103759398496241,lower_mf0,-0.5,0,-2351.650599269857
20,0.03304010025062657,lower_mf0,-0.5,0,-2365.3466420699665
20,0.03504260651629073,lower_mf0,-0.5,0,-2377.4655051982686
20,0.037045112781954895,lower_mf0,-0.5,0,-2388.2249336653294
20,0.03904761904761905,lower_mf0,-0.5,0,-2397.8084665204847
20,0.04105012531328321,lower_mf0,-0.5,0,-2406.3714228882077
20,0.04305263157894738,lower_mf0,-0.5,0,-2414.045712379524
20,0.045055137844611536,lower_mf0,-0.5,0,-2420.9437388642223
20,0.047057644110275694,lower_mf0,-0.5,0,-2427.161591430284
20,0.04906015037593986,lower_mf0,-0.5,0,-2432.7816670206407
20,0.05106265664160402,lower_mf0,-0.5,0,-2437.8748353615865
20,0.053065162907268176,lower_mf0,-0.5,0,-2442.502232562558
20,0.055067669172932335,lower_mf0,-0.5,0,-2446.71675181913
20,0.0570701754385965,lower_mf0,-0.5,0,-2450.5642859932036
20,0.05907268170426066,lower_mf0,-0.5,0,-2454.0847662361475
20,0.06107518796992482,lower_mf0,-0.5,0,-2457.313032459921
20,0.06307769423558898,lower_mf0,-0.5,0,-2460.279564800927
20,0.06508020050125314,lower_mf0,-0.5,0,-2463.011099879248
20,0.0670827067669173,lower_mf0,-0.5,0,-2465.531151344706
20,0.06908521303258146,lower_mf0,-0.5,0,-2467.860450711769
20,0.07108771929824562,lower_mf0,-0.5,0,-2470.0173216498565
20,0.07309022556390979,lower_mf0,-0.5,0,-2472.0179985870163
20,0.07509273182957395,lower_mf0,-0.5,0,-2473.8768986007453
20,0.0770952380952381,lower_mf0,-0.5,0,-2475.6068540291753
20,0.07909774436090226,lower_mf0,-0.5,0,-2477.219311972379
20,0.08110025062656642,lower_mf0,-0.5,0,-2478.724505817686
20,0.08310275689223058,lower_mf0,-0.5,0,-2480.131603069443
20,0.08510526315789475,lower_mf0,-0.5,0,-2481.448833060619
20,0.08710776942355891,lower_mf0,-0.5,0,-2482.683597543023
20,0.08911027568922307,lower_mf0,-0.5,0,-2483.842566672248
20,0.09111278195488723,lower_mf0,-0.5,0,-2484.931762504142
20,0.09311528822055139,lower_mf0,-0.5,0,-2485.9566317889444
20,0.09511779448621555,lower_mf0,-0.5,0,-2486.922109572218
20,0.09712030075187972,lower_mf0,-0.5,0,-2487.8326748817476
20,0.09912280701754388,lower_mf0,-0.5,0,-2488.6923995861916
20,0.10112531328320803,lower_mf0,-0.5,0,-2489.5049913503303
20,0.1031278195488722,lower_mf0,-0.5,0,-2490.2738314743224
20,0.10513032581453635,lower_mf0,-0.5,0,-2491.0020082913575
20,0.10713283208020051,lower_mf0,-0.5,0,-2491.69234670099
20,0.10913533834586467,lower_mf0,-0.5,0,-2492.3474343333573
20,0.11113784461152884,lower_mf0,-0.5,0,-2492.9696447702563
20,0.113140350877193,lower_mf0,-0.5,0,-2493.561158190688
20,0.11514285714285716,lower_mf0,-0.5,0,-2494.123979758365
20,0.11714536340852132,lower_mf0,-0.5,0,-2494.659956024944
20,0.11914786967418547,lower_mf0,-0.5,0,-2495.170789587568
20,0.12115037593984963,lower_mf0,-0.5,0,-2495.6580522075465
