model,x,center_khz,band_khz
quadratic_stark,0.0,-0.0,0.0
quadratic_stark,0.00425,-5.41875e-06,6.321875e-05
quadratic_stark,0.0085,-2.1675e-05,0.000252875
quadratic_stark,0.012750000000000001,-4.876875000000001e-05,0.0005689687500000001
quadratic_stark,0.017,-8.67e-05,0.0010115
quadratic_stark,0.02125,-0.00013546875,0.0015804687500000003
quadratic_stark,0.025500000000000002,-0.00019507500000000004,0.0022758750000000006
quadratic_stark,0.029750000000000002,-0.00026551875,0.00309771875
quadratic_stark,0.034,-0.0003468,0.004046
quadratic_stark,0.038250000000000006,-0.0004389187500000001,0.005120718750000001
quadratic_stark,0.0425,-0.000541875,0.006321875000000001
quadratic_stark,0.04675,-0.00065566875,0.00764946875
quadratic_stark,0.051000000000000004,-0.0007803000000000002,0.009103500000000002
quadratic_stark,0.05525000000000001,-0.0009157687500000002,0.010683968750000003
quadratic_stark,0.059500000000000004,-0.001062075,0.012390875
quadratic_stark,0.06375,-0.00121921875,0.01422421875
quadratic_stark,0.068,-0.0013872,0.016184
quadratic_stark,0.07225000000000001,-0.0015660187500000004,0.018270218750000004
quadratic_stark,0.07650000000000001,-0.0017556750000000004,0.020482875000000005
quadratic_stark,0.08075,-0.00195616875,0.02282196875
quadratic_stark,0.085,-0.0021675,0.025287500000000004
quadratic_stark,0.08925000000000001,-0.0023896687500000006,0.027879468750000008
quadratic_stark,0.0935,-0.002622675,0.030597875
quadratic_stark,0.09775,-0.0028665187500000002,0.03344271875
quadratic_stark,0.10200000000000001,-0.0031212000000000006,0.03641400000000001
quadratic_stark,0.10625000000000001,-0.0033867187500000004,0.03951171875000001
quadratic_stark,0.11050000000000001,-0.003663075000000001,0.04273587500000001
quadratic_stark,0.11475,-0.00395026875,0.04608646875
quadratic_stark,0.11900000000000001,-0.0042483,0.0495635
quadratic_stark,0.12325000000000001,-0.004557168750000001,0.05316696875000001
quadratic_stark,0.1275,-0.004876875,0.056896875
quadratic_stark,0.13175,-0.00520741875,0.060753218750000004
quadratic_stark,0.136,-0.0055488,0.064736
quadratic_stark,0.14025,-0.005901018750000001,0.06884521875000002
quadratic_stark,0.14450000000000002,-0.006264075000000002,0.07308087500000002
quadratic_stark,0.14875000000000002,-0.0066379687500000015,0.07744296875000002
quadratic_stark,0.15300000000000002,-0.0070227000000000015,0.08193150000000002
quadratic_stark,0.15725,-0.00741826875,0.08654646875000001
quadratic_stark,0.1615,-0.007824675,0.091287875
quadratic_stark,0.16575,-0.00824191875,0.09615571875000001
quadratic_stark,0.17,-0.00867,0.10115000000000002
quadratic_stark,0.17425000000000002,-0.009108918750000002,0.10627071875000002
quadratic_stark,0.17850000000000002,-0.009558675000000003,0.11151787500000003
quadratic_stark,0.18275000000000002,-0.010019268750000001,0.11689146875000002
quadratic_stark,0.187,-0.0104907,0.1223915
quadratic_stark,0.19125,-0.01097296875,0.12801796875
quadratic_stark,0.1955,-0.011466075000000001,0.133770875
quadratic_stark,0.19975,-0.011970018750000002,0.13965021875000003
quadratic_stark,0.20400000000000001,-0.012484800000000002,0.14565600000000004
quadratic_stark,0.20825000000000002,-0.01301041875,0.15178821875
quadratic_stark,0.21250000000000002,-0.013546875000000002,0.15804687500000003
quadratic_stark,0.21675000000000003,-0.014094168750000002,0.16443196875000005
quadratic_stark,0.22100000000000003,-0.014652300000000004,0.17094350000000005
quadratic_stark,0.22525,-0.01522126875,0.17758146875
quadratic_stark,0.2295,-0.015801075,0.184345875
quadratic_stark,0.23375,-0.016391718750000003,0.19123671875000003
quadratic_stark,0.23800000000000002,-0.0169932,0.198254
quadratic_stark,0.24225000000000002,-0.017605518750000004,0.20539771875000004
quadratic_stark,0.24650000000000002,-0.018228675000000003,0.21266787500000003
quadratic_stark,0.25075000000000003,-0.018862668750000002,0.22006446875000002
quadratic_stark,0.255,-0.0195075,0.2275875
quadratic_stark,0.25925000000000004,-0.020163168750000005,0.23523696875000005
quadratic_stark,0.2635,-0.020829675,0.24301287500000002
quadratic_stark,0.26775000000000004,-0.021507018750000006,0.2509152187500001
quadratic_stark,0.272,-0.0221952,0.258944
quadratic_stark,0.27625,-0.02289421875,0.26709921875
quadratic_stark,0.2805,-0.023604075000000006,0.2753808750000001
quadratic_stark,0.28475,-0.02432476875,0.28378896875
quadratic_stark,0.28900000000000003,-0.025056300000000007,0.29232350000000007
quadratic_stark,0.29325,-0.025798668750000003,0.30098446875000007
quadratic_stark,0.29750000000000004,-0.026551875000000006,0.3097718750000001
quadratic_stark,0.30175,-0.027315918750000005,0.31868571875000007
quadratic_stark,0.30600000000000005,-0.028090800000000006,0.3277260000000001
quadratic_stark,0.31025,-0.028876518750000003,0.33689271875000004
quadratic_stark,0.3145,-0.029673075,0.34618587500000003
quadratic_stark,0.31875000000000003,-0.030480468750000003,0.3556054687500001
quadratic_stark,0.323,-0.0312987,0.3651515
quadratic_stark,0.32725000000000004,-0.03212776875000001,0.3748239687500001
quadratic_stark,0.3315,-0.032967675,0.38462287500000003
quadratic_stark,0.33575000000000005,-0.03381841875000001,0.3945482187500001
quadratic_stark,0.34,-0.03468,0.40460000000000007
quadratic_stark,0.34425,-0.035552418749999995,0.41477821875
quadratic_stark,0.34850000000000003,-0.03643567500000001,0.4250828750000001
quadratic_stark,0.35275,-0.03732976875,0.43551396875000004
quadratic_stark,0.35700000000000004,-0.03823470000000001,0.4460715000000001
quadratic_stark,0.36125,-0.03915046875,0.45675546875
quadratic_stark,0.36550000000000005,-0.040077075000000004,0.4675658750000001
quadratic_stark,0.36975,-0.04101451875,0.47850271875000006
quadratic_stark,0.374,-0.0419628,0.489566
quadratic_stark,0.37825000000000003,-0.04292191875,0.50075571875
quadratic_stark,0.3825,-0.043891875,0.512071875
quadratic_stark,0.38675000000000004,-0.04487266875000001,0.5235144687500002
quadratic_stark,0.391,-0.045864300000000004,0.5350835
quadratic_stark,0.39525000000000005,-0.04686676875,0.5467789687500001
quadratic_stark,0.3995,-0.04788007500000001,0.5586008750000001
quadratic_stark,0.40375000000000005,-0.04890421875000001,0.5705492187500002
quadratic_stark,0.40800000000000003,-0.04993920000000001,0.5826240000000001
quadratic_stark,0.41225,-0.05098501875,0.59482521875
quadratic_stark,0.41650000000000004,-0.052041675,0.607152875
quadratic_stark,0.42075,-0.053109168750000005,0.6196069687500001
quadratic_stark,0.42500000000000004,-0.054187500000000006,0.6321875000000001
quadratic_stark,0.42925,-0.05527666875000001,0.6448944687500001
quadratic_stark,0.43350000000000005,-0.05637667500000001,0.6577278750000002
quadratic_stark,0.43775000000000003,-0.05748751875000001,0.6706877187500001
quadratic_stark,0.44200000000000006,-0.058609200000000014,0.6837740000000002
quadratic_stark,0.44625000000000004,-0.059741718750000006,0.6969867187500001
quadratic_stark,0.4505,-0.060885075,0.710325875
quadratic_stark,0.45475000000000004,-0.06203926875000001,0.7237914687500001
quadratic_stark,0.459,-0.0632043,0.7373835
quadratic_stark,0.46325000000000005,-0.06438016875000001,0.7511019687500001
quadratic_stark,0.4675,-0.06556687500000001,0.7649468750000001
quadratic_stark,0.47175000000000006,-0.06676441875000001,0.7789182187500002
quadratic_stark,0.47600000000000003,-0.0679728,0.793016
quadratic_stark,0.48025,-0.06919201875,0.8072402187500001
quadratic_stark,0.48450000000000004,-0.07042207500000001,0.8215908750000002
quadratic_stark,0.48875,-0.07166296875,0.8360679687500001
quadratic_stark,0.49300000000000005,-0.07291470000000001,0.8506715000000001
quadratic_stark,0.49725,-0.07417726875000001,0.8654014687500001
quadratic_stark,0.5015000000000001,-0.07545067500000001,0.8802578750000001
quadratic_stark,0.50575,-0.07673491875,0.8952407187500002
quadratic_stark,0.51,-0.07803,0.91035
quadratic_stark,0.51425,-0.07933591875,0.9255857187500001
quadratic_stark,0.5185000000000001,-0.08065267500000002,0.9409478750000002
quadratic_stark,0.52275,-0.08198026875000002,0.9564364687500002
quadratic_stark,0.527,-0.0833187,0.9720515000000001
quadratic_stark,0.53125,-0.08466796875,0.98779296875
quadratic_stark,0.5355000000000001,-0.08602807500000002,1.0036608750000005
quadratic_stark,0.5397500000000001,-0.08739901875000002,1.01965521875
quadratic_stark,0.544,-0.0887808,1.035776
quadratic_stark,0.54825,-0.09017341875,1.05202321875
quadratic_stark,0.5525,-0.091576875,1.068396875
quadratic_stark,0.5567500000000001,-0.09299116875000003,1.0848969687500003
quadratic_stark,0.561,-0.09441630000000002,1.1015235000000003
quadratic_stark,0.56525,-0.09585226875,1.11827646875
quadratic_stark,0.5695,-0.097299075,1.135155875
quadratic_stark,0.5737500000000001,-0.09875671875000004,1.1521617187500004
quadratic_stark,0.5780000000000001,-0.10022520000000003,1.1692940000000003
quadratic_stark,0.58225,-0.10170451875000001,1.1865527187500002
quadratic_stark,0.5865,-0.10319467500000001,1.2039378750000003
quadratic_stark,0.59075,-0.10469566875,1.22144946875
quadratic_stark,0.5950000000000001,-0.10620750000000002,1.2390875000000003
quadratic_stark,0.5992500000000001,-0.10773016875000001,1.2568519687500002
quadratic_stark,0.6035,-0.10926367500000002,1.2747428750000003
quadratic_stark,0.60775,-0.11080801875,1.29276021875
quadratic_stark,0.6120000000000001,-0.11236320000000002,1.3109040000000003
quadratic_stark,0.6162500000000001,-0.11392921875000003,1.3291742187500004
quadratic_stark,0.6205,-0.11550607500000001,1.3475708750000002
quadratic_stark,0.62475,-0.11709376875,1.36609396875
quadratic_stark,0.629,-0.1186923,1.3847435000000001
quadratic_stark,0.6332500000000001,-0.12030166875000003,1.4035194687500006
quadratic_stark,0.6375000000000001,-0.12192187500000001,1.4224218750000004
quadratic_stark,0.64175,-0.12355291875000002,1.4414507187500003
quadratic_stark,0.646,-0.1251948,1.460606
quadratic_stark,0.65025,-0.12684751875,1.4798877187500001
quadratic_stark,0.6545000000000001,-0.12851107500000003,1.4992958750000005
quadratic_stark,0.6587500000000001,-0.13018546875,1.5188304687500003
quadratic_stark,0.663,-0.1318707,1.5384915000000001
quadratic_stark,0.66725,-0.13356676875,1.55827896875
quadratic_stark,0.6715000000000001,-0.13527367500000004,1.5781928750000005
quadratic_stark,0.6757500000000001,-0.13699141875000004,1.5982332187500004
quadratic_stark,0.68,-0.13872,1.6184000000000003
linear_doppler,-1.33,1.197,-2.394
linear_doppler,-1.3133750000000002,1.1820375000000003,-2.3640750000000006
linear_doppler,-1.29675,1.167075,-2.33415
linear_doppler,-1.280125,1.1521125,-2.304225
linear_doppler,-1.2635,1.13715,-2.2743
linear_doppler,-1.2468750000000002,1.1221875000000001,-2.2443750000000002
linear_doppler,-1.23025,1.1072250000000001,-2.2144500000000003
linear_doppler,-1.213625,1.0922625,-2.184525
linear_doppler,-1.197,1.0773000000000001,-2.1546000000000003
linear_doppler,-1.1803750000000002,1.0623375000000002,-2.1246750000000003
linear_doppler,-1.16375,1.0473750000000002,-2.0947500000000003
linear_doppler,-1.147125,1.0324125,-2.064825
linear_doppler,-1.1305,1.0174500000000002,-2.0349000000000004
linear_doppler,-1.1138750000000002,1.0024875000000002,-2.0049750000000004
linear_doppler,-1.09725,0.9875250000000001,-1.9750500000000002
linear_doppler,-1.080625,0.9725625,-1.945125
linear_doppler,-1.064,0.9576000000000001,-1.9152000000000002
linear_doppler,-1.0473750000000002,0.9426375000000001,-1.8852750000000003
linear_doppler,-1.03075,0.927675,-1.85535
linear_doppler,-1.014125,0.9127124999999999,-1.8254249999999999
linear_doppler,-0.9975,0.89775,-1.7955
linear_doppler,-0.980875,0.8827875000000001,-1.7655750000000001
linear_doppler,-0.96425,0.8678250000000001,-1.7356500000000001
linear_doppler,-0.947625,0.8528625000000001,-1.7057250000000002
linear_doppler,-0.931,0.8379000000000001,-1.6758000000000002
linear_doppler,-0.914375,0.8229375000000001,-1.6458750000000002
linear_doppler,-0.89775,0.8079750000000001,-1.6159500000000002
linear_doppler,-0.881125,0.7930125,-1.586025
linear_doppler,-0.8645,0.77805,-1.5561
linear_doppler,-0.847875,0.7630875,-1.526175
linear_doppler,-0.83125,0.748125,-1.49625
linear_doppler,-0.814625,0.7331625,-1.466325
linear_doppler,-0.798,0.7182000000000001,-1.4364000000000001
linear_doppler,-0.781375,0.7032375000000001,-1.4064750000000001
linear_doppler,-0.76475,0.6882750000000001,-1.3765500000000002
linear_doppler,-0.748125,0.6733125000000001,-1.3466250000000002
linear_doppler,-0.7315,0.6583500000000001,-1.3167000000000002
linear_doppler,-0.714875,0.6433875,-1.286775
linear_doppler,-0.69825,0.628425,-1.25685
linear_doppler,-0.681625,0.6134625,-1.226925
linear_doppler,-0.665,0.5985,-1.197
linear_doppler,-0.648375,0.5835375,-1.167075
linear_doppler,-0.63175,0.568575,-1.13715
linear_doppler,-0.615125,0.5536125000000001,-1.1072250000000001
linear_doppler,-0.5985,0.5386500000000001,-1.0773000000000001
linear_doppler,-0.581875,0.5236875000000001,-1.0473750000000002
linear_doppler,-0.56525,0.5087250000000001,-1.0174500000000002
linear_doppler,-0.548625,0.49376250000000005,-0.9875250000000001
linear_doppler,-0.532,0.47880000000000006,-0.9576000000000001
linear_doppler,-0.515375,0.4638375,-0.927675
linear_doppler,-0.49875,0.448875,-0.89775
linear_doppler,-0.482125,0.43391250000000003,-0.8678250000000001
linear_doppler,-0.4655,0.41895000000000004,-0.8379000000000001
linear_doppler,-0.448875,0.40398750000000005,-0.8079750000000001
linear_doppler,-0.43225,0.389025,-0.77805
linear_doppler,-0.415625,0.3740625,-0.748125
linear_doppler,-0.399,0.35910000000000003,-0.7182000000000001
linear_doppler,-0.382375,0.34413750000000004,-0.6882750000000001
linear_doppler,-0.36575,0.32917500000000005,-0.6583500000000001
linear_doppler,-0.349125,0.3142125,-0.628425
linear_doppler,-0.3325,0.29925,-0.5985
linear_doppler,-0.31587500000000013,0.28428750000000014,-0.5685750000000003
linear_doppler,-0.29925,0.26932500000000004,-0.5386500000000001
linear_doppler,-0.2826249999999999,0.25436249999999994,-0.5087249999999999
linear_doppler,-0.266,0.23940000000000003,-0.47880000000000006
linear_doppler,-0.24937500000000012,0.22443750000000012,-0.44887500000000025
linear_doppler,-0.23275,0.20947500000000002,-0.41895000000000004
linear_doppler,-0.2161249999999999,0.19451249999999992,-0.38902499999999984
linear_doppler,-0.1995,0.17955000000000002,-0.35910000000000003
linear_doppler,-0.18287500000000012,0.1645875000000001,-0.3291750000000002
linear_doppler,-0.16625,0.149625,-0.29925
linear_doppler,-0.1496249999999999,0.1346624999999999,-0.2693249999999998
linear_doppler,-0.133,0.11970000000000001,-0.23940000000000003
linear_doppler,-0.11637500000000012,0.10473750000000011,-0.20947500000000022
linear_doppler,-0.09975,0.08977500000000001,-0.17955000000000002
linear_doppler,-0.0831249999999999,0.0748124999999999,-0.1496249999999998
linear_doppler,-0.0665,0.05985000000000001,-0.11970000000000001
linear_doppler,-0.049875000000000114,0.0448875000000001,-0.0897750000000002
