n,l,j,f,dirac_shift_khz,model_stage
2,0,0.5,0.0,-13679154.829306727,leading_dirac_only
2,0,0.5,1.0,-13679154.829306727,leading_dirac_only
2,1,0.5,0.0,-13679154.829306727,leading_dirac_only
2,1,0.5,1.0,-13679154.829306727,leading_dirac_only
2,1,1.5,1.0,-2735830.965861345,leading_dirac_only
2,1,1.5,2.0,-2735830.965861345,leading_dirac_only
20,0,0.5,0.0,-21065.898437132357,leading_dirac_only
20,0,0.5,1.0,-21065.898437132357,leading_dirac_only
20,1,0.5,0.0,-21065.898437132357,leading_dirac_only
20,1,0.5,1.0,-21065.898437132357,leading_dirac_only
20,1,1.5,1.0,-10122.574573686978,leading_dirac_only
20,1,1.5,2.0,-10122.574573686978,leading_dirac_only
20,2,1.5,1.0,-10122.574573686978,leading_dirac_only
20,2,1.5,2.0,-10122.574573686978,leading_dirac_only
20,2,2.5,2.0,-6474.799952538518,leading_dirac_only
20,2,2.5,3.0,-6474.799952538518,leading_dirac_only
20,3,2.5,2.0,-6474.799952538518,leading_dirac_only
20,3,2.5,3.0,-6474.799952538518,leading_dirac_only
20,3,3.5,3.0,-4650.912641964286,leading_dirac_only
20,3,3.5,4.0,-4650.912641964286,leading_dirac_only
20,4,3.5,3.0,-4650.912641964286,leading_dirac_only
20,4,3.5,4.0,-4650.912641964286,leading_dirac_only
20,4,4.5,4.0,-3556.580255619749,leading_dirac_only
20,4,4.5,5.0,-3556.580255619749,leading_dirac_only
20,5,4.5,4.0,-3556.580255619749,leading_dirac_only
20,5,4.5,5.0,-3556.580255619749,leading_dirac_only
20,5,5.5,5.0,-2827.025331390056,leading_dirac_only
20,5,5.5,6.0,-2827.025331390056,leading_dirac_only
20,6,5.5,5.0,-2827.025331390056,leading_dirac_only
20,6,5.5,6.0,-2827.025331390056,leading_dirac_only
20,6,6.5,6.0,-2305.914671225991,leading_dirac_only
20,6,6.5,7.0,-2305.914671225991,leading_dirac_only
20,7,6.5,6.0,-2305.914671225991,leading_dirac_only
20,7,6.5,7.0,-2305.914671225991,leading_dirac_only
20,7,7.5,7.0,-1915.0816761029414,leading_dirac_only
20,7,7.5,8.0,-1915.0816761029414,leading_dirac_only
20,8,7.5,7.0,-1915.0816761029414,leading_dirac_only
20,8,7.5,8.0,-1915.0816761029414,leading_dirac_only
20,8,8.5,8.0,-1611.100457673903,leading_dirac_only
20,8,8.5,9.0,-1611.100457673903,leading_dirac_only
20,9,8.5,8.0,-1611.100457673903,leading_dirac_only
20,9,8.5,9.0,-1611.100457673903,leading_dirac_only
20,9,9.5,9.0,-1367.9154829306726,leading_dirac_only
20,9,9.5,10.0,-1367.9154829306726,leading_dirac_only
20,10,9.5,9.0,-1367.9154829306726,leading_dirac_only
20,10,9.5,10.0,-1367.9154829306726,leading_dirac_only
20,10,10.5,10.0,-1168.9459581407566,leading_dirac_only
20,10,10.5,11.0,-1168.9459581407566,leading_dirac_only
20,11,10.5,10.0,-1168.9459581407566,leading_dirac_only
20,11,10.5,11.0,-1168.9459581407566,leading_dirac_only
20,11,11.5,11.0,-1003.1380208158265,leading_dirac_only
20,11,11.5,12.0,-1003.1380208158265,leading_dirac_only
20,12,11.5,11.0,-1003.1380208158265,leading_dirac_only
20,12,11.5,12.0,-1003.1380208158265,leading_dirac_only
20,12,12.5,12.0,-862.8389969255013,leading_dirac_only
20,12,12.5,13.0,-862.8389969255013,leading_dirac_only
20,13,12.5,12.0,-862.8389969255013,leading_dirac_only
20,13,12.5,13.0,-862.8389969255013,leading_dirac_only
20,13,13.5,13.0,-742.5826907337937,leading_dirac_only
20,13,13.5,14.0,-742.5826907337937,leading_dirac_only
20,14,13.5,13.0,-742.5826907337937,leading_dirac_only
20,14,13.5,14.0,-742.5826907337937,leading_dirac_only
20,14,14.5,14.0,-638.3605587009805,leading_dirac_only
20,14,14.5,15.0,-638.3605587009805,leading_dirac_only
20,15,14.5,14.0,-638.3605587009805,leading_dirac_only
20,15,14.5,15.0,-638.3605587009805,leading_dirac_only
20,15,15.5,15.0,-547.166193172269,leading_dirac_only
20,15,15.5,16.0,-547.166193172269,leading_dirac_only
20,16,15.5,15.0,-547.166193172269,leading_dirac_only
20,16,15.5,16.0,-547.166193172269,leading_dirac_only
20,16,16.5,16.0,-466.7005765292883,leading_dirac_only
20,16,16.5,17.0,-466.7005765292883,leading_dirac_only
20,17,16.5,16.0,-466.7005765292883,leading_dirac_only
20,17,16.5,17.0,-466.7005765292883,leading_dirac_only
20,17,17.5,17.0,-395.17558395774984,leading_dirac_only
20,17,17.5,18.0,-395.17558395774984,leading_dirac_only
20,18,17.5,17.0,-395.17558395774984,leading_dirac_only
20,18,17.5,18.0,-395.17558395774984,leading_dirac_only
20,18,18.5,18.0,-331.17953797268916,leading_dirac_only
20,18,18.5,19.0,-331.17953797268916,leading_dirac_only
20,19,18.5,18.0,-331.17953797268916,leading_dirac_only
20,19,18.5,19.0,-331.17953797268916,leading_dirac_only
20,19,19.5,19.0,-273.5830965861346,leading_dirac_only
20,19,19.5,20.0,-273.5830965861346,leading_dirac_only
24,0,0.5,0.0,-12270.07522304712,leading_dirac_only
24,0,0.5,1.0,-12270.07522304712,leading_dirac_only
24,1,0.5,0.0,-12270.07522304712,leading_dirac_only
24,1,0.5,1.0,-12270.07522304712,leading_dirac_only
24,1,1.5,1.0,-5937.133172442155,leading_dirac_only
24,1,1.5,2.0,-5937.133172442155,leading_dirac_only
24,2,1.5,1.0,-5937.133172442155,leading_dirac_only
24,2,1.5,2.0,-5937.133172442155,leading_dirac_only
24,2,2.5,2.0,-3826.152488907166,leading_dirac_only
24,2,2.5,3.0,-3826.152488907166,leading_dirac_only
24,3,2.5,2.0,-3826.152488907166,leading_dirac_only
24,3,2.5,3.0,-3826.152488907166,leading_dirac_only
24,3,3.5,3.0,-2770.662147139672,leading_dirac_only
24,3,3.5,4.0,-2770.662147139672,leading_dirac_only
24,4,3.5,3.0,-2770.662147139672,leading_dirac_only
24,4,3.5,4.0,-2770.662147139672,leading_dirac_only
24,4,4.5,4.0,-2137.3679420791764,leading_dirac_only
24,4,4.5,5.0,-2137.3679420791764,leading_dirac_only
24,5,4.5,4.0,-2137.3679420791764,leading_dirac_only
24,5,4.5,5.0,-2137.3679420791764,leading_dirac_only
24,5,5.5,5.0,-1715.1718053721781,leading_dirac_only
24,5,5.5,6.0,-1715.1718053721781,leading_dirac_only
24,6,5.5,5.0,-1715.1718053721781,leading_dirac_only
24,6,5.5,6.0,-1715.1718053721781,leading_dirac_only
24,6,6.5,6.0,-1413.6031362957513,leading_dirac_only
24,6,6.5,7.0,-1413.6031362957513,leading_dirac_only
24,7,6.5,6.0,-1413.6031362957513,leading_dirac_only
24,7,6.5,7.0,-1413.6031362957513,leading_dirac_only
24,7,7.5,7.0,-1187.426634488431,leading_dirac_only
24,7,7.5,8.0,-1187.426634488431,leading_dirac_only
24,8,7.5,7.0,-1187.426634488431,leading_dirac_only
24,8,7.5,8.0,-1187.426634488431,leading_dirac_only
24,8,8.5,8.0,-1011.511577527182,leading_dirac_only
24,8,8.5,9.0,-1011.511577527182,leading_dirac_only
24,9,8.5,8.0,-1011.511577527182,leading_dirac_only
24,9,8.5,9.0,-1011.511577527182,leading_dirac_only
24,9,9.5,9.0,-870.7795319581828,leading_dirac_only
24,9,9.5,10.0,-870.7795319581828,leading_dirac_only
24,10,9.5,9.0,-870.7795319581828,leading_dirac_only
24,10,9.5,10.0,-870.7795319581828,leading_dirac_only
24,10,10.5,10.0,-755.6351310380926,leading_dirac_only
24,10,10.5,11.0,-755.6351310380926,leading_dirac_only
24,11,10.5,10.0,-755.6351310380926,leading_dirac_only
24,11,10.5,11.0,-755.6351310380926,leading_dirac_only
24,11,11.5,11.0,-659.6814636046839,leading_dirac_only
24,11,11.5,12.0,-659.6814636046839,leading_dirac_only
24,12,11.5,11.0,-659.6814636046839,leading_dirac_only
24,12,11.5,12.0,-659.6814636046839,leading_dirac_only
24,12,12.5,12.0,-578.4898988533382,leading_dirac_only
24,12,12.5,13.0,-578.4898988533382,leading_dirac_only
24,13,12.5,12.0,-578.4898988533382,leading_dirac_only
24,13,12.5,13.0,-578.4898988533382,leading_dirac_only
24,13,13.5,13.0,-508.89712906647037,leading_dirac_only
24,13,13.5,14.0,-508.89712906647037,leading_dirac_only
24,14,13.5,13.0,-508.89712906647037,leading_dirac_only
24,14,13.5,14.0,-508.89712906647037,leading_dirac_only
24,14,14.5,14.0,-448.58339525118504,leading_dirac_only
24,14,14.5,15.0,-448.58339525118504,leading_dirac_only
24,15,14.5,14.0,-448.58339525118504,leading_dirac_only
24,15,14.5,15.0,-448.58339525118504,leading_dirac_only
24,15,15.5,15.0,-395.80887816281034,leading_dirac_only
24,15,15.5,16.0,-395.80887816281034,leading_dirac_only
