method,frequency_khz,sigma_khz
29c-30c,3289841960306.0,69.0
2S-4P + 2S-2P,3289841960226.0,29.0
2S-8D + 2S-2P,3289841960268.0,22.0
2S-high-n,3289841960204.0,35.0
CODATA 2010,3289841960365.0,16.0
CODATA 2018,3289841960250.8,6.4
