name,correction_khz,stat_khz,syst_khz
first_order_doppler,0.0,2.4,0.0
second_order_doppler,4.5,0.0,0.12
quadratic_stark,0.0,1.6,0.0
thermal_ac_stark,-2.2,0.0,1.1
zeeman,0.0,0.0,0.56
pressure,0.0,0.0,0.05
photon_recoil_n20,-1458.8,0.0,0.0
photon_recoil_n24,-1467.8,0.0,0.0
