series,strength,ratio,density
goe,,0.61250000000000004,1.1928104575163441
poisson,,0.63749999999999996,0.74594525322256888
goe,,0.63749999999999996,1.1887254901960773
poisson,,0.66250000000000009,0.72367948954449102
goe,,0.66250000000000009,1.2189542483660118
poisson,,0.6875,0.70239596655980807
goe,,0.6875,1.1102941176470578
poisson,,0.71250000000000013,0.682037747911583
goe,,0.71250000000000013,1.0808823529411755
poisson,,0.73750000000000004,0.66255196369507285
goe,,0.73750000000000004,1.0604575163398731
poisson,,0.76249999999999996,0.64388946685541493
goe,,0.76249999999999996,1.0686274509803912
poisson,,0.78750000000000009,0.62600452298657649
goe,,0.78750000000000009,1.0285947712418291
poisson,,0.8125,0.60885452987170041
goe,,0.8125,1.0057189542483651
poisson,,0.83750000000000013,0.59239976355002555
goe,,0.83750000000000013,0.96977124183006447
poisson,,0.86250000000000004,0.57660314808128021
goe,,0.86250000000000004,1.0024509803921604
poisson,,0.88749999999999996,0.56143004651342066
goe,,0.88749999999999996,0.91993464052287499
poisson,,0.91250000000000009,0.54684807085106157
goe,,0.91250000000000009,0.93137254901960698
poisson,,0.9375,0.53282690907606678
goe,,0.9375,0.89460784313725406
poisson,,0.96250000000000013,0.51933816749371176
goe,,0.96250000000000013,0.87499999999999922
poisson,,0.98750000000000004,0.50635522687205825
goe,,0.98750000000000004,0.88316993464052596
model,3.0,0.012500000000000001,0.069143167028199559
model,3.0,0.037500000000000006,0.25759219088937091
model,3.0,0.0625,0.38638828633405625
model,3.0,0.087500000000000008,0.53280911062906744
model,3.0,0.1125,0.65753796095444705
model,3.0,0.13750000000000001,0.76870932754880616
model,3.0,0.16250000000000003,0.85818872017353598
model,3.0,0.1875,0.97207158351410006
model,3.0,0.21250000000000002,1.058839479392625
model,3.0,0.23749999999999999,1.1564533622559656
model,3.0,0.26250000000000001,1.1564533622559643
model,3.0,0.28750000000000003,1.1523861171366583
model,3.0,0.3125,1.1971258134490255
model,3.0,0.33750000000000002,1.2825379609544456
model,3.0,0.36250000000000004,1.1917028199566178
model,3.0,0.38750000000000001,1.2771149674620379
model,3.0,0.41250000000000003,1.2052603036876344
model,3.0,0.4375,1.2432212581344919
model,3.0,0.46250000000000002,1.2635574837310184
model,3.0,0.48750000000000004,1.2757592190889389
model,3.0,0.51249999999999996,1.243221258134489
model,3.0,0.53750000000000009,1.2499999999999989
model,3.0,0.5625,1.2662689804772223
model,3.0,0.58750000000000013,1.1822125813449011
model,3.0,0.61250000000000004,1.1713665943600908
model,3.0,0.63749999999999996,1.1225596529284154
model,3.0,0.66250000000000009,1.161876355748372
model,3.0,0.6875,1.0669739696312355
model,3.0,0.71250000000000013,1.1198481561822116
model,3.0,0.73750000000000004,1.0534164859002206
model,3.0,0.76249999999999996,1.0330802603036866
model,3.0,0.78750000000000009,0.96529284164858908
model,3.0,0.8125,0.97207158351409884
model,3.0,0.83750000000000013,0.96529284164858908
model,3.0,0.86250000000000004,0.9517353579175738
model,3.0,0.88749999999999996,0.99511930585683206
model,3.0,0.91250000000000009,0.9300433839479384
model,3.0,0.9375,0.89072668112798181
model,3.0,0.96250000000000013,0.86767895878524859
model,3.0,0.98750000000000004,0.82836225596529578
model,7.0,0.012500000000000001,0.59246203904555317
model,7.0,0.037500000000000006,1.0588394793926248
model,7.0,0.0625,1.2879609544468542
model,7.0,0.087500000000000008,1.3801518438177878
model,7.0,0.1125,1.3232104121475059
model,7.0,0.13750000000000001,1.4438720173535777
model,7.0,0.16250000000000003,1.3652386117136663
model,7.0,0.1875,1.3652386117136663
model,7.0,0.21250000000000002,1.3665943600867683
model,7.0,0.23749999999999999,1.372017353579176
model,7.0,0.26250000000000001,1.2866052060737514
model,7.0,0.28750000000000003,1.1795010845986973
model,7.0,0.3125,1.1944143167028216
model,7.0,0.33750000000000002,1.2201735357917558
model,7.0,0.36250000000000004,1.1740780911062922
model,7.0,0.38750000000000001,1.1672993492407797
model,7.0,0.41250000000000003,1.2310195227765715
model,7.0,0.4375,1.0968004338394808
model,7.0,0.46250000000000002,1.0439262472885023
model,7.0,0.48750000000000004,0.9693600867678972
model,7.0,0.51249999999999996,1.0588394793926237
model,7.0,0.53750000000000009,0.98020607375271052
model,7.0,0.5625,0.95309110629067151
model,7.0,0.58750000000000013,0.98969631236442424
model,7.0,0.61250000000000004,0.91106290672451518
model,7.0,0.63749999999999996,0.94631236442516176
model,7.0,0.66250000000000009,0.8500542299349233
model,7.0,0.6875,0.80667028199566082
model,7.0,0.71250000000000013,0.79446854663774324
model,7.0,0.73750000000000004,0.78226681127982922
model,7.0,0.76249999999999996,0.75786334056399063
model,7.0,0.78750000000000009,0.76328633405639845
model,7.0,0.8125,0.73481561822125741
model,7.0,0.83750000000000013,0.65075921908893652
model,7.0,0.86250000000000004,0.68465292841648828
model,7.0,0.88749999999999996,0.70092190889370865
model,7.0,0.91250000000000009,0.62635574837310137
model,7.0,0.9375,0.66431670281995603
model,7.0,0.96250000000000013,0.63042299349240716
model,7.0,0.98750000000000004,0.59517353579175913
model,11.0,0.012500000000000001,1.4031995661605206
model,11.0,0.037500000000000006,1.5713123644251625
model,11.0,0.0625,1.5319956616052055
model,11.0,0.087500000000000008,1.6160520607375275
model,11.0,0.1125,1.5930043383947943
model,11.0,0.13750000000000001,1.5591106290672436
model,11.0,0.16250000000000003,1.5374186550976143
model,11.0,0.1875,1.4140455531453366
model,11.0,0.21250000000000002,1.3679501084598702
model,11.0,0.23749999999999999,1.344902386117137
model,11.0,0.26250000000000001,1.2798264642082418
model,11.0,0.28750000000000003,1.1781453362255954
model,11.0,0.3125,1.1483188720173552
model,11.0,0.33750000000000002,1.1144251626898036
model,11.0,0.36250000000000004,1.0737527114967476
model,11.0,0.38750000000000001,1.1401843817787407
model,11.0,0.41250000000000003,1.0696854663774393
model,11.0,0.4375,1.003253796095446
model,11.0,0.46250000000000002,0.95037960954446765
model,11.0,0.48750000000000004,1.001898047722344
model,11.0,0.51249999999999996,0.90563991323210324
model,11.0,0.53750000000000009,0.93275488069414225
model,11.0,0.5625,0.85276572668112716
model,11.0,0.58750000000000013,0.8364967462039038
model,11.0,0.61250000000000004,0.81073752711497027
model,11.0,0.63749999999999996,0.86090021691973884
model,11.0,0.66250000000000009,0.78904555314533542
model,11.0,0.6875,0.72803687635574765
model,11.0,0.71250000000000013,0.69685466377440275
model,11.0,0.73750000000000004,0.68736442516269225
model,11.0,0.76249999999999996,0.65753796095444628
model,11.0,0.78750000000000009,0.67380694143166964
model,11.0,0.8125,0.61822125813448969
model,11.0,0.83750000000000013,0.61279826464208187
model,11.0,0.86250000000000004,0.66024945770065313
model,11.0,0.88749999999999996,0.53145336225596473
model,11.0,0.91250000000000009,0.59517353579175647
model,11.0,0.9375,0.56534707158351361
model,11.0,0.96250000000000013,0.55585683297179989
model,11.0,0.98750000000000004,0.53009761388286525
