series,strength,ratio,density
poisson,,0.012500000000000001,1.9510999071105781
goe,,0.012500000000000001,0.073529411764705885
poisson,,0.037500000000000006,1.8582038743725504
goe,,0.037500000000000006,0.25
poisson,,0.0625,1.7717877495574399
goe,,0.0625,0.3799019607843136
poisson,,0.087500000000000008,1.6912625829769463
goe,,0.087500000000000008,0.49836601307189554
poisson,,0.1125,1.6161048466800281
goe,,0.1125,0.59558823529411775
poisson,,0.13750000000000001,1.5458479037015465
goe,,0.13750000000000001,0.75245098039215619
poisson,,0.16250000000000003,1.4800747474335185
goe,,0.16250000000000003,0.86846405228758183
poisson,,0.1875,1.4184117995072025
goe,,0.1875,0.91993464052287599
poisson,,0.21250000000000002,1.3605235934267728
goe,,0.21250000000000002,0.94771241830065378
poisson,,0.23749999999999999,1.306108202280635
goe,,0.23749999999999999,1.0522875816993467
poisson,,0.26250000000000001,1.2548932938488879
goe,,0.26250000000000001,1.1756535947712408
poisson,,0.28750000000000003,1.2066327166134887
goe,,0.28750000000000003,1.1968954248366002
poisson,,0.3125,1.1611035365580502
goe,,0.3125,1.2238562091503284
poisson,,0.33750000000000002,1.1181034579921834
goe,,0.33750000000000002,1.2140522875816981
poisson,,0.36250000000000004,1.0774485725572345
goe,,0.36250000000000004,1.2810457516339886
poisson,,0.38750000000000001,1.0389713895424482
goe,,0.38750000000000001,1.2271241830065349
poisson,,0.41250000000000003,1.0025191080391966
goe,,0.41250000000000003,1.2246732026143778
poisson,,0.4375,0.96795209758431033
goe,,0.4375,1.2410130718954264
poisson,,0.46250000000000002,0.93514255902933041
goe,,0.46250000000000002,1.2467320261437898
poisson,,0.48750000000000004,0.90397334161093856
goe,,0.48750000000000004,1.2687908496732043
poisson,,0.51249999999999996,0.87433689574158202
goe,,0.51249999999999996,1.29330065359477
poisson,,0.53750000000000009,0.84613434401166643
goe,,0.53750000000000009,1.2066993464052276
poisson,,0.5625,0.81927465539536026
goe,,0.5625,1.2132352941176459
poisson,,0.58750000000000013,0.79367390976207464
goe,,0.58750000000000013,1.2173202614379073
poisson,,0.61250000000000004,0.76925464158118517
