L,V,W,mu,chi_typ_numeric,chi_typ_numeric_sem,chi_typ_perturbative,chi_typ_perturbative_sem,scaled_W2_numeric,scaled_W2_perturbative
7,343,10.0,0.0,35.59121630018471,3.366973366576888,1057.8301942413925,514.7704350999409,3559.121630018471,105783.01942413925
7,343,10.0,0.1,3.326173494958135,0.16262015206029914,1.546905853454962,0.03984980813623164,332.6173494958135,154.6905853454962
7,343,16.5,0.0,29.28043223557438,5.47631036495842,152300.69929020802,152220.2903169013,7971.597676135125,41463865.38175914
7,343,16.5,0.1,2.2604163303410556,0.15539229718805223,0.9136354494913274,0.0296110592363227,615.3983459353524,248.73725112401388
7,343,20.0,0.0,21.178469900463448,4.901885399085857,33.06860031892395,11.576290239199846,8471.387960185379,13227.44012756958
7,343,20.0,0.1,2.112897403166074,0.12980886240722525,0.7866916836546742,0.03251906677607256,845.1589612664296,314.6766734618697
7,343,25.0,0.0,7.367922435934203,0.7069062045764088,79.57903131283602,55.007823009553015,4604.951522458877,49736.89457052251
7,343,25.0,0.1,1.0819279845608052,0.0789594975447135,0.5886405962582472,0.00883268942791909,676.2049903505033,367.9003726614045
7,343,30.0,0.0,6.700432939537573,1.4647685205916012,4086.2686716040457,3961.6216507261997,6030.389645583816,3677641.804443641
7,343,30.0,0.1,1.0662392350458234,0.10374202084895803,0.5068592316519998,0.02450830455391995,959.6153115412411,456.1733084867998
7,343,40.0,0.0,1.6309115750211554,0.42534988242966326,10.847834818050567,3.7340347516951558,2609.458520033849,17356.535708880907
7,343,40.0,0.1,0.5553505654226195,0.043540382689709785,0.40349316413966496,0.021854332225122484,888.5609046761912,645.589062623464
7,343,60.0,0.0,0.6488910052312851,0.1897065393189024,14.486807728743804,5.8825682590036505,2336.007618832626,52152.507823477696
7,343,60.0,0.1,0.3054485668193427,0.04540945933503273,0.27448530369964563,0.02689311817364492,1099.6148405496338,988.1470933187243
7,343,90.0,0.0,0.20018046434155995,0.03214298584418541,43.67287422495322,26.403102678020698,1621.4617611666356,353750.2812221211
7,343,90.0,0.1,0.12005659099066153,0.01565158734548301,0.1598501897549253,0.02005359223674947,972.4583870243584,1294.786537014895
