L,V,W,mu,sample_count,chi_typ_r,chi_typ_r_sem,chi_av_r,chi_av_r_sem,tilde_chi_typ_r,tilde_chi_typ_r_sem,tilde_chi_av_r,tilde_chi_av_r_sem,av_typ_ratio,av_typ_ratio_sem
7,343,4.0,0.02,4,18.607525823178484,0.3549650063418569,20.24481643614265,0.30930537573660494,0.37215051646356967,0.007099300126837144,0.4048963287228531,0.006186107514732095,1.0883118197148938,0.008905036159446806
7,343,4.0,0.05,4,8.03596238929846,0.1352684980161257,8.336497455591994,0.13827537878492627,0.401798119464923,0.006763424900806281,0.41682487277959973,0.006913768939246313,1.0374192466054708,0.002669523948003153
7,343,4.0,0.1,4,3.877258510620652,0.06086282358930132,3.95397667137975,0.06465660622381951,0.3877258510620652,0.00608628235893014,0.39539766713797503,0.006465660622381954,1.0197546687532006,0.0009220670453283256
7,343,4.0,0.2,4,1.7654142798478547,0.022639215232297102,1.7885768173372525,0.023550783056224076,0.35308285596957095,0.004527843046459418,0.3577153634674505,0.004710156611244816,1.0131074247675853,0.000989854514120746
7,343,4.0,0.5,4,0.5481335188598185,0.005226685733852041,0.5525849660544179,0.005335440221272753,0.27406675942990927,0.0026133428669260204,0.27629248302720893,0.0026677201106363765,1.0081178540929985,0.00046568447051374223
7,343,10.0,0.02,4,16.794546958827606,0.43525428188286264,22.002850865304236,0.8883006424718441,0.3358909391765521,0.008705085637657246,0.4400570173060847,0.01776601284943688,1.3096012980620924,0.03469463847015602
7,343,10.0,0.05,4,7.1678319160964294,0.2116695490935932,8.173339030227226,0.27117736004952814,0.3583915958048215,0.010583477454679658,0.4086669515113613,0.013558868002476411,1.1400446914995244,0.011330901527957878
7,343,10.0,0.1,4,3.4077954731061872,0.13288173293269753,3.673133496485302,0.14432435186021972,0.3407795473106187,0.013288173293269754,0.36731334964853024,0.014432435186021967,1.0778279112867162,0.003766337061145141
7,343,10.0,0.2,4,1.5816885273049002,0.07583291698114253,1.6526094450259758,0.07895442329976098,0.31633770546098006,0.015166583396228502,0.33052188900519514,0.01579088465995219,1.0448654427244528,0.004123082272027553
7,343,10.0,0.5,4,0.565882005547608,0.024187099294856285,0.5773210435869297,0.02457527479014403,0.282941002773804,0.012093549647428143,0.28866052179346485,0.012287637395072016,1.0202352910085895,0.0019936088148571583
