N,time,magnetization_z_over_N,fit_prediction,in_fit_window
4,0.0,0.0,,False
4,0.1,-0.05972509245662412,,False
4,0.2,-0.11301516978156445,,False
4,0.30000000000000004,-0.1589987520300047,,False
4,0.4,-0.19733955630069086,,False
4,0.5,-0.2281226342212167,,False
4,0.6000000000000001,-0.25173548105133714,,False
4,0.7000000000000001,-0.26876072038711074,,False
4,0.8,-0.2798883288314785,,False
4,0.9,-0.28584925132921646,,False
4,1.0,-0.28736868146035854,,False
4,1.1,-0.28513567008469437,,False
4,1.2000000000000002,-0.2797853763295075,,False
4,1.3,-0.2718905921154812,,False
4,1.4000000000000001,-0.2619597483834464,,False
4,1.5,-0.25043921588470147,,False
4,1.6,-0.23771824029495442,,False
4,1.7000000000000002,-0.2241352715567449,,False
4,1.8,-0.20998477033451202,,False
4,1.9000000000000001,-0.19552382396961027,,False
4,2.0,-0.18097810442685439,,False
4,2.1,-0.16654686939957863,,False
4,2.2,-0.1524068549122041,,False
4,2.3000000000000003,-0.1387150361498952,,False
4,2.4000000000000004,-0.12561034072809452,,False
4,2.5,-0.11321448108076045,,False
4,2.6,-0.10163212657450699,,False
4,2.7,-0.09095066016712386,,False
4,2.8000000000000003,-0.08123976080469578,,False
4,2.9000000000000004,-0.07255102600895134,,False
4,3.0,-0.06491780591674229,,False
4,3.1,-0.05835536784937356,,False
4,3.2,-0.052861456412919894,,False
4,3.3000000000000003,-0.04841726404907923,,False
4,3.4000000000000004,-0.044988785049451675,,False
4,3.5,-0.04252849466059759,,False
4,3.6,-0.040977274719306914,,False
4,3.7,-0.04026649762080565,,False
4,3.8000000000000003,-0.04032017979105175,,False
4,3.9000000000000004,-0.04105712217677869,,False
4,4.0,-0.0423929664183913,,False
4,4.1000000000000005,-0.04424210929250438,,False
4,4.2,-0.04651943295689513,,False
4,4.3,-0.04914182313070129,,False
4,4.4,-0.05202946062047881,,False
4,4.5,-0.05510688294891528,,False
4,4.6000000000000005,-0.05830382196195998,,False
4,4.7,-0.06155583013457021,,False
4,4.800000000000001,-0.06480471299916366,,False
4,4.9,-0.06799878793761195,,False
4,5.0,-0.07109299082692049,-0.0711098182806024,True
4,5.1000000000000005,-0.07404885205383391,-0.07405508581781813,True
4,5.2,-0.07683436254890208,-0.07683343497209136,True
4,5.300000000000001,-0.07942374903904714,-0.07941855432277062,True
4,5.4,-0.08179717593693364,-0.0817900248284429,True
