N,time,magnetization_z_over_N,fit_prediction,in_fit_window
40,0.0,1.6940658945086007e-19,,False
40,0.1,-0.050648178675357626,,False
40,0.2,-0.098762213134346,,False
40,0.30000000000000004,-0.1426031790556538,,False
40,0.4,-0.18087921452779337,,False
40,0.5,-0.21280212509991386,,False
40,0.6000000000000001,-0.23806438881442613,,False
40,0.7000000000000001,-0.2567607632384642,,False
40,0.8,-0.26928326845732437,,False
40,0.9,-0.27621396602581577,,False
40,1.0,-0.27823148926571123,,False
40,1.1,-0.27603875410964623,,False
40,1.2000000000000002,-0.2703128745431915,,False
40,1.3,-0.2616745411773428,,False
40,1.4000000000000001,-0.25067255468810884,,False
40,1.5,-0.23777908049610147,,False
40,1.6,-0.2233918136471654,,False
40,1.7000000000000002,-0.20784012599298443,,False
40,1.8,-0.19139313178124254,,False
40,1.9000000000000001,-0.17426832673346299,,False
40,2.0,-0.1566399972950536,,False
40,2.1,-0.1386469758405314,,False
40,2.2,-0.12039956685561234,,False
40,2.3000000000000003,-0.10198562315203141,,False
40,2.4000000000000004,-0.08347583970467573,,False
40,2.5,-0.06492837844959361,,False
40,2.6,-0.04639295636643732,,False
40,2.7,-0.027914531854675517,,False
40,2.8000000000000003,-0.009536716954516012,,False
40,2.9000000000000004,0.008694971733479957,,False
40,3.0,0.026729932028706792,,False
40,3.1,0.04450930311977711,,False
40,3.2,0.06196277836520654,,False
40,3.3000000000000003,0.07900543450860781,,False
40,3.4000000000000004,0.09553467495289059,,False
40,3.5,0.11142746522279126,,False
40,3.6,0.12653812740474496,,False
40,3.7,0.14069704634289493,,False
40,3.8000000000000003,0.15371070688122912,,False
40,3.9000000000000004,0.16536350716006715,,False
40,4.0,0.17542175580197567,,False
40,4.1000000000000005,0.18364014361032266,,False
40,4.2,0.18977077752056756,,False
40,4.3,0.19357458729064286,,False
40,4.4,0.19483459411483656,,False
40,4.5,0.1933702115519124,,False
40,4.6000000000000005,0.1890514878510019,,False
40,4.7,0.18181204704817047,,False
40,4.800000000000001,0.17165948144623083,,False
40,4.9,0.1586821036832487,,False
40,5.0,0.14305126808980603,,False
40,5.1000000000000005,0.12501887856358812,,False
40,5.2,0.10491015647533448,,False
40,5.300000000000001,0.08311218381561032,,False
40,5.4,0.060059106240893986,,False
40,5.5,0.03621513541508106,,False
40,5.6000000000000005,0.012056608271518162,,False
40,5.7,-0.01194565767737366,,False
40,5.800000000000001,-0.035342610792097,,False
40,5.9,-0.0577209356269025,,False
40,6.0,-0.0787141437863268,,False
40,6.1000000000000005,-0.09801047004203238,,False
40,6.2,-0.11535752850037631,,False
40,6.300000000000001,-0.13056391249371702,,False
40,6.4,-0.14349809577636555,,False
40,6.5,-0.15408510665769307,,False
40,6.6000000000000005,-0.16230150335480067,,False
40,6.7,-0.16816918576586276,,False
40,6.800000000000001,-0.17174854673353307,,False
40,6.9,-0.17313140641646163,,False
40,7.0,-0.17243409787089675,,False
40,7.1000000000000005,-0.1697909901150852,,False
40,7.2,-0.1653486544986693,,False
40,7.300000000000001,-0.15926080659188163,,False
40,7.4,-0.1516840923962322,,False
40,7.5,-0.14277473598865525,,False
40,7.6000000000000005,-0.1326860258298217,,False
40,7.7,-0.12156658793338342,,False
40,7.800000000000001,-0.10955937427276216,,False
40,7.9,-0.09680128221666665,,False
40,8.0,-0.08342331338126897,,False
40,8.1,-0.06955117615873438,,False
40,8.200000000000001,-0.05530623373751862,,False
40,8.3,-0.040806697521577076,,False
40,8.4,-0.02616896386224276,,False
40,8.5,-0.01150898988048784,,False
40,8.6,0.003056397632488969,,False
40,8.700000000000001,0.0174083667341499,,False
40,8.8,0.03142522266257717,,False
40,8.9,0.044981926264996586,,False
40,9.0,0.057950075383640734,,False
40,9.1,0.07019841838031529,,False
40,9.200000000000001,0.08159394469576131,,False
40,9.3,0.0920035668677415,,False
40,9.4,0.1012963730401379,,False
40,9.5,0.10934639076504102,,False
40,9.600000000000001,0.11603576456888706,,False
40,9.700000000000001,0.1212582144539411,,False
40,9.8,0.12492261342447411,,False
40,9.9,0.12695650213559206,,False
40,10.0,0.12730935007361494,0.12791360439526306,True
40,10.100000000000001,0.12595537656447217,0.12539499588108108,True
40,10.200000000000001,0.12289576154004209,0.12131328154241847,True
40,10.3,0.11816010439901996,0.11574059928196316,True
40,10.4,0.11180702746015792,0.10876607226843352,True
40,10.5,0.10392386556969158,0.10049448349407687,True
40,10.600000000000001,0.09462543200389767,0.0910447802019042,True
40,10.700000000000001,0.08405189932061972,0.08054842875165287,True
40,10.8,0.07236587882765694,0.06914764200312873,True
40,10.9,0.05974882087112856,0.05699350251618065,True
40,11.0,0.04639688791004526,0.04424400578753555,True
40,11.100000000000001,0.032516471873454175,0.031062048359305663,True
40,11.200000000000001,0.018319536016158284,0.017613385939196487,True
40,11.3,0.004018959666189736,0.004064586669095045,True
40,11.4,-0.01017594710590996,-0.009418995628635152,True
40,11.5,-0.02406361119705413,-0.022675204001076824,True
40,11.600000000000001,-0.03745392421106854,-0.035546993372327945,True
40,11.700000000000001,-0.050171437116116734,-0.04788425582705303,True
40,11.8,-0.06205795971187754,-0.05954553539673954,True
40,11.9,-0.07297453360320853,-0.07039961321453621,True
40,12.0,-0.08280277629783275,-0.08032694575130866,True
40,12.100000000000001,-0.09144561974925977,-0.08922094087452018,True
40,12.200000000000001,-0.09882748820672656,-0.0969890586555526,True
40,12.3,-0.10489397705048702,-0.10355372616144391,True
40,12.4,-0.10961110617651222,-0.10885305787393634,True
40,12.5,-0.11296422854562996,-0.11284137585170086,True
40,12.600000000000001,-0.11495667706408033,-0.11548952625973065,True
40,12.700000000000001,-0.11560823152382735,-0.11678499140234473,True
40,12.8,-0.11495348251855823,-0.11673179888254606,True
