N,inverse_N,eta_from_magnetization_fit,angular_frequency_over_kappa,fit_r_squared,fit_rms_residual,fit_minimum_time,fit_points,observable
40,0.025,0.07334771998267657,1.1020084212898118,0.9995738719834711,0.0007309776274253242,10.0,501,magnetization_dynamics
60,0.016666666666666666,0.048975780929452935,1.1059626550492827,0.9986156744911284,0.0020164399368635027,10.0,501,magnetization_dynamics
80,0.0125,0.036760597916454966,1.1084526674938757,0.9974028244721852,0.0035432640477261143,10.0,501,magnetization_dynamics
100,0.01,0.02944759518947048,1.1101173242929046,0.9961262425992159,0.005107093843602648,10.0,501,magnetization_dynamics
120,0.008333333333333333,0.02458679772630327,1.1112992334319336,0.9948533072037113,0.0066274186184789655,10.0,501,magnetization_dynamics
160,0.00625,0.01853853045368993,1.1128587679271351,0.9923829737210722,0.009446314079801326,10.0,501,magnetization_dynamics
