N,inverse_N,eta_from_magnetization_fit,angular_frequency_over_kappa,fit_r_squared,fit_rms_residual,fit_minimum_time,fit_points,observable
4,0.25,0.5665797483547298,1.1678266641365238,0.9999990218946515,2.342383016557586e-06,5.0,251,magnetization_dynamics
6,0.16666666666666666,0.4149672851760232,1.1319260014168553,0.9999911653283191,1.730834778693196e-05,5.0,251,magnetization_dynamics
