formula,branch,m_x,m_y,m_z,unit_norm_residual,rhs_max_abs_residual
rederived,minus,0.7100591715976331,0.2958579881656805,-0.6389710663783135,0.0,6.938893903907228e-17
rederived,plus,0.7100591715976331,0.2958579881656805,0.6389710663783135,0.0,6.938893903907228e-17
printed_s17,minus,0.923076923076923,0.3846153846153846,-0.4803844614152615,0.23076923076923084,0.14411533842457835
printed_s17,plus,0.923076923076923,0.3846153846153846,0.4803844614152615,0.23076923076923084,0.14411533842457835
