excess_ratio,s_peak_rate_s,p_peak_rate_s,s_peak_position_g,p_peak_position_g,printed_exponential_shape,parameter_status
0.0,4.785697024315596,14.99805736541748,321.9158513588442,321.91805125310054,1.0,s_printed_fit_p_comparator_reconstructed_averaging
0.2,2.412364838644862,6.463066756725311,321.94325708876295,321.92420912011625,0.5454955638202434,s_printed_fit_p_comparator_reconstructed_averaging
0.45,1.715485782828182,4.139650195837021,321.9591548934439,321.9237939556649,0.25572915991310063,s_printed_fit_p_comparator_reconstructed_averaging
0.8,1.2709709736518562,3.1347930431365967,321.96163488663257,321.92504915399945,0.08854517331628878,s_printed_fit_p_comparator_reconstructed_averaging
