partial_wave,energy_es,capture_probability,barrier_energy_es,threshold_exponent_k,generated_data_provenance
0,0.0001,0.039189309617365775,0.0,1,independent_numerics
0,0.0001291549665014884,0.04441072182689809,0.0,1,independent_numerics
0,0.0001668100537200059,0.050307732813190786,0.0,1,independent_numerics
0,0.00021544346900318845,0.056961814972651736,0.0,1,independent_numerics
0,0.0002782559402207126,0.06446248702826352,0.0,1,independent_numerics
0,0.00035938136638046257,0.07290755708729768,0.0,1,independent_numerics
0,0.00046415888336127773,0.08240317513266926,0.0,1,independent_numerics
0,0.0005994842503189409,0.0930636178465648,0.0,1,independent_numerics
0,0.000774263682681127,0.10501071129366357,0.0,1,independent_numerics
0,0.001,0.11837277779437749,0.0,1,independent_numerics
0,0.001291549665014884,0.13328297422480861,0.0,1,independent_numerics
0,0.0016681005372000592,0.1498768735156657,0.0,1,independent_numerics
0,0.002154434690031882,0.16828913265141432,0.0,1,independent_numerics
0,0.0027825594022071257,0.18864909314106804,0.0,1,independent_numerics
0,0.003593813663804626,0.2110751830233274,0.0,1,independent_numerics
0,0.004641588833612777,0.23566804235508765,0.0,1,independent_numerics
0,0.005994842503189409,0.26250238263601977,0.0,1,independent_numerics
0,0.007742636826811269,0.2916177265098031,0.0,1,independent_numerics
0,0.01,0.3230083625939647,0.0,1,independent_numerics
0,0.01291549665014884,0.35661308151251636,0.0,1,independent_numerics
0,0.016681005372000592,0.3923055210651377,0.0,1,independent_numerics
0,0.021544346900318822,0.4298862051765603,0.0,1,independent_numerics
0,0.02782559402207123,0.4690775514658576,0.0,1,independent_numerics
0,0.03593813663804626,0.5095231852041308,0.0,1,independent_numerics
0,0.046415888336127774,0.550792754474061,0.0,1,independent_numerics
0,0.05994842503189409,0.5923930394739793,0.0,1,independent_numerics
0,0.0774263682681127,0.6337854883394538,0.0,1,independent_numerics
0,0.1,0.6744094446243307,0.0,1,independent_numerics
0,0.12915496650148828,0.713709406193015,0.0,1,independent_numerics
0,0.16681005372000574,0.7511638563328413,0.0,1,independent_numerics
0,0.21544346900318823,0.7863127588216677,0.0,1,independent_numerics
0,0.2782559402207123,0.8187807126353316,0.0,1,independent_numerics
0,0.3593813663804626,0.8482934944023689,0.0,1,independent_numerics
0,0.46415888336127775,0.8746865273601518,0.0,1,independent_numerics
0,0.5994842503189409,0.8979046125396324,0.0,1,independent_numerics
0,0.774263682681127,0.91799417190244,0.0,1,independent_numerics
0,1.0,0.9350892822565966,0.0,1,independent_numerics
0,1.2915496650148828,0.9493937191269123,0.0,1,independent_numerics
0,1.6681005372000592,0.9611612512290535,0.0,1,independent_numerics
0,2.154434690031882,0.970676074785097,0.0,1,independent_numerics
0,2.782559402207126,0.9782350058282617,0.0,1,independent_numerics
0,3.593813663804626,0.9841323734081281,0.0,1,independent_numerics
0,4.641588833612772,0.9886481593899066,0.0,1,independent_numerics
0,5.994842503189409,0.9920394528644462,0.0,1,independent_numerics
0,7.742636826811262,0.9945350375535278,0.0,1,independent_numerics
0,10.0,0.9963326917844394,0.0,1,independent_numerics
0,12.915496650148826,0.9975987297731489,0.0,1,independent_numerics
0,16.68100537200059,0.9984692615619873,0.0,1,independent_numerics
0,21.54434690031882,0.9990526810451663,0.0,1,independent_numerics
0,27.8255940220712,0.9994329413095021,0.0,1,independent_numerics
0,35.93813663804626,0.9996732288054565,0.0,1,independent_numerics
0,46.41588833612773,0.9998197217879407,0.0,1,independent_numerics
0,59.94842503189409,0.9999051792249212,0.0,1,independent_numerics
0,77.42636826811261,0.9999521708722793,0.0,1,independent_numerics
0,100.0,0.9999758205942109,0.0,1,independent_numerics
1,0.0001,4.4167088442126357e-07,1.0,3,independent_numerics
1,0.0001291549665014884,6.483062022777375e-07,1.0,3,independent_numerics
1,0.0001668100537200059,9.516236912920917e-07,1.0,3,independent_numerics
1,0.00021544346900318845,1.3968666268127095e-06,1.0,3,independent_numerics
1,0.0002782559402207126,2.0504559031797598e-06,1.0,3,independent_numerics
1,0.00035938136638046257,3.0099066827826704e-06,1.0,3,independent_numerics
1,0.00046415888336127773,4.4183959169163955e-06,1.0,3,independent_numerics
1,0.0005994842503189409,6.4861529409654395e-06,1.0,3,independent_numerics
1,0.000774263682681127,9.521895136588299e-06,1.0,3,independent_numerics
1,0.001,1.3979009314879498e-05,1.0,3,independent_numerics
1,0.001291549665014884,2.052343540659418e-05,1.0,3,independent_numerics
1,0.0016681005372000592,3.0133466323412073e-05,1.0,3,independent_numerics
1,0.002154434690031882,4.424651656376177e-05,1.0,3,independent_numerics
1,0.0027825594022071257,6.497508162506271e-05,1.0,3,independent_numerics
1,0.003593813663804626,9.542458377920227e-05,1.0,3,independent_numerics
1,0.004641588833612777,0.00014016154453422303,1.0,3,independent_numerics
1,0.005994842503189409,0.0002059033789645337,1.0,3,independent_numerics
1,0.007742636826811269,0.0003025356708148408,1.0,3,independent_numerics
1,0.01,0.00044461289796893233,1.0,3,independent_numerics
1,0.01291549665014884,0.0006535742884932194,1.0,3,independent_numerics
1,0.016681005372000592,0.0009610162623249208,1.0,3,independent_numerics
1,0.021544346900318822,0.0014135268032773318,1.0,3,independent_numerics
1,0.02782559402207123,0.0020798240228001585,1.0,3,independent_numerics
1,0.03593813663804626,0.003061282487118455,1.0,3,independent_numerics
1,0.046415888336127774,0.0045074140753679215,1.0,3,independent_numerics
1,0.05994842503189409,0.006638505282373974,1.0,3,independent_numerics
1,0.0774263682681127,0.009778421405749804,1.0,3,independent_numerics
1,0.1,0.014401370552999171,1.0,3,independent_numerics
1,0.12915496650148828,0.021196775648706256,1.0,3,independent_numerics
1,0.16681005372000574,0.031155088139821818,1.0,3,independent_numerics
1,0.21544346900318823,0.04567173920801493,1.0,3,independent_numerics
1,0.2782559402207123,0.0666513916018644,1.0,3,independent_numerics
1,0.3593813663804626,0.09656239484529971,1.0,3,independent_numerics
1,0.46415888336127775,0.1383356216318523,1.0,3,independent_numerics
1,0.5994842503189409,0.1949360785858134,1.0,3,independent_numerics
1,0.774263682681127,0.2684291254158935,1.0,3,independent_numerics
1,1.0,0.3585692960169702,1.0,3,independent_numerics
1,1.2915496650148828,0.4614700403388696,1.0,3,independent_numerics
1,1.6681005372000592,0.5694618176096549,1.0,3,independent_numerics
1,2.154434690031882,0.6729435592100539,1.0,3,independent_numerics
1,2.782559402207126,0.7635259292867108,1.0,3,independent_numerics
1,3.593813663804626,0.836491794578403,1.0,3,independent_numerics
1,4.641588833612772,0.8912188618956212,1.0,3,independent_numerics
1,5.994842503189409,0.9299426065442459,1.0,3,independent_numerics
1,7.742636826811262,0.9561034247549345,1.0,3,independent_numerics
1,10.0,0.9731410764687637,1.0,3,independent_numerics
1,12.915496650148826,0.9839135816868332,1.0,3,independent_numerics
1,16.68100537200059,0.9905580673572669,1.0,3,independent_numerics
1,21.54434690031882,0.9945684527366734,1.0,3,independent_numerics
1,27.8255940220712,0.9969413840761921,1.0,3,independent_numerics
1,35.93813663804626,0.9983188992689702,1.0,3,independent_numerics
1,46.41588833612773,0.9991030765741901,1.0,3,independent_numerics
1,59.94842503189409,0.9995397358037644,1.0,3,independent_numerics
1,77.42636826811261,0.9997761140215071,1.0,3,independent_numerics
1,100.0,0.9998989893270664,1.0,3,independent_numerics
2,0.0001,2.0183854587685346e-13,9.0,5,independent_numerics
2,0.0001291549665014884,3.8413716652030416e-13,9.0,5,independent_numerics
2,0.0001668100537200059,7.243095012654521e-13,9.0,5,independent_numerics
2,0.00021544346900318845,1.368460900152968e-12,9.0,5,independent_numerics
2,0.0002782559402207126,2.595923476178541e-12,9.0,5,independent_numerics
2,0.00035938136638046257,4.92872409552092e-12,9.0,5,independent_numerics
2,0.00046415888336127773,9.337197681702492e-12,9.0,5,independent_numerics
2,0.0005994842503189409,1.7713164268684523e-11,9.0,5,independent_numerics
2,0.000774263682681127,3.3576252889133684e-11,9.0,5,independent_numerics
2,0.001,6.366529525791975e-11,9.0,5,independent_numerics
2,0.001291549665014884,1.206925670516057e-10,9.0,5,independent_numerics
2,0.0016681005372000592,2.2880808359104776e-10,9.0,5,independent_numerics
2,0.002154434690031882,4.3380055103625637e-10,9.0,5,independent_numerics
2,0.0027825594022071257,8.224605441142785e-10,9.0,5,independent_numerics
2,0.003593813663804626,1.5593688562631769e-09,9.0,5,independent_numerics
2,0.004641588833612777,2.9566555870275124e-09,9.0,5,independent_numerics
2,0.005994842503189409,5.6062292586034346e-09,9.0,5,independent_numerics
2,0.007742636826811269,1.0630758717766753e-08,9.0,5,independent_numerics
2,0.01,2.0159789060336664e-08,9.0,5,independent_numerics
2,0.01291549665014884,3.823349248310848e-08,9.0,5,independent_numerics
2,0.016681005372000592,7.25180895333466e-08,9.0,5,independent_numerics
2,0.021544346900318822,1.3756376315843255e-07,9.0,5,independent_numerics
2,0.02782559402207123,2.6099379624167085e-07,9.0,5,independent_numerics
2,0.03593813663804626,4.952687298054315e-07,9.0,5,independent_numerics
2,0.046415888336127774,9.400608496079599e-07,9.0,5,independent_numerics
2,0.05994842503189409,1.7848406240750236e-06,9.0,5,independent_numerics
2,0.0774263682681127,3.3900072424764005e-06,9.0,5,independent_numerics
2,0.1,6.4416179367254855e-06,9.0,5,independent_numerics
2,0.12915496650148828,1.2246873476673414e-05,9.0,5,independent_numerics
2,0.16681005372000574,2.3299282170374802e-05,9.0,5,independent_numerics
2,0.21544346900318823,4.4361644731427674e-05,9.0,5,independent_numerics
2,0.2782559402207123,8.45457576816866e-05,9.0,5,independent_numerics
2,0.3593813663804626,0.00016131589439372096,9.0,5,independent_numerics
2,0.46415888336127775,0.0003082163801093607,9.0,5,independent_numerics
2,0.5994842503189409,0.0005898279415859076,9.0,5,independent_numerics
2,0.774263682681127,0.0011307849517686597,9.0,5,independent_numerics
2,1.0,0.002172141394857663,9.0,5,independent_numerics
2,1.2915496650148828,0.004180682444154149,9.0,5,independent_numerics
2,1.6681005372000592,0.008059225528213254,9.0,5,independent_numerics
2,2.154434690031882,0.015542509472113442,9.0,5,independent_numerics
2,2.782559402207126,0.029904646036652882,9.0,5,independent_numerics
2,3.593813663804626,0.05707371520250071,9.0,5,independent_numerics
2,4.641588833612772,0.10684439811678803,9.0,5,independent_numerics
2,5.994842503189409,0.19238769455757276,9.0,5,independent_numerics
2,7.742636826811262,0.32365895533193645,9.0,5,independent_numerics
2,10.0,0.49266724764352765,9.0,5,independent_numerics
2,12.915496650148826,0.6659829509314482,9.0,5,independent_numerics
2,16.68100537200059,0.805841698622528,9.0,5,independent_numerics
2,21.54434690031882,0.8977739190748246,9.0,5,independent_numerics
2,27.8255940220712,0.9499012838964727,9.0,5,independent_numerics
2,35.93813663804626,0.9767467883648258,9.0,5,independent_numerics
2,46.41588833612773,0.9897294514552526,9.0,5,independent_numerics
2,59.94842503189409,0.9957177395532245,9.0,5,independent_numerics
2,77.42636826811261,0.9983544363816651,9.0,5,independent_numerics
