field_mv_m,velocity_m_s,density,gaussian_density,kurtosis
3.0,-1.19,0.0,0.0,2.9493083989631237
3.0,-1.17,0.0,0.0,2.9493083989631237
3.0,-1.15,0.0,0.0,2.9493083989631237
3.0,-1.13,0.0,0.0,2.9493083989631237
3.0,-1.1099999999999999,0.0,0.0,2.9493083989631237
3.0,-1.0899999999999999,0.0,0.0,2.9493083989631237
3.0,-1.07,0.0,0.0,2.9493083989631237
3.0,-1.05,0.0,0.0,2.9493083989631237
3.0,-1.03,0.0,0.0,2.9493083989631237
3.0,-1.01,0.0,0.0,2.9493083989631237
3.0,-0.99,0.0,0.0,2.9493083989631237
3.0,-0.97,0.0,0.0,2.9493083989631237
3.0,-0.95,0.0,0.0,2.9493083989631237
3.0,-0.9299999999999999,0.0,0.0,2.9493083989631237
3.0,-0.9099999999999999,0.0,0.0,2.9493083989631237
3.0,-0.8899999999999999,0.0,0.0,2.9493083989631237
3.0,-0.8699999999999999,0.0,0.0,2.9493083989631237
3.0,-0.8499999999999999,0.0,0.0,2.9493083989631237
3.0,-0.83,0.0,0.0,2.9493083989631237
3.0,-0.8099999999999999,0.0,0.0,2.9493083989631237
3.0,-0.79,0.0,0.0,2.9493083989631237
3.0,-0.77,0.0,0.0,2.9493083989631237
3.0,-0.75,0.0,0.0,2.9493083989631237
3.0,-0.73,0.0,0.0,2.9493083989631237
3.0,-0.71,0.0,0.0,2.9493083989631237
3.0,-0.69,0.0,0.0,2.9493083989631237
3.0,-0.6699999999999999,0.0,0.0,2.9493083989631237
3.0,-0.6499999999999999,0.0,0.0,2.9493083989631237
3.0,-0.6299999999999999,0.0,0.0,2.9493083989631237
3.0,-0.61,0.0,0.0,2.9493083989631237
3.0,-0.59,0.0,0.0,2.9493083989631237
3.0,-0.57,0.0,0.0,2.9493083989631237
3.0,-0.5499999999999999,0.0,0.0,2.9493083989631237
3.0,-0.5299999999999999,0.0,0.0,2.9493083989631237
3.0,-0.5099999999999999,0.0,8.9395854951608e-310,2.9493083989631237
3.0,-0.48999999999999994,0.0,6.733857708377509e-286,2.9493083989631237
3.0,-0.47,0.0,5.6251308075167906e-263,2.9493083989631237
3.0,-0.44999999999999996,0.0,5.2110285766450365e-241,2.9493083989631237
3.0,-0.42999999999999994,0.0,5.353482920023051e-220,2.9493083989631237
3.0,-0.4099999999999999,0.0,6.099181059144164e-200,2.9493083989631237
3.0,-0.3899999999999999,0.0,7.705995806243543e-181,2.9493083989631237
3.0,-0.36999999999999994,0.0,1.0797125479843916e-162,2.9493083989631237
3.0,-0.35,0.0,1.6776820841320543e-145,2.9493083989631237
3.0,-0.32999999999999996,0.0,2.890901688531866e-129,2.9493083989631237
3.0,-0.30999999999999994,0.0,5.524323679418557e-114,2.9493083989631237
3.0,-0.2899999999999999,0.0,1.1707038551327888e-99,2.9493083989631237
3.0,-0.2699999999999999,0.0,2.7512947418644546e-86,2.9493083989631237
3.0,-0.24999999999999994,0.0,7.17049811082313e-74,2.9493083989631237
3.0,-0.22999999999999998,0.0,2.0724481370582514e-62,2.9493083989631237
3.0,-0.20999999999999996,0.0,6.642631405894158e-52,2.9493083989631237
3.0,-0.18999999999999995,0.0,2.361123891201224e-42,2.9493083989631237
3.0,-0.16999999999999993,0.0,9.307210464310196e-34,2.9493083989631237
3.0,-0.1499999999999999,0.0,4.068575988541777e-26,2.9493083989631237
3.0,-0.1299999999999999,0.0,1.9723658140622447e-19,2.9493083989631237
3.0,-0.10999999999999988,0.0,1.0603631808569194e-13,2.9493083989631237
3.0,-0.08999999999999986,0.0,6.3218465476288894e-09,2.9493083989631237
3.0,-0.06999999999999984,0.0,4.179799005726692e-05,2.9493083989631237
3.0,-0.04999999999999993,0.05833333333333393,0.03064707172093155,2.9493083989631237
3.0,-0.030000000000000027,3.50833333333333,2.4919808977882725,2.9493083989631237
3.0,-0.010000000000000009,21.858333333333313,22.471008863849608,2.9493083989631237
3.0,0.010000000000000009,21.208333333333314,22.471008863849608,2.9493083989631237
3.0,0.030000000000000027,3.274999999999997,2.4919808977882725,2.9493083989631237
3.0,0.050000000000000044,0.09166666666666659,0.03064707172093059,2.9493083989631237
3.0,0.07000000000000006,0.0,4.179799005726343e-05,2.9493083989631237
3.0,0.09000000000000008,0.0,6.321846547628216e-09,2.9493083989631237
3.0,0.1100000000000001,0.0,1.0603631808567764e-13,2.9493083989631237
3.0,0.13000000000000012,0.0,1.9723658140619363e-19,2.9493083989631237
3.0,0.15000000000000013,0.0,4.068575988541054e-26,2.9493083989631237
3.0,0.17000000000000015,0.0,9.307210464308345e-34,2.9493083989631237
3.0,0.19000000000000017,0.0,2.3611238912007206e-42,2.9493083989631237
3.0,0.21000000000000008,0.0,6.642631405893402e-52,2.9493083989631237
3.0,0.22999999999999998,0.0,2.0724481370582514e-62,2.9493083989631237
3.0,0.25,0.0,7.170498110822722e-74,2.9493083989631237
3.0,0.27,0.0,2.751294741863829e-86,2.9493083989631237
3.0,0.29000000000000004,0.0,1.1707038551325226e-99,2.9493083989631237
3.0,0.31000000000000005,0.0,5.524323679417301e-114,2.9493083989631237
3.0,0.33000000000000007,0.0,2.890901688531044e-129,2.9493083989631237
3.0,0.3500000000000001,0.0,1.6776820841317684e-145,2.9493083989631237
3.0,0.3700000000000001,0.0,1.0797125479840845e-162,2.9493083989631237
3.0,0.3900000000000001,0.0,7.705995806240039e-181,2.9493083989631237
3.0,0.41000000000000014,0.0,6.099181059141738e-200,2.9493083989631237
3.0,0.43000000000000016,0.0,5.3534829200206166e-220,2.9493083989631237
3.0,0.4500000000000002,0.0,5.211028576642074e-241,2.9493083989631237
3.0,0.4700000000000001,0.0,5.6251308075155115e-263,2.9493083989631237
3.0,0.49,0.0,6.733857708375978e-286,2.9493083989631237
3.0,0.51,0.0,8.9395854951579e-310,2.9493083989631237
3.0,0.53,0.0,0.0,2.9493083989631237
3.0,0.55,0.0,0.0,2.9493083989631237
3.0,0.5700000000000001,0.0,0.0,2.9493083989631237
3.0,0.5900000000000001,0.0,0.0,2.9493083989631237
3.0,0.6100000000000001,0.0,0.0,2.9493083989631237
3.0,0.6300000000000001,0.0,0.0,2.9493083989631237
3.0,0.6500000000000001,0.0,0.0,2.9493083989631237
3.0,0.6700000000000002,0.0,0.0,2.9493083989631237
3.0,0.6900000000000002,0.0,0.0,2.9493083989631237
3.0,0.7100000000000001,0.0,0.0,2.9493083989631237
3.0,0.73,0.0,0.0,2.9493083989631237
3.0,0.75,0.0,0.0,2.9493083989631237
3.0,0.77,0.0,0.0,2.9493083989631237
3.0,0.79,0.0,0.0,2.9493083989631237
3.0,0.81,0.0,0.0,2.9493083989631237
3.0,0.8300000000000001,0.0,0.0,2.9493083989631237
3.0,0.8500000000000001,0.0,0.0,2.9493083989631237
3.0,0.8700000000000001,0.0,0.0,2.9493083989631237
3.0,0.8900000000000001,0.0,0.0,2.9493083989631237
3.0,0.9100000000000001,0.0,0.0,2.9493083989631237
3.0,0.9300000000000002,0.0,0.0,2.9493083989631237
3.0,0.9500000000000002,0.0,0.0,2.9493083989631237
3.0,0.9700000000000002,0.0,0.0,2.9493083989631237
3.0,0.9900000000000002,0.0,0.0,2.9493083989631237
3.0,1.0100000000000002,0.0,0.0,2.9493083989631237
3.0,1.0300000000000002,0.0,0.0,2.9493083989631237
3.0,1.0500000000000003,0.0,0.0,2.9493083989631237
3.0,1.0700000000000003,0.0,0.0,2.9493083989631237
3.0,1.0900000000000003,0.0,0.0,2.9493083989631237
3.0,1.11,0.0,0.0,2.9493083989631237
3.0,1.13,0.0,0.0,2.9493083989631237
3.0,1.15,0.0,0.0,2.9493083989631237
3.0,1.17,0.0,0.0,2.9493083989631237
3.0,1.19,0.0,0.0,2.9493083989631237
124.89999999999999,-1.19,0.0,5.3532741022442716e-11,1.6126806812914827
124.89999999999999,-1.17,0.0,1.2115005521536325e-10,1.6126806812914827
124.89999999999999,-1.15,0.0,2.704056845912731e-10,1.6126806812914827
124.89999999999999,-1.13,0.0,5.952454490596115e-10,1.6126806812914827
124.89999999999999,-1.1099999999999999,0.0,1.2923031877078715e-09,1.6126806812914827
124.89999999999999,-1.0899999999999999,0.0,2.767074250645779e-09,1.6126806812914827
124.89999999999999,-1.07,0.0,5.843395421002742e-09,1.6126806812914827
124.89999999999999,-1.05,0.0,1.2170202493917866e-08,1.6126806812914827
124.89999999999999,-1.03,0.0,2.4998756032411804e-08,1.6126806812914827
124.89999999999999,-1.01,0.0,5.064389009259254e-08,1.6126806812914827
124.89999999999999,-0.99,0.0,1.0118678155098052e-07,1.6126806812914827
124.89999999999999,-0.97,0.0,1.993923871991195e-07,1.6126806812914827
124.89999999999999,-0.95,0.0,3.875086745681696e-07,1.6126806812914827
124.89999999999999,-0.9299999999999999,0.0,7.427494694488601e-07,1.6126806812914827
124.89999999999999,-0.9099999999999999,0.0,1.404078331633488e-06,1.6126806812914827
124.89999999999999,-0.8899999999999999,0.0,2.617751334066725e-06,1.6126806812914827
124.89999999999999,-0.8699999999999999,0.0,4.8134172220712375e-06,1.6126806812914827
124.89999999999999,-0.8499999999999999,0.0,8.729044167003031e-06,1.6126806812914827
124.89999999999999,-0.83,0.0,1.561233781542505e-05,1.6126806812914827
124.89999999999999,-0.8099999999999999,0.0,2.753957629902125e-05,1.6126806812914827
124.89999999999999,-0.79,0.0,4.791093365899843e-05,1.6126806812914827
124.89999999999999,-0.77,0.0,8.220534941123629e-05,1.6126806812914827
124.89999999999999,-0.75,0.0,0.00013910847530427132,1.6126806812914827
124.89999999999999,-0.73,0.0,0.0002321641546495974,1.6126806812914827
124.89999999999999,-0.71,0.0,0.00038214203230034504,1.6126806812914827
124.89999999999999,-0.69,0.0,0.0006203581845557265,1.6126806812914827
124.89999999999999,-0.6699999999999999,0.0,0.0009932264793677912,1.6126806812914827
124.89999999999999,-0.6499999999999999,0.0,0.0015683468924501261,1.6126806812914827
124.89999999999999,-0.6299999999999999,0.0,0.00244244071912578,1.6126806812914827
124.89999999999999,-0.61,0.0,0.0037514054164451294,1.6126806812914827
124.89999999999999,-0.59,0.0,0.005682664757448014,1.6126806812914827
124.89999999999999,-0.57,0.0,0.0084898132368564,1.6126806812914827
124.89999999999999,-0.5499999999999999,0.0,0.012509279679216957,1.6126806812914827
124.89999999999999,-0.5299999999999999,0.0,0.018178353055186777,1.6126806812914827
124.89999999999999,-0.5099999999999999,0.0,0.026053425411179505,1.6126806812914827
124.89999999999999,-0.48999999999999994,0.0,0.03682673301813896,1.6126806812914827
124.89999999999999,-0.47,0.0,0.05133926198484724,1.6126806812914827
124.89999999999999,-0.44999999999999996,0.0,0.07058690090289997,1.6126806812914827
124.89999999999999,-0.42999999999999994,0.0,0.09571647003090142,1.6126806812914827
124.89999999999999,-0.4099999999999999,0.0,0.12800805481145136,1.6126806812914827
124.89999999999999,-0.3899999999999999,0.0,0.1688402506179834,1.6126806812914827
124.89999999999999,-0.36999999999999994,0.0,0.21963560443476438,1.6126806812914827
124.89999999999999,-0.35,0.0,0.28178480117628607,1.6126806812914827
124.89999999999999,-0.32999999999999996,0.008333333333333326,0.3565500084111704,1.6126806812914827
124.89999999999999,-0.30999999999999994,0.09166666666666659,0.44495019660148993,1.6126806812914827
124.89999999999999,-0.2899999999999999,0.3249999999999997,0.5476340212940674,1.6126806812914827
124.89999999999999,-0.2699999999999999,0.8416666666666659,0.6647487103472234,1.6126806812914827
124.89999999999999,-0.24999999999999994,1.8666666666666754,0.7958159733733271,1.6126806812914827
124.89999999999999,-0.22999999999999998,2.616666666666664,0.9396278183675917,1.6126806812914827
124.89999999999999,-0.20999999999999996,2.408333333333331,1.0941759012045722,1.6126806812914827
124.89999999999999,-0.18999999999999995,2.408333333333331,1.2566272997440413,1.6126806812914827
124.89999999999999,-0.16999999999999993,2.249999999999998,1.423357194385866,1.6126806812914827
124.89999999999999,-0.1499999999999999,1.8583333333333318,1.5900448584277675,1.6126806812914827
124.89999999999999,-0.1299999999999999,1.5749999999999984,1.7518338682688495,1.6126806812914827
124.89999999999999,-0.10999999999999988,1.5249999999999988,1.9035510366857142,1.6126806812914827
