displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-25.0,-6.317856698978956,384.54163978366034,207478155.68203878,0.0012967384730127424,6.383511897945033e-08,0.9999999872329763,printed_shape_reconstructed_peak_density
-24.8,-6.267313845387125,378.41358421206803,226708210.86893532,0.0014169263179308457,7.712956799423835e-08,0.9999999845740866,printed_shape_reconstructed_peak_density
-24.6,-6.216770991795294,372.33474997036797,247573277.1794716,0.0015473329823716977,9.309070139785055e-08,0.9999999813818599,printed_shape_reconstructed_peak_density
-24.4,-6.166228138203461,366.30513705856004,270197873.4600534,0.0016887367091253337,1.122319546234199e-07,0.9999999775536094,printed_shape_reconstructed_peak_density
-24.2,-6.11568528461163,360.3247454766447,294714655.5478527,0.0018419665971740793,1.35161259370148e-07,0.9999999729677485,printed_shape_reconstructed_peak_density
-24.0,-6.065142431019799,354.39357522462154,321264829.9969676,0.0020079051874810475,1.625975830945193e-07,0.9999999674804839,printed_shape_reconstructed_peak_density
-23.8,-6.014599577427967,348.51162630249064,349998578.909261,0.002187491118182881,1.9539020348464925e-07,0.9999999609219601,printed_shape_reconstructed_peak_density
-23.6,-5.964056723836135,342.67889871025204,381075495.29408693,0.0023817218455880434,2.3454114151088722e-07,0.9999999530917728,printed_shape_reconstructed_peak_density
-23.4,-5.913513870244303,336.89539244790575,414665028.2832487,0.0025916564267703043,2.812312373654098e-07,0.9999999437537541,printed_shape_reconstructed_peak_density
-23.2,-5.862971016652472,331.16110751545193,450946937.4243141,0.002818418358901963,3.3685042224049086e-07,0.9999999326299178,printed_shape_reconstructed_peak_density
-23.0,-5.812428163060641,325.47604391289025,490111755.16675466,0.0030631984697922165,4.030328163631271e-07,0.99999991939344,printed_shape_reconstructed_peak_density
-22.8,-5.761885309468808,319.84020164022087,532361256.54145575,0.0033272578533840983,4.816973710056255e-07,0.9999999036605305,printed_shape_reconstructed_peak_density
-22.6,-5.711342455876978,314.25358069744397,577908934.9152527,0.0036119308432203292,5.750948704263933e-07,0.9999998849810325,printed_shape_reconstructed_peak_density
-22.4,-5.660799602285146,308.71618108455925,626980482.5782169,0.003918628016113855,6.858622200631394e-07,0.9999998628275654,printed_shape_reconstructed_peak_density
-22.2,-5.610256748693313,303.2280028015667,679814274.7931151,0.00424883921745697,8.170850711135021e-07,0.9999998365829992,printed_shape_reconstructed_peak_density
-22.0,-5.559713895101482,297.7890458484667,736661855.8037084,0.004604136598773178,9.723699703231455e-07,0.9999998055260249,printed_shape_reconstructed_peak_density
-21.8,-5.509171041509651,292.39931022525894,797788425.1619778,0.004986177657262361,1.1559273789119532e-06,0.999999768814551,printed_shape_reconstructed_peak_density
-21.6,-5.458628187917818,287.05879593194334,863473322.5943618,0.005396708266214761,1.372667077791093e-06,0.9999997254666221,printed_shape_reconstructed_peak_density
-21.4,-5.408085334325987,281.7675029685202,934010509.4839954,0.005837565684274971,1.6283076693842058e-06,0.9999996743385191,printed_shape_reconstructed_peak_density
-21.2,-5.357542480734155,276.5254313349894,1009709044.9005324,0.006310681530628327,1.9295021014425957e-06,0.9999996140996542,printed_shape_reconstructed_peak_density
-21.0,-5.306999627142324,271.33258103135086,1090893553.9618092,0.0068180847122613075,2.283981377372598e-06,0.9999995432038289,printed_shape_reconstructed_peak_density
-20.8,-5.256456773550492,266.1889520576046,1177904686.1631124,0.007361904288519452,2.7007188830780603e-06,0.9999994598563693,printed_shape_reconstructed_peak_density
