magnetic_field_g,loss_rate_s,survival,excess_ratio,partial_wave,parameter_status
319.8,0.05250237662803176,0.9895544622072127,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.82,0.05320107044186101,0.9894161927520007,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.84000000000003,0.05392927729156818,0.9892721033151922,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.86,0.05468997854704541,0.9891216066575821,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.88,0.05548673949103439,0.9889640005223488,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.90000000000003,0.056323898166178894,0.9887984304250914,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.92,0.05720684413431512,0.9886238347239135,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.94,0.05814244475781853,0.9884388606154068,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.96000000000004,0.059139721079364674,0.9882417309411383,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.98,0.06021095092074904,0.9880300268137889,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.0,0.061373470161393884,0.9878003327339012,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.02000000000004,0.0626524012806117,0.9875476993283295,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.04,0.06408389260305289,0.9872650066050616,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.06,0.06571668280177546,0.9869426599151124,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.08,0.06760865079803319,0.9865692777769329,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.1,0.06982591457359998,0.9861318779028501,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.12,0.07244700743348087,0.9856150647314023,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.14,0.07553124057928702,0.9850072788756722,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.16,0.07907479991969821,0.9843094398395978,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.18,0.08303126220376786,0.9835308712830196,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.2,0.0873944233232196,0.9826729849156306,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.22,0.09220780018714418,0.9817274450305546,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.24,0.09746448984390026,0.9806958600965494,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.26,0.10295620113155796,0.9796193117091372,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.28000000000003,0.10867425104257722,0.9784996496358974,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.3,0.11523029411436243,0.9772174732502108,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.32,0.12285385261088715,0.9757286336499905,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.34000000000003,0.13130776443702188,0.9740802827769467,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.36,0.13983975899774076,0.9724195305979123,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.38,0.14780365862649428,0.9708719131243757,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.40000000000003,0.15559066672554106,0.9693610524480634,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.42,0.16354191780272892,0.9678207508826243,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.44,0.17138204443555383,0.9663043726041316,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.46000000000004,0.17943920298748356,0.9647484930297555,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.48,0.18826548951153985,0.9630469659635194,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.5,0.19793233339932204,0.9611868397625807,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.52,0.20897570136614224,0.9590662344958036,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.54,0.2219240791706987,0.9565857772829953,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.56,0.23577194632234644,0.9539401081090676,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.58,0.24901555012860566,0.9514167304763665,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.6,0.26084421394149376,0.9491685930409179,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.62,0.27020759540329203,0.9473927708083466,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.64,0.27787988138683445,0.9459401519288401,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.66,0.2854886151546129,0.9445017652812643,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.68,0.29429391151608714,0.9428399054361596,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.7,0.30505052616069284,0.9408137325868067,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.72,0.3170997633382593,0.9385492446571438,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.74,0.3294364662098575,0.9362363785123947,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.76,0.34196489932754365,0.9338934001529136,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.78000000000003,0.35438484584955926,0.9315764977072413,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.8,0.365803613741149,0.9294514340316232,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.82,0.3763483885995048,0.9274933283130445,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.84000000000003,0.3867636963392752,0.9255633134925659,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.86,0.396801811706334,0.9237069952456656,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.88,0.40596293324426785,0.9220161063527866,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.90000000000003,0.41420525511290174,0.9204974477206918,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.92,0.4215631608118294,0.9191438572407884,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.94,0.42801258052542646,0.9179590326456704,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.96000000000004,0.4334820293363219,0.9169554356700629,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.98,0.4379525383086321,0.9161359505757278,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.0,0.4414187936747664,0.9155010584400239,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.02,0.44386529454269325,0.9150532131875266,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.04,0.4453760158314986,0.9147767768775411,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.06,0.446113213210276,0.9146419126115276,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.08,0.4461471931167847,0.9146356967433132,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.1,0.4453932221543713,0.9147736288940417,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.12,0.44372058811193565,0.9150796963876404,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.14,0.4411390281685189,0.9155522849965698,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.16,0.43786440475578403,0.916152099181294,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.18,0.4341987987322989,0.9168239959727306,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.2,0.4304024864346802,0.9175203703468694,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.22,0.4266763874437501,0.9182043795290277,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.24,0.423182331466519,0.9188462552780091,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.26,0.42002727899736214,0.9194262398762465,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
