n,cutoff,instance,graph_seed,coupling_seed,coupling_sha256,edge_count,exact_energy,exact_mip_gap,qaoa_expected_energy,qaoa_beta,qaoa_gamma,qaoa_ratio,rqaoa_energy,rqaoa_ratio,exact_runtime_seconds,rqaoa_runtime_seconds,instance_runtime_seconds
32,8,1,1441472280,125506780,1e8806448d6d8ef6cf88b4953316146ff6fe58b1ea1b2eb3b9d2817e87dbcd82,48,36.0,0.0,18.14586815449641,0.3882162161791125,0.30561078784972057,0.5040518931804558,36.0,1.0,0.05583854200085625,2.291464250010904,2.452962708019186
32,8,2,1492751649,1428064602,65808a55558bdfc7cda922169adf3d7d3033ed8a0470960c815f294ebcd90069,48,36.0,0.0,17.510825476735853,1.1913704950669293,2.8402491806216386,0.48641181879821815,36.0,1.0,0.05338100000517443,2.2743702080333605,2.435079124988988
32,8,3,1751062408,179975793,8cdb9c3f76faca6f8c4b7a48cabe8060d72c53f63479148df48732d1bacaa596,48,36.0,0.0,18.14586815449641,0.3882162161791125,0.30561078784972057,0.5040518931804558,36.0,1.0,0.22933233401272446,2.3438192919711582,2.67851904098643
32,8,4,1525549667,671974133,a9d11c709d7996360d1b0b8136f606db86d247378dd2b5f6f5477227d09f532c,48,38.0,0.0,18.81256695742081,0.39723617224739993,0.30986252184787083,0.49506755151107396,36.0,0.9473684210526315,0.07217875000787899,2.2228422499611042,2.4082289580255747
32,8,5,897096173,1936244418,6d61a7481702e1710b2602d53ccfc727d385e5d087330a5f37529856e0d5caaa,48,40.0,0.0,18.475208614068023,0.39269908169872414,0.3077398496914477,0.4618802153517006,38.0,0.95,0.0447042909800075,2.407062542042695,2.5638575829798356
32,8,6,853313450,2137665560,4b110f55de030d53058e76776c4179b5cfd9f38c65f56d7b9ce83e3a89d61e85,48,40.0,0.0,18.81256695742081,0.39723617224739993,0.30986252184787083,0.4703141739355202,38.0,0.95,0.03648812498431653,2.4325616249698214,2.5785672499914654
32,8,7,164964407,828778152,9dc58001b2d886c12de1a21f20e545f9ac6ae2c00b48f9e8a791782a3f97953d,48,40.0,0.0,18.81256695742081,0.39723617224739993,0.30986252184787083,0.4703141739355202,40.0,1.0,0.018454583012498915,2.17378070903942,2.3008024159935303
32,8,8,2047405059,303560260,da80658afb9b7eb4a3747d8ac1d28b2fb05d9390b98f55456472a6d88ef50c48,48,38.0,0.0,18.81256695742081,0.39723617224739993,0.30986252184787083,0.49506755151107396,38.0,1.0,0.027676249970681965,2.03944445803063,2.1746535830316134
32,8,9,1070389351,816358364,07ce535c583ced27b0c5383819a5ae85879816d2771eca710a8debb96c53330b,48,42.0,0.0,18.81256695742081,0.39723617224739993,0.30986252184787083,0.44791826089097164,42.0,1.0,0.012397875019814819,2.104224750015419,2.222171834029723
32,8,10,1502360108,580507365,b32c99682f534ffff97b8bbd7863a4fd6bb9e3a7ac674c33ebb9453207d21aa3,48,40.0,0.0,18.14586815449641,0.3882162161791125,0.30561078784972057,0.45364670386241024,40.0,1.0,0.01813045801827684,2.269167832972016,2.4004223750089295
32,8,11,4315786,1948819440,333c07c350b0f9367892533ca7054d362b4c55f786b0c9fe360afc0ee6bc5683,48,38.0,0.0,19.158034209686356,1.1689724336491516,1.8827725344311628,0.5041587949917462,36.0,0.9473684210526315,0.06997499999124557,2.179430541989859,2.3599344170070253
32,8,12,132105757,1953254226,4697334f80ad613edca41ed1ae81aa69021002fb8ef3739e0b5e0176783da0c2,48,38.0,0.0,18.14586815449641,0.3882162161791125,0.30561078784972057,0.47752284617095814,38.0,1.0,0.01782199996523559,2.3230448749964125,2.4459694160032086
32,8,13,1995061655,2099674054,cbe0d1e6150df1a675eac3a60d6f2129d5b1e508c09115d1d611ca398980fd01,48,36.0,0.0,18.14586815449641,0.3882162161791125,0.30561078784972057,0.5040518931804558,36.0,1.0,0.0398985409992747,2.2446464999811724,2.3951942090061493
32,8,14,30945519,1349464133,7c2c7ffaecd8b9ac0555e3a366ab3008cab1acf12cea47db9a7700da5358fd31,48,38.0,0.0,18.475208614068023,0.39269908169872414,0.3077398496914477,0.48618970037021114,36.0,0.9473684210526315,0.046300791029352695,2.3621107089566067,2.5147234169999138
32,8,15,352526942,1312654956,a07ccb0c76daa5d9eb8e9713e35df7ed7921e196695d23b52776c00dac7fc382,48,38.0,0.0,18.475208614068023,0.39269908169872414,0.3077398496914477,0.48618970037021114,38.0,1.0,0.04211300000315532,2.3288783750031143,2.4832420839811675
32,8,16,676167472,366525714,d0e7de0c41b50a565adca612e926227fadd1c0393bd55f7fe449b90383898969,48,36.0,0.0,18.475208614068023,0.39269908169872414,0.3077398496914477,0.5132002392796673,36.0,1.0,0.06532979104667902,2.5338873749715276,2.70651483401889
