case,epsilon,frequency,amplitude
noninteracting,0.060000,0.400000000000,0.011279250296
noninteracting,0.060000,0.407142857143,0.012919384908
noninteracting,0.060000,0.414285714286,0.015012635696
noninteracting,0.060000,0.421428571429,0.017747702229
noninteracting,0.060000,0.428571428571,0.021425449311
noninteracting,0.060000,0.435714285714,0.026552077875
noninteracting,0.060000,0.442857142857,0.034040269421
noninteracting,0.060000,0.450000000000,0.045695697635
noninteracting,0.060000,0.457142857143,0.065596182878
noninteracting,0.060000,0.464285714286,0.105069256714
noninteracting,0.060000,0.471428571429,0.210337126623
noninteracting,0.060000,0.478571428571,1.000000000000
noninteracting,0.060000,0.485714285714,0.585220587231
noninteracting,0.060000,0.492857142857,0.298949682216
noninteracting,0.060000,0.500000000000,0.256915481976
noninteracting,0.100000,0.207142857143,0.005079463093
noninteracting,0.100000,0.214285714286,0.005205456240
noninteracting,0.100000,0.221428571429,0.005341673342
noninteracting,0.100000,0.228571428571,0.005489136280
noninteracting,0.100000,0.235714285714,0.005649011674
noninteracting,0.100000,0.242857142857,0.005822636080
noninteracting,0.100000,0.250000000000,0.006011546552
noninteracting,0.100000,0.257142857143,0.006217517870
noninteracting,0.100000,0.264285714286,0.006442608190
noninteracting,0.100000,0.271428571429,0.006689215350
noninteracting,0.100000,0.278571428571,0.006960146806
noninteracting,0.100000,0.285714285714,0.007258707097
noninteracting,0.100000,0.292857142857,0.007588808096
noninteracting,0.100000,0.300000000000,0.007955109116
noninteracting,0.100000,0.307142857143,0.008363196549
noninteracting,0.100000,0.314285714286,0.008819816421
noninteracting,0.100000,0.321428571429,0.009333178580
noninteracting,0.100000,0.328571428571,0.009913359135
noninteracting,0.100000,0.335714285714,0.010572839524
noninteracting,0.100000,0.342857142857,0.011327238469
noninteracting,0.100000,0.350000000000,0.012196320907
noninteracting,0.100000,0.357142857143,0.013205412093
noninteracting,0.100000,0.364285714286,0.014387416815
noninteracting,0.100000,0.371428571429,0.015785763716
noninteracting,0.100000,0.378571428571,0.017458801617
noninteracting,0.100000,0.385714285714,0.019486544490
noninteracting,0.100000,0.392857142857,0.021981349249
noninteracting,0.100000,0.400000000000,0.025105450466
noninteracting,0.100000,0.407142857143,0.029101034342
noninteracting,0.100000,0.414285714286,0.034344595758
noninteracting,0.100000,0.421428571429,0.041451744473
noninteracting,0.100000,0.428571428571,0.051496510364
noninteracting,0.100000,0.435714285714,0.066522222239
noninteracting,0.100000,0.442857142857,0.090921347114
noninteracting,0.100000,0.450000000000,0.136078986925
noninteracting,0.100000,0.457142857143,0.243089457406
noninteracting,0.100000,0.464285714286,0.756300153617
noninteracting,0.100000,0.471428571429,1.000000000000
noninteracting,0.100000,0.478571428571,0.353269057908
noninteracting,0.100000,0.485714285714,0.240859666754
noninteracting,0.100000,0.492857142857,0.202023518578
noninteracting,0.100000,0.500000000000,0.191685430803
noninteracting,0.140000,0.207142857143,0.003858397083
noninteracting,0.140000,0.214285714286,0.003955932859
noninteracting,0.140000,0.221428571429,0.004061507485
noninteracting,0.140000,0.228571428571,0.004175944663
noninteracting,0.140000,0.235714285714,0.004300187855
noninteracting,0.140000,0.242857142857,0.004435321810
noninteracting,0.140000,0.250000000000,0.004582598840
noninteracting,0.140000,0.257142857143,0.004743471047
noninteracting,0.140000,0.264285714286,0.004919630150
noninteracting,0.140000,0.271428571429,0.005113057013
noninteracting,0.140000,0.278571428571,0.005326083713
noninteracting,0.140000,0.285714285714,0.005561471951
noninteracting,0.140000,0.292857142857,0.005822512950
noninteracting,0.140000,0.300000000000,0.006113155955
