model,J_z,epsilon,var_h,mean_h
nearest,0.030000000000,0.005000000000,0.000000000000,1.000000000000
nearest,0.030000000000,0.007338996338,0.000000000000,1.000000000000
nearest,0.030000000000,0.010772173450,0.000000000000,1.000000000000
nearest,0.030000000000,0.015811388301,0.000000000000,1.000000000000
nearest,0.030000000000,0.023207944168,0.000000000000,1.000000000000
nearest,0.030000000000,0.034064603453,0.000000000000,1.000000000000
nearest,0.030000000000,0.050000000000,0.047821577234,0.925320398770
nearest,0.030000000000,0.073389963381,0.073602663165,0.823582230195
nearest,0.030000000000,0.107721734502,0.094163589741,0.622695852989
nearest,0.030000000000,0.158113883008,0.065905809754,0.413658781512
nearest,0.030000000000,0.232079441681,0.057960880441,0.244666772502
nearest,0.030000000000,0.340646034529,0.059707574125,0.157064424260
nearest,0.030000000000,0.500000000000,0.060454273301,0.239387331776
nearest,0.050000000000,0.005000000000,0.000000000000,1.000000000000
nearest,0.050000000000,0.007338996338,0.000000000000,1.000000000000
nearest,0.050000000000,0.010772173450,0.000000000000,1.000000000000
nearest,0.050000000000,0.015811388301,0.000000000000,1.000000000000
nearest,0.050000000000,0.023207944168,0.000000000000,1.000000000000
nearest,0.050000000000,0.034064603453,0.000000000000,1.000000000000
nearest,0.050000000000,0.050000000000,0.000000000000,1.000000000000
nearest,0.050000000000,0.073389963381,0.081384319442,0.875152734004
nearest,0.050000000000,0.107721734502,0.084283233940,0.753420091679
nearest,0.050000000000,0.158113883008,0.088968221387,0.580317974011
nearest,0.050000000000,0.232079441681,0.120629350576,0.346415171182
nearest,0.050000000000,0.340646034529,0.017714055372,0.192851611815
nearest,0.050000000000,0.500000000000,0.038468721389,0.170281873614
nearest,0.100000000000,0.005000000000,0.000000000000,1.000000000000
nearest,0.100000000000,0.007338996338,0.000000000000,1.000000000000
nearest,0.100000000000,0.010772173450,0.000000000000,1.000000000000
nearest,0.100000000000,0.015811388301,0.000000000000,1.000000000000
nearest,0.100000000000,0.023207944168,0.000000000000,1.000000000000
nearest,0.100000000000,0.034064603453,0.000000000000,1.000000000000
nearest,0.100000000000,0.050000000000,0.000000000000,1.000000000000
nearest,0.100000000000,0.073389963381,0.000000000000,1.000000000000
nearest,0.100000000000,0.107721734502,0.000000000000,1.000000000000
nearest,0.100000000000,0.158113883008,0.063197056409,0.911516382440
nearest,0.100000000000,0.232079441681,0.134827892254,0.413938744415
nearest,0.100000000000,0.340646034529,0.071194593596,0.260852085101
nearest,0.100000000000,0.500000000000,0.009982362575,0.110497911824
