paper_point_index,job_index,job_id,paper_id,target_id,target_label,profile,panel,L,J_z,epsilon,epsilon_c,beta,nu,sample_start,sample_count,seed,endpoint_mutual_information,scaling_x,scaling_y,chunk_job_count,source_job_indices,compute_backend
10,20,T003-medium-fig3c-L8-eps0.1277,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,8,0.1,0.1277,0.081,0.44,1.24,0,2000,1302077,0.15239282072517232,0.24981312788676707,0.3804732270890386,3,20;58;59,cupy;numpy
11,21,T003-medium-fig3c-L8-eps0.2306,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,8,0.1,0.2306,0.081,0.44,1.24,0,2000,1303106,0.030660759943093883,0.8002579000398362,0.07654952657900588,3,21;60;61,cupy;numpy
12,22,T003-medium-fig3c-L8-eps0.3147,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,8,0.1,0.3147,0.081,0.44,1.24,0,2000,1303947,0.011854180459883935,1.2501355029365622,0.02959587120053135,3,22;62;63,cupy;numpy
13,23,T003-medium-fig3c-L8-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,8,0.1,0.45,0.081,0.44,1.24,0,2000,1305300,0.0036186630489728976,1.973898162531414,0.009034575260428635,3,23;64;65,cupy;numpy
14,24,T003-medium-fig3b-L10-eps0.1921,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,10,0.05,0.1921,0.043,0.42,1.21,0,1000,802921,0.0024265823471841235,0.99982484490194,0.006382561877496766,4,24;25;26;27,cupy
15,28,T003-medium-fig3b-L10-eps0.2667,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,10,0.05,0.2667,0.043,0.42,1.21,0,1000,803667,0.0008548861945423305,1.5000725540212205,0.0022485797942179402,4,28;29;30;31,cupy
16,32,T003-medium-fig3b-L10-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,10,0.05,0.45,0.043,0.42,1.21,0,1000,805500,7.405222705170285e-05,2.729233480047549,0.00019477720254266334,4,32;33;34;35,cupy
17,36,T003-medium-fig3b-L12-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.0,0.043,0.42,1.21,0,300,801200,0.6931471805598761,-0.3352384182716087,1.9682560016890787,3,36;37;38,cupy
18,39,T003-medium-fig3b-L12-eps0.0430,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.043,0.043,0.42,1.21,0,300,801630,0.311842340867459,0.0,0.8855053821287627,3,39;40;41,cupy
19,42,T003-medium-fig3b-L12-eps0.0943,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.0943,0.043,0.42,1.21,0,300,802143,0.02560780663389738,0.3999472292403146,0.07271575288894648,3,42;43;44,cupy
20,45,T003-medium-fig3b-L12-eps0.1713,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.1713,0.043,0.42,1.21,0,300,802913,0.0019674653467407883,1.000257885215056,0.005586801166398634,3,45;46;47,cupy
21,48,T003-medium-fig3b-L12-eps0.2354,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.2354,0.043,0.42,1.21,0,300,803554,0.0004887158356880911,1.4999970157083147,0.0013877541504772602,3,48;49;50,cupy
22,51,T003-medium-fig3b-L12-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3b,12,0.05,0.45,0.043,0.42,1.21,0,300,805700,1.004570927396557e-05,3.173070610152204,2.8525727470658537e-05,3,51;52;53,cupy
23,66,T003-medium-fig3c-L10-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.0,0.081,0.44,1.24,0,1000,1301000,0.6931471805598761,-0.5187243459669798,1.9090858603359335,4,66;67;68;69,cupy
24,70,T003-medium-fig3c-L10-eps0.0654,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.0654,0.081,0.44,1.24,0,1000,1301654,0.42796925571995614,-0.0999024666306776,1.178725208250175,4,70;71;72;73,cupy
25,74,T003-medium-fig3c-L10-eps0.1200,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.12,0.081,0.44,1.24,0,1000,1302200,0.15355549392353032,0.24975616657669392,0.4229269489194566,4,74;75;76;77,cupy
26,78,T003-medium-fig3c-L10-eps0.2059,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.2059,0.081,0.44,1.24,0,1000,1303059,0.026414049786906396,0.7998601334725404,0.07275033409450098,4,78;79;80;81,cupy
27,82,T003-medium-fig3c-L10-eps0.2762,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.2762,0.081,0.44,1.24,0,1000,1303762,0.008562695033308443,1.250061633737709,0.02358362043866927,4,82;83;84;85,cupy
28,86,T003-medium-fig3c-L10-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,10,0.1,0.45,0.081,0.44,1.24,0,1000,1305500,0.0011951995819537151,2.3630775760717966,0.003291852994834699,4,86;87;88;89,cupy
29,90,T003-medium-fig3c-L12-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.0,0.081,0.44,1.24,0,300,1301200,0.6931471805598761,-0.6008865393706623,2.0685461247662915,3,90;91;92,cupy
30,93,T003-medium-fig3c-L12-eps0.0473,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.0473,0.081,0.44,1.24,0,300,1301673,0.5264258945054414,-0.24999847378754714,1.5710029191437993,3,93;94;95,cupy
