case,L,samples,epsilon,frequency,amplitude
noninteracting,14,1,0.000000000000,0.207142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.214285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.221428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.228571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.235714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.242857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.250000000000,0.000000000000
noninteracting,14,1,0.000000000000,0.257142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.264285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.271428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.278571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.285714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.292857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.300000000000,0.000000000000
noninteracting,14,1,0.000000000000,0.307142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.314285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.321428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.328571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.335714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.342857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.350000000000,0.000000000000
noninteracting,14,1,0.000000000000,0.357142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.364285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.371428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.378571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.385714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.392857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.400000000000,0.000000000000
noninteracting,14,1,0.000000000000,0.407142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.414285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.421428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.428571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.435714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.442857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.450000000000,0.000000000000
noninteracting,14,1,0.000000000000,0.457142857143,0.000000000000
noninteracting,14,1,0.000000000000,0.464285714286,0.000000000000
noninteracting,14,1,0.000000000000,0.471428571429,0.000000000000
noninteracting,14,1,0.000000000000,0.478571428571,0.000000000000
noninteracting,14,1,0.000000000000,0.485714285714,0.000000000000
noninteracting,14,1,0.000000000000,0.492857142857,0.000000000000
noninteracting,14,1,0.000000000000,0.500000000000,1.000000000000
interacting,14,16,0.000000000000,0.207142857143,0.000000000000
interacting,14,16,0.000000000000,0.214285714286,0.000000000000
interacting,14,16,0.000000000000,0.221428571429,0.000000000000
interacting,14,16,0.000000000000,0.228571428571,0.000000000000
interacting,14,16,0.000000000000,0.235714285714,0.000000000000
interacting,14,16,0.000000000000,0.242857142857,0.000000000000
interacting,14,16,0.000000000000,0.250000000000,0.000000000000
interacting,14,16,0.000000000000,0.257142857143,0.000000000000
interacting,14,16,0.000000000000,0.264285714286,0.000000000000
interacting,14,16,0.000000000000,0.271428571429,0.000000000000
interacting,14,16,0.000000000000,0.278571428571,0.000000000000
interacting,14,16,0.000000000000,0.285714285714,0.000000000000
interacting,14,16,0.000000000000,0.292857142857,0.000000000000
interacting,14,16,0.000000000000,0.300000000000,0.000000000000
interacting,14,16,0.000000000000,0.307142857143,0.000000000000
interacting,14,16,0.000000000000,0.314285714286,0.000000000000
interacting,14,16,0.000000000000,0.321428571429,0.000000000000
interacting,14,16,0.000000000000,0.328571428571,0.000000000000
interacting,14,16,0.000000000000,0.335714285714,0.000000000000
interacting,14,16,0.000000000000,0.342857142857,0.000000000000
interacting,14,16,0.000000000000,0.350000000000,0.000000000000
interacting,14,16,0.000000000000,0.357142857143,0.000000000000
interacting,14,16,0.000000000000,0.364285714286,0.000000000000
interacting,14,16,0.000000000000,0.371428571429,0.000000000000
interacting,14,16,0.000000000000,0.378571428571,0.000000000000
interacting,14,16,0.000000000000,0.385714285714,0.000000000000
interacting,14,16,0.000000000000,0.392857142857,0.000000000000
interacting,14,16,0.000000000000,0.400000000000,0.000000000000
interacting,14,16,0.000000000000,0.407142857143,0.000000000000
interacting,14,16,0.000000000000,0.414285714286,0.000000000000
interacting,14,16,0.000000000000,0.421428571429,0.000000000000
interacting,14,16,0.000000000000,0.428571428571,0.000000000000
interacting,14,16,0.000000000000,0.435714285714,0.000000000000
interacting,14,16,0.000000000000,0.442857142857,0.000000000000
interacting,14,16,0.000000000000,0.450000000000,0.000000000000
interacting,14,16,0.000000000000,0.457142857143,0.000000000000
interacting,14,16,0.000000000000,0.464285714286,0.000000000000
interacting,14,16,0.000000000000,0.471428571429,0.000000000000
interacting,14,16,0.000000000000,0.478571428571,0.000000000000
interacting,14,16,0.000000000000,0.485714285714,0.000000000000
interacting,14,16,0.000000000000,0.492857142857,0.000000000000
interacting,14,16,0.000000000000,0.500000000000,1.000000000000
noninteracting,14,1,0.030000000000,0.207142857143,0.022162608240
noninteracting,14,1,0.030000000000,0.214285714286,0.022554745472
noninteracting,14,1,0.030000000000,0.221428571429,0.022972842120
noninteracting,14,1,0.030000000000,0.228571428571,0.023418809299
noninteracting,14,1,0.030000000000,0.235714285714,0.023894773047
noninteracting,14,1,0.030000000000,0.242857142857,0.024403104074
noninteracting,14,1,0.030000000000,0.250000000000,0.024946452688
noninteracting,14,1,0.030000000000,0.257142857143,0.025527789967
noninteracting,14,1,0.030000000000,0.264285714286,0.026150456506
noninteracting,14,1,0.030000000000,0.271428571429,0.026818220432
noninteracting,14,1,0.030000000000,0.278571428571,0.027535346788
noninteracting,14,1,0.030000000000,0.285714285714,0.028306681000
noninteracting,14,1,0.030000000000,0.292857142857,0.029137749841
noninteracting,14,1,0.030000000000,0.300000000000,0.030034884371
noninteracting,14,1,0.030000000000,0.307142857143,0.031005370624
noninteracting,14,1,0.030000000000,0.314285714286,0.032057635657
noninteracting,14,1,0.030000000000,0.321428571429,0.033201479052
noninteracting,14,1,0.030000000000,0.328571428571,0.034448363416
noninteracting,14,1,0.030000000000,0.335714285714,0.035811782239
noninteracting,14,1,0.030000000000,0.342857142857,0.037307730345
noninteracting,14,1,0.030000000000,0.350000000000,0.038955312050
noninteracting,14,1,0.030000000000,0.357142857143,0.040777536663
noninteracting,14,1,0.030000000000,0.364285714286,0.042802372594
noninteracting,14,1,0.030000000000,0.371428571429,0.045064164226
noninteracting,14,1,0.030000000000,0.378571428571,0.047605566886
noninteracting,14,1,0.030000000000,0.385714285714,0.050480236561
noninteracting,14,1,0.030000000000,0.392857142857,0.053756644048
noninteracting,14,1,0.030000000000,0.400000000000,0.057523607150
noninteracting,14,1,0.030000000000,0.407142857143,0.061898524809
noninteracting,14,1,0.030000000000,0.414285714286,0.067040004221
noninteracting,14,1,0.030000000000,0.421428571429,0.073167912841
noninteracting,14,1,0.030000000000,0.428571428571,0.080596568704
noninteracting,14,1,0.030000000000,0.435714285714,0.089792496937
noninteracting,14,1,0.030000000000,0.442857142857,0.101481336310
noninteracting,14,1,0.030000000000,0.450000000000,0.116861826772
noninteracting,14,1,0.030000000000,0.457142857143,0.138080461918
noninteracting,14,1,0.030000000000,0.464285714286,0.169444317115
noninteracting,14,1,0.030000000000,0.471428571429,0.221241609311
noninteracting,14,1,0.030000000000,0.478571428571,0.326824334973
noninteracting,14,1,0.030000000000,0.485714285714,0.710225247706
noninteracting,14,1,0.030000000000,0.492857142857,1.000000000000
noninteracting,14,1,0.030000000000,0.500000000000,0.033871678390
interacting,14,16,0.030000000000,0.207142857143,0.002109196938
interacting,14,16,0.030000000000,0.214285714286,0.002146543754
interacting,14,16,0.030000000000,0.221428571429,0.002186359472
interacting,14,16,0.030000000000,0.228571428571,0.002228826584
interacting,14,16,0.030000000000,0.235714285714,0.002274148069
interacting,14,16,0.030000000000,0.242857142857,0.002322550257
interacting,14,16,0.030000000000,0.250000000000,0.002374286205
interacting,14,16,0.030000000000,0.257142857143,0.002429639682
interacting,14,16,0.030000000000,0.264285714286,0.002488929885
interacting,14,16,0.030000000000,0.271428571429,0.002552517089
interacting,14,16,0.030000000000,0.278571428571,0.002620809416
interacting,14,16,0.030000000000,0.285714285714,0.002694271058
interacting,14,16,0.030000000000,0.292857142857,0.002773432035
interacting,14,16,0.030000000000,0.300000000000,0.002858901006
interacting,14,16,0.030000000000,0.307142857143,0.002951379773
interacting,14,16,0.030000000000,0.314285714286,0.003051682950
interacting,14,16,0.030000000000,0.321428571429,0.003160761317
interacting,14,16,0.030000000000,0.328571428571,0.003279735292
interacting,14,16,0.030000000000,0.335714285714,0.003409935239
interacting,14,16,0.030000000000,0.342857142857,0.003552957631
interacting,14,16,0.030000000000,0.350000000000,0.003710753121
interacting,14,16,0.030000000000,0.357142857143,0.003885754507
interacting,14,16,0.030000000000,0.364285714286,0.004081117500
interacting,14,16,0.030000000000,0.371428571429,0.004301302434
interacting,14,16,0.030000000000,0.378571428571,0.004554289138
interacting,14,16,0.030000000000,0.385714285714,0.004830626365
interacting,14,16,0.030000000000,0.392857142857,0.005137365610
interacting,14,16,0.030000000000,0.400000000000,0.005543887834
interacting,14,16,0.030000000000,0.407142857143,0.005885189744
interacting,14,16,0.030000000000,0.414285714286,0.006436689408
interacting,14,16,0.030000000000,0.421428571429,0.006877750622
