L,J_z,epsilon,endpoint_mutual_information
6,0.100000,0.000000000000,0.693147180560
6,0.100000,0.040000000000,0.631014040935
6,0.100000,0.080000000000,0.345313435976
6,0.100000,0.120000000000,0.323569464697
6,0.100000,0.160000000000,0.092882172116
6,0.100000,0.200000000000,0.117664574197
6,0.100000,0.240000000000,0.018151908595
6,0.100000,0.280000000000,0.027300387926
8,0.100000,0.000000000000,0.693147180560
8,0.100000,0.040000000000,0.572829025592
8,0.100000,0.080000000000,0.431231174995
8,0.100000,0.120000000000,0.182741405475
8,0.100000,0.160000000000,0.294685302305
8,0.100000,0.200000000000,0.048164994946
8,0.100000,0.240000000000,0.038204263503
8,0.100000,0.280000000000,0.019051525897
