model,J_z,epsilon,var_h,mean_h
long_range_alpha_1.5,0.030000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.007387843641,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.010916046733,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.016129209289,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.023832015257,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.035213440474,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.052030278458,0.000000000000,1.000000000000
long_range_alpha_1.5,0.030000000000,0.076878312370,0.006036968065,0.979938481173
long_range_alpha_1.5,0.030000000000,0.113592990238,0.070774596820,0.848450588769
long_range_alpha_1.5,0.030000000000,0.167841450122,0.083330246877,0.459783193979
long_range_alpha_1.5,0.030000000000,0.247997278002,0.124205008133,0.419872764448
long_range_alpha_1.5,0.030000000000,0.366433022663,0.076233710751,0.262736804433
long_range_alpha_1.5,0.030000000000,0.541429975279,0.054569555295,0.207147895125
long_range_alpha_1.5,0.030000000000,0.800000000000,0.005514950396,0.089118535356
long_range_alpha_1.5,0.050000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.007387843641,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.010916046733,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.016129209289,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.023832015257,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.035213440474,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.052030278458,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.076878312370,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.113592990238,0.000000000000,1.000000000000
long_range_alpha_1.5,0.050000000000,0.167841450122,0.066197020744,0.851192292475
long_range_alpha_1.5,0.050000000000,0.247997278002,0.129978744563,0.611497590158
long_range_alpha_1.5,0.050000000000,0.366433022663,0.089811798841,0.301811052962
long_range_alpha_1.5,0.050000000000,0.541429975279,0.050861022125,0.213633540097
long_range_alpha_1.5,0.050000000000,0.800000000000,0.002102526642,0.057218792054
long_range_alpha_1.5,0.070000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.007387843641,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.010916046733,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.016129209289,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.023832015257,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.035213440474,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.052030278458,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.076878312370,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.113592990238,0.000000000000,1.000000000000
long_range_alpha_1.5,0.070000000000,0.167841450122,0.077491656459,0.875895951671
long_range_alpha_1.5,0.070000000000,0.247997278002,0.141023640006,0.444233496118
long_range_alpha_1.5,0.070000000000,0.366433022663,0.105226242664,0.628773243459
long_range_alpha_1.5,0.070000000000,0.541429975279,0.121551139794,0.326946296079
long_range_alpha_1.5,0.070000000000,0.800000000000,0.020272543473,0.130733164348
