L,samples,J_z,epsilon,endpoint_mutual_information
6,5,0.050000000000,0.000000000000,0.693147180560
6,5,0.050000000000,0.040000000000,0.411418888655
6,5,0.050000000000,0.080000000000,0.091849650870
6,5,0.050000000000,0.120000000000,0.073915323346
6,5,0.050000000000,0.160000000000,0.031200813721
6,5,0.050000000000,0.200000000000,0.049950466185
6,5,0.050000000000,0.240000000000,0.000820902823
6,5,0.050000000000,0.280000000000,0.003548344376
6,5,0.050000000000,0.320000000000,0.007313070524
8,3,0.050000000000,0.000000000000,0.693147180560
8,3,0.050000000000,0.040000000000,0.265289380674
8,3,0.050000000000,0.080000000000,0.085112384175
8,3,0.050000000000,0.120000000000,0.013542766011
8,3,0.050000000000,0.160000000000,0.006108839312
8,3,0.050000000000,0.200000000000,0.012465747872
8,3,0.050000000000,0.240000000000,0.000246917096
8,3,0.050000000000,0.280000000000,0.001706856289
8,3,0.050000000000,0.320000000000,0.000020717970
10,1,0.050000000000,0.000000000000,0.693147180560
10,1,0.050000000000,0.040000000000,0.233253906831
10,1,0.050000000000,0.080000000000,0.043184772629
10,1,0.050000000000,0.120000000000,0.047191401900
10,1,0.050000000000,0.160000000000,0.014731210872
10,1,0.050000000000,0.200000000000,0.000848254277
10,1,0.050000000000,0.240000000000,0.000118885989
10,1,0.050000000000,0.280000000000,0.000000034935
10,1,0.050000000000,0.320000000000,0.000000000027
6,5,0.100000000000,0.000000000000,0.693147180560
6,5,0.100000000000,0.040000000000,0.625696003622
6,5,0.100000000000,0.080000000000,0.424055593203
6,5,0.100000000000,0.120000000000,0.213777333226
6,5,0.100000000000,0.160000000000,0.136003821035
6,5,0.100000000000,0.200000000000,0.101042418279
6,5,0.100000000000,0.240000000000,0.047872571332
6,5,0.100000000000,0.280000000000,0.039149123306
6,5,0.100000000000,0.320000000000,0.003687000878
8,3,0.100000000000,0.000000000000,0.693147180560
8,3,0.100000000000,0.040000000000,0.543968521821
8,3,0.100000000000,0.080000000000,0.301502100995
8,3,0.100000000000,0.120000000000,0.211410497821
8,3,0.100000000000,0.160000000000,0.104021303118
8,3,0.100000000000,0.200000000000,0.020414062997
8,3,0.100000000000,0.240000000000,0.004132253788
8,3,0.100000000000,0.280000000000,0.011612623578
8,3,0.100000000000,0.320000000000,0.004133825613
10,1,0.100000000000,0.000000000000,0.693147180560
10,1,0.100000000000,0.040000000000,0.516911717955
10,1,0.100000000000,0.080000000000,0.173577987771
10,1,0.100000000000,0.120000000000,0.013747931776
10,1,0.100000000000,0.160000000000,0.050933472124
10,1,0.100000000000,0.200000000000,0.000902441909
10,1,0.100000000000,0.240000000000,0.002053273446
10,1,0.100000000000,0.280000000000,0.002854948472
10,1,0.100000000000,0.320000000000,0.000003148380
6,5,0.150000000000,0.000000000000,0.693147180560
6,5,0.150000000000,0.040000000000,0.645524360284
6,5,0.150000000000,0.080000000000,0.510739411555
6,5,0.150000000000,0.120000000000,0.379723549124
6,5,0.150000000000,0.160000000000,0.254841505748
6,5,0.150000000000,0.200000000000,0.170337591924
6,5,0.150000000000,0.240000000000,0.147688521104
6,5,0.150000000000,0.280000000000,0.067605842154
6,5,0.150000000000,0.320000000000,0.085862038988
8,3,0.150000000000,0.000000000000,0.693147180560
8,3,0.150000000000,0.040000000000,0.658850197525
8,3,0.150000000000,0.080000000000,0.617744050409
8,3,0.150000000000,0.120000000000,0.316248298728
8,3,0.150000000000,0.160000000000,0.148801345586
8,3,0.150000000000,0.200000000000,0.064948977828
8,3,0.150000000000,0.240000000000,0.103920681841
8,3,0.150000000000,0.280000000000,0.185423080074
8,3,0.150000000000,0.320000000000,0.142863787856
10,1,0.150000000000,0.000000000000,0.693147180560
10,1,0.150000000000,0.040000000000,0.598836532064
10,1,0.150000000000,0.080000000000,0.474770090577
10,1,0.150000000000,0.120000000000,0.308135144726
10,1,0.150000000000,0.160000000000,0.083566939138
10,1,0.150000000000,0.200000000000,0.033976416982
10,1,0.150000000000,0.240000000000,0.009819966587
10,1,0.150000000000,0.280000000000,0.005370618007
10,1,0.150000000000,0.320000000000,0.002458738038
