convention,hopping_pi,delta_difference_pi,sigma_z_coefficient_pi,gap_zero_pi,gap_pi_pi,coarse_winding_zero_raw,coarse_winding_pi_raw,winding_zero_raw,winding_pi_raw,chern_upper_raw,winding_zero,winding_pi,chern_upper,quantization_residual,bulk_edge_relation_residual,winding_momentum_points_used,winding_time_points_used,adaptive_refinement_used,status
onsite_difference,2.15,0.0,0.0,0.0,0.7243455422283522,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.2,0.0,0.0,0.0,0.7636579979899989,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.25,0.0,0.0,0.0,0.8030030566727401,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.3,0.0,0.0,0.0,0.8423737389415389,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.35,0.0,0.0,0.0,0.8817639738538228,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.4,0.0,0.0,0.0,0.9211683496615226,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.4499999999999997,0.0,0.0,0.0,0.9605819129904638,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.5,0.0,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.55,0.0,0.0,0.0,0.9605819129904642,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.6,0.0,0.0,0.0,0.9211683496615225,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.65,0.0,0.0,0.0,0.8817639738538229,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.7,0.0,0.0,0.0,0.8423737389415392,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.75,0.0,0.0,0.0,0.8030030566727401,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.8,0.0,0.0,0.0,0.7636579979899988,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.85,0.0,0.0,0.0,0.7243455422283519,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.9,0.0,0.0,0.0,0.6850738973266413,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.95,0.0,0.0,0.0,0.6458529235394654,,,,,,,,,,,,,False,gap_closing
