temperature_k,detuning_regime,background_over_rho0,many_body_over_rho0,phonon_over_rho0,total_over_rho0
0.0,Delta/Delta_star -> infinity,1.0,0.0,0.0,1.0
0.25,Delta/Delta_star -> infinity,1.0,0.0,3.906248474121691e-10,1.0000000003906249
0.5,Delta/Delta_star -> infinity,1.0,0.0,1.249992187548828e-08,1.000000012499922
0.75,Delta/Delta_star -> infinity,1.0,0.0,9.491887170757486e-08,1.0000000949188717
1.0,Delta/Delta_star -> infinity,1.0,0.0,3.9996000399960015e-07,1.000000399960004
1.25,Delta/Delta_star -> infinity,1.0,0.0,1.22040517451794e-06,1.0000012204051745
1.5,Delta/Delta_star -> infinity,1.0,0.0,3.035963043709122e-06,1.0000030359630436
1.75,Delta/Delta_star -> infinity,1.0,0.0,6.5590826728525305e-06,1.0000065590826728
2.0,Delta/Delta_star -> infinity,1.0,0.0,1.2779552715654955e-05,1.0000127795527156
2.25,Delta/Delta_star -> infinity,1.0,0.0,2.3007051069505075e-05,1.0000230070510696
2.5,Delta/Delta_star -> infinity,1.0,0.0,3.891050583657588e-05,1.0000389105058365
2.75,Delta/Delta_star -> infinity,1.0,0.0,6.255279862318671e-05,1.000062552798623
3.0,Delta/Delta_star -> infinity,1.0,0.0,9.6419006050987e-05,1.000096419006051
3.25,Delta/Delta_star -> infinity,1.0,0.0,0.00014343606351173492,1.0001434360635117
3.5,Delta/Delta_star -> infinity,1.0,0.0,0.00020698148410416188,1.0002069814841041
3.75,Delta/Delta_star -> infinity,1.0,0.0,0.0002908786210198707,1.0002908786210198
4.0,Delta/Delta_star -> infinity,1.0,0.0,0.0003993759750390016,1.000399375975039
4.25,Delta/Delta_star -> infinity,1.0,0.0,0.0005371082733974876,1.0005371082733976
4.5,Delta/Delta_star -> infinity,1.0,0.0,0.0007090375297938896,1.0007090375297938
4.75,Delta/Delta_star -> infinity,1.0,0.0,0.0009203730707227872,1.0009203730707228
5.0,Delta/Delta_star -> infinity,1.0,0.0,0.0011764705882352942,1.0011764705882353
5.25,Delta/Delta_star -> infinity,1.0,0.0,0.001482711625166411,1.0014827116251663
5.5,Delta/Delta_star -> infinity,1.0,0.0,0.001844366443160541,1.0018443664431604
5.75,Delta/Delta_star -> infinity,1.0,0.0,0.0022664448467361368,1.0022664448467362
