temperature_k,contribution,rho_over_rho0
0.8,many_body,1.679568614401279
0.8,phonon,1.310666315107733e-07
0.8,total,1.6795687454679105
1.405,many_body,2.4975158471729024
1.405,phonon,2.1891343254256923e-06
1.405,total,2.497518036307228
2.01,many_body,2.846412779000272
2.01,phonon,1.3101830697407888e-05
2.01,total,2.846425880830969
2.615,many_body,3.04776275446018
2.615,phonon,4.868468590030362e-05
2.615,total,3.0478114391460807
3.2199999999999998,many_body,3.1594639303659013
3.2199999999999998,phonon,0.00013699207377091796
3.2199999999999998,total,3.1596009224396724
3.825,many_body,3.2152938604637793
3.825,phonon,0.0003206409515595064
3.825,total,3.215614501415339
4.43,many_body,3.2380790943217703
4.43,phonon,0.0006571528638781062
4.43,total,3.2387362471856482
5.034999999999999,many_body,3.2395773027931227
5.034999999999999,phonon,0.0012162032890015353
5.034999999999999,total,3.2407935060821242
5.64,many_body,3.2263628785263934
5.64,phonon,0.0020729804129927926
5.64,total,3.228435858939386
6.245,many_body,3.2027250317779203
6.245,phonon,0.0032978580227576095
6.245,total,3.206022889800678
6.85,many_body,3.171768588011613
6.85,phonon,0.004944151365233563
6.85,total,3.1767127393768466
7.454999999999999,many_body,3.13583965311733
7.454999999999999,phonon,0.007037172700398433
7.454999999999999,total,3.142876825817728
8.06,many_body,3.096712383513288
8.06,phonon,0.009568136856444044
8.06,total,3.106280520369732
8.665000000000001,many_body,3.055701115224028
8.665000000000001,phonon,0.01249510567175534
8.665000000000001,total,3.0681962208957834
9.27,many_body,3.0137517981066306
9.27,phonon,0.01575060986872133
9.27,total,3.029502407975352
9.875,many_body,2.971523953835053
9.875,phonon,0.01925324289810193
9.875,total,2.990777196733155
10.48,many_body,2.929462070285897
10.48,phonon,0.022919620106578466
10.48,total,2.9523816903924756
11.085,many_body,2.887854412483827
11.085,phonon,0.0266738255007914
11.085,total,2.9145282379846185
11.690000000000001,many_body,2.846879023728197
11.690000000000001,phonon,0.030453049723057707
11.690000000000001,total,2.877332073451255
12.295,many_body,2.806638229670901
12.295,phonon,0.034209588987238984
12.295,total,2.84084781865814
12.9,many_body,2.767183679320248
12.9,phonon,0.037910196965728914
12.9,total,2.8050938762859765
13.505,many_body,2.728534048940087
13.505,phonon,0.04153395415712705
13.505,total,2.770068003097214
14.11,many_body,2.6906872921492924
14.11,phonon,0.045069601973435215
14.11,total,2.7357568941227277
14.715,many_body,2.653628957568734
14.715,phonon,0.0485129486106258
14.715,total,2.7021419061793597
15.32,many_body,2.6173377329465346
15.32,phonon,0.051864651441071156
15.32,total,2.6692023843876056
15.925,many_body,2.5817890650289237
15.925,phonon,0.055128472972114415
15.925,total,2.636917538001038
16.53,many_body,2.546957461372595
16.53,phonon,0.058309990591492944
16.53,total,2.605267451964088
17.135,many_body,2.5128178988753995
17.135,phonon,0.06141568865124601
17.135,total,2.5742335875266456
17.74,many_body,2.479346633487752
17.74,phonon,0.06445234853649097
17.74,total,2.543798982024243
18.345,many_body,2.4465216138929864
18.345,phonon,0.06742665878111113
18.345,total,2.5139482726740976
18.95,many_body,2.41432263756991
18.95,phonon,0.07034498109480863
18.95,total,2.4846676186647185
19.555,many_body,2.382731344313277
19.555,phonon,0.07321322304139154
19.555,total,2.4559445673546687
20.16,many_body,2.35173111147344
20.16,phonon,0.07603678125376458
20.16,total,2.4277678927272044
20.765,many_body,2.321306894455517
20.765,phonon,0.0788205296051725
20.765,total,2.4001274240606896
21.37,many_body,2.2914450416375125
21.37,phonon,0.08156883471609516
21.37,total,2.3730138763536077
21.975,many_body,2.262133102716033
21.975,phonon,0.08428558695870271
21.975,total,2.346418689674736
22.580000000000002,many_body,2.233359642626239
22.580000000000002,phonon,0.08697423920295201
22.580000000000002,total,2.320333881829191
23.185,many_body,2.2051140684296007
23.185,phonon,0.08963784836607651
23.185,total,2.2947519167956774
23.79,many_body,2.1773864732037778
23.79,phonon,0.09227911673489834
23.79,total,2.269665589938676
24.395,many_body,2.1501674986889383
24.395,phonon,0.09490043129854416
24.395,total,2.2450679299874823
25.0,many_body,2.1234482170222795
25.0,phonon,0.09750390015600624
25.0,total,2.220952117178286
