detuning_over_ef,tunnel_mev,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number,sigma_x_over_sigma0
0.025,0.2,0.9989982782251096,0.0,-0.0007627482655859832,0.0,0.0008439129285014641,0.0,131,1.7026733365471723e-22,-1.2331740925328716e-21,7469166448452.913,-0.0007627482655859832
0.05791666666666667,0.2,0.9973602551888205,0.0,-0.0016354358001070427,0.0,0.001971712296943746,0.0,192,2.0742501241368853e-22,-2.129428979391869e-21,7201974125928.834,-0.0016354358001070427
0.09083333333333335,0.2,0.9929444993093272,0.0,-0.003823608796224254,0.0,0.004902412920865497,0.0,238,5.905811147850407e-22,-3.654108327833856e-21,6934537490871.608,-0.003823608796224254
0.12375,0.2,0.9873521341867978,0.0,-0.00603091514133843,0.0,0.008238072191588033,0.0,275,8.316834688603418e-22,-1.0045382590328858e-20,6260585521552.775,-0.00603091514133843
0.15666666666666668,0.2,0.9757094774983348,0.0,-0.01011808102888458,0.0,0.014843735012779852,0.0,306,2.191120982921872e-21,-2.2198438134300114e-20,6578146459874.8545,-0.01011808102888458
0.18958333333333335,0.2,0.9758519543207227,0.0,-0.009352626087512922,0.0,0.01428593944451238,0.0,331,1.1938561477961707e-21,-8.124689451900477e-21,6189195363096.303,-0.009352626087512922
0.2225,0.2,0.9735170098400012,0.0,-0.008770880042246928,0.0,0.014676423574601976,0.0,354,1.262802722697966e-21,-1.0095363165215676e-20,6421092932274.416,-0.008770880042246928
0.2554166666666667,0.2,0.9490179667493535,0.0,-0.015758352247750174,0.0,0.027501086075166672,0.0,375,2.216217091352505e-21,-1.3886325914023424e-20,6039389931723.689,-0.015758352247750174
0.2883333333333334,0.2,0.9352955953670073,0.0,-0.01768656349665644,0.0,0.033360684035242144,0.0,394,7.12879075776832e-21,-1.4861305553490093e-20,6278162831829.572,-0.01768656349665644
0.32125000000000004,0.2,0.9311522096188491,0.0,-0.016777542470313968,0.0,0.034135798600409724,0.0,410,4.09699266790741e-21,-3.819375396603729e-20,5689699591413.335,-0.016777542470313968
0.35416666666666674,0.2,0.9134539993508637,0.0,-0.01800815202690509,0.0,0.04085560839413001,0.0,426,3.821986067405212e-21,-2.955045913948185e-20,6954734965832.802,-0.01800815202690509
0.3870833333333334,0.2,0.8985267796609047,0.0,-0.018849837240199466,0.0,0.04639247176577865,0.0,443,2.483022002041201e-21,-4.567574662690468e-20,6251823695840.016,-0.018849837240199466
0.42000000000000004,0.2,0.8789022177767237,0.0,-0.018206454738121138,0.0,0.05250507072615435,0.0,453,5.030753023722415e-21,-3.1254808505587724e-20,5789237355519.149,-0.018206454738121138
0.45291666666666675,0.2,0.8506524631016681,0.0,-0.019848694453935386,0.0,0.06301648209514651,0.0,469,4.708170797677928e-21,-2.1906315685294465e-20,6130457916361.157,-0.019848694453935386
0.4858333333333334,0.2,0.8272262136663658,0.0,-0.01657397272427637,0.0,0.06864208408716813,0.0,480,1.2599776508544477e-20,-1.1502881880292598e-19,6291081501405.417,-0.01657397272427637
