detuning_over_ef,exciton_density_cm2,rho_kubo,rho_boltzmann,rho_kubo_minus_boltzmann
0.025,100000000000.0,1.2358671779245238,1.0039082344682044,0.2319589434563194
0.05791666666666667,100000000000.0,1.2664572283168192,1.009519586676758,0.2569376416400613
0.09083333333333335,100000000000.0,1.3075157180699288,1.027122341286551,0.2803933767833777
0.12375,100000000000.0,1.3640189797142341,1.0446182105499282,0.31940076916430593
0.15666666666666668,100000000000.0,1.4388268145254886,1.0741726606071487,0.3646541539183399
0.18958333333333335,100000000000.0,1.532938173118633,1.11435324182819,0.41858493129044283
0.2225,100000000000.0,1.6518805077150998,1.1284608014023667,0.523419706312733
0.2554166666666667,100000000000.0,1.8248585967670194,1.2312839246756302,0.5935746720913893
0.2883333333333334,100000000000.0,2.0545490961490582,1.2856279840245755,0.7689211121244828
0.32125000000000004,100000000000.0,2.2254684132376035,1.367069818304765,0.8583985949328385
0.35416666666666674,100000000000.0,2.5772150623690653,1.4269381973392918,1.1502768650297734
0.3870833333333334,100000000000.0,2.9751360398665345,1.5831404766606056,1.3919955632059289
0.42000000000000004,100000000000.0,3.2546435002408907,1.65436695811154,1.6002765421293506
0.45291666666666675,100000000000.0,4.011798044946856,1.8788684925475598,2.132929552399296
0.4858333333333334,100000000000.0,4.211196641417434,1.9731136007701209,2.238083040647313
0.51875,100000000000.0,5.203959975650619,2.233293379453015,2.970666596197604
0.5516666666666667,100000000000.0,5.358311386165349,2.3624405304588776,2.9958708557064715
0.5845833333333335,100000000000.0,6.567057352641039,2.5412692973149644,4.025788055326075
0.6175,100000000000.0,6.531063453666398,2.677109619690994,3.8539538339754045
0.6504166666666668,100000000000.0,7.4703614457281615,2.5405078628878752,4.929853582840286
0.6833333333333335,100000000000.0,7.620598512346582,2.6432087046604877,4.9773898076860945
0.71625,100000000000.0,8.13493032915629,2.562942991212616,5.571987337943675
0.7491666666666668,100000000000.0,7.356799342412348,2.4272357986845368,4.929563543727811
0.7820833333333335,100000000000.0,7.018039497246981,2.2788570332147944,4.7391824640321865
0.8150000000000001,100000000000.0,7.392385801508438,2.222779532491714,5.169606269016724
0.8479166666666668,100000000000.0,5.919355943224256,2.002513834505706,3.9168421087185505
0.8808333333333335,100000000000.0,5.80485258293979,1.8777470777404468,3.9271055051993433
0.9137500000000002,100000000000.0,4.969715815253078,1.8022824233836174,3.167433391869461
0.9466666666666668,100000000000.0,4.243082486540346,1.6280373115316793,2.6150451750086665
0.9795833333333335,100000000000.0,4.144687497029455,1.5142976116858606,2.6303898853435945
1.0125000000000002,100000000000.0,3.339317362381245,1.4915782582251171,1.8477391041561277
1.0454166666666667,100000000000.0,2.9416019458377898,1.3543275739622178,1.587274371875572
1.0783333333333334,100000000000.0,2.8290223726203165,1.3098303358696008,1.5191920367507157
1.11125,100000000000.0,2.233953563504279,1.2533223066090478,0.9806312568952311
1.1441666666666668,100000000000.0,2.014214938067121,1.1841165674979284,0.8300983705691924
1.1770833333333335,100000000000.0,1.9492102948953884,1.1782509159081778,0.7709593789872107
1.21,100000000000.0,1.6251702841627949,1.1328799001011838,0.4922903840616111
1.2429166666666667,100000000000.0,1.5324585740593633,1.0928871268817713,0.439571447177592
1.2758333333333334,100000000000.0,1.4875105536141475,1.0901934491540208,0.3973171044601267
1.30875,100000000000.0,1.3093608574110729,1.0634582824164958,0.24590257499457713
1.3416666666666668,100000000000.0,1.2559250194525422,1.063214586491624,0.19271043296091817
1.3745833333333335,100000000000.0,1.2362334450146453,1.0426526113236114,0.19358083369103385
1.4075,100000000000.0,1.1590663814375977,1.0430907035762569,0.11597567786134078
1.4404166666666667,100000000000.0,1.1284335155221417,1.0285304556975725,0.09990305982456915
1.4733333333333334,100000000000.0,1.117278798937646,1.0312315070170275,0.08604729192061855
1.50625,100000000000.0,1.085767887802655,1.0191343060289897,0.0666335817736654
1.5391666666666668,100000000000.0,1.0671090146995401,1.0185804867260604,0.04852852797347973
1.5720833333333335,100000000000.0,1.0633654986706749,1.0116337528976453,0.051731745773029525
1.605,100000000000.0,1.0491423162369473,1.014092370894293,0.035049945342654265
1.6379166666666667,100000000000.0,1.0360821186144833,1.007751960720448,0.028330157894035368
1.6708333333333334,100000000000.0,1.0328858782480326,1.0085068194064848,0.024379058841547785
1.70375,100000000000.0,1.0285536450601753,1.0042611375689967,0.024292507491178617
1.7366666666666668,100000000000.0,1.022402359862092,1.004510572481777,0.017891787380314828
1.7695833333333335,100000000000.0,1.0200183386515045,1.0028599133039955,0.017158425347509
1.8025000000000002,100000000000.0,1.0176501968013707,1.0037630761557526,0.013887120645618145
1.8354166666666667,100000000000.0,1.0148742423747124,1.0014268395460524,0.013447402828659971
1.8683333333333334,100000000000.0,1.0132469975767613,1.001548706319128,0.011698291257633331
1.90125,100000000000.0,1.0120558855102413,1.000862501189532,0.011193384320709265
1.9341666666666668,100000000000.0,1.0108548120618905,1.0010699510137107,0.009784861048179883
1.9670833333333335,100000000000.0,1.0096614501846566,1.0005008373400617,0.009160612844594906
2.0,100000000000.0,1.0088950029330586,1.0004733754851727,0.008421627447885882
0.025,200000000000.0,1.2814062837459748,1.0046057756474034,0.2768005080985714
0.05791666666666667,200000000000.0,1.3198608419279354,1.0109249761611008,0.3089358657668346
0.09083333333333335,200000000000.0,1.3714487311673573,1.031134055708982,0.34031467545837524
0.12375,200000000000.0,1.442834578362704,1.051493798962121,0.391340779400583
0.15666666666666668,200000000000.0,1.5370537271215237,1.0870670725913996,0.4499866545301241
0.18958333333333335,200000000000.0,1.6558180509994496,1.1358162973284514,0.5200017536709982
0.2225,200000000000.0,1.8062507978371272,1.1539280154408484,0.6523227823962787
0.2554166666666667,200000000000.0,2.028899665401066,1.2803531012503693,0.7485465641506965
0.2883333333333334,200000000000.0,2.3387398632616385,1.3357349685587723,1.0030048947028662
0.32125000000000004,200000000000.0,2.5762643417047393,1.4479564659951996,1.1283078757095397
0.35416666666666674,200000000000.0,3.0453983787912113,1.5104264463800507,1.5349719324111606
0.3870833333333334,200000000000.0,3.6298862914656578,1.7189668382632313,1.9109194532024265
0.42000000000000004,200000000000.0,4.0466128659879645,1.8044529950474442,2.2421598709405206
0.45291666666666675,200000000000.0,5.190485062676985,2.093393336793674,3.097091725883311
0.4858333333333334,200000000000.0,5.625021449282955,2.2271729567149574,3.3978484925679977
0.51875,200000000000.0,7.279809645057142,2.547688492158375,4.732121152898767
0.5516666666666667,200000000000.0,7.820508650393243,2.756311307597353,5.0641973427958895
0.5845833333333335,200000000000.0,10.142196449218645,2.961853995688225,7.18034245353042
0.6175,200000000000.0,10.372906598539787,3.1738151076293737,7.199091490910414
0.6504166666666668,200000000000.0,12.553058741110497,3.003537534846069,9.549521206264428
0.6833333333333335,200000000000.0,13.14624835063422,3.160561149251816,9.985687201382405
0.71625,200000000000.0,14.340525615506143,3.062885245662074,11.27764036984407
0.7491666666666668,200000000000.0,12.66234178023074,2.924894331527617,9.737447448703122
0.7820833333333335,200000000000.0,11.627683594572146,2.7520936743158266,8.875589920256319
0.8150000000000001,200000000000.0,12.297050274091259,2.6878889124405676,9.609161361650692
