target_id,frequency_mev,kinetic_real,kinetic_imag,hydro_real,hydro_imag,hydro_closed_real,hydro_closed_imag,printed_closed_real,printed_closed_imag
T006,-0.8,0.01954724498012067,0.04768757076497139,0.008427637809767704,0.08139566562389303,0.008427637809767703,0.08139566562389301,0.008427565672178552,0.08139571505529547
T006,-0.78,0.019962864097037916,0.04860030898753965,0.008860289001212975,0.08343637779599769,0.008860289001212976,0.08343637779599768,0.008860210241597588,0.08343643350223143
T006,-0.76,0.020400158924756336,0.049558144241130545,0.009326990020560491,0.08558075601543572,0.009326990020560491,0.08558075601543573,0.00932690389992122,0.08558081896569013
T006,-0.74,0.020861224878770172,0.050564509630502324,0.00983139369811168,0.0878367941650234,0.009831393698111679,0.0878367941650234,0.00983129938364243,0.08783686550546815
T006,-0.7200000000000001,0.021348429411326385,0.05162317716010477,0.01037765380796219,0.09021331643265641,0.010377653807962187,0.0902133164326564,0.01037755036065128,0.09021339752383642
T006,-0.7000000000000001,0.021864454730892015,0.05273829904038981,0.010970509398873729,0.09272008591716441,0.010970509398873727,0.09272008591716441,0.010970395759752415,0.09272017838038349
T006,-0.68,0.022412348475147788,0.05391445506615456,0.011615386071974395,0.09536793033300639,0.011615386071974395,0.0953679303330064,0.011615261047069936,0.09536803610812232
T006,-0.66,0.022995584081463908,0.05515670711422702,0.012318518188277158,0.09816888794121342,0.012318518188277157,0.09816888794121342,0.012318380432477235,0.09816900935899091
T006,-0.64,0.023618133044431288,0.05647066201174377,0.013087097066795306,0.10113637747664697,0.013087097066795299,0.10113637747664694,0.013086945067073181,0.10113651734977384
T006,-0.6200000000000001,0.024284551826468184,0.057862544272661694,0.01392945164343348,0.10428539662674606,0.013929451643433474,0.10428539662674605,0.013929283702273846,0.10428555836489732
T006,-0.6000000000000001,0.0250000869383116,0.059339280497512754,0.014855269916656297,0.10763275457618798,0.014855269916656293,0.10763275457618796,0.014855084137141835,0.10763294233223335
T006,-0.5800000000000001,0.025770802691052988,0.0609085975893933,0.01587587196733433,0.11119734530273265,0.01587587196733433,0.11119734530273262,0.015875666242331,0.11119756415948705
T006,-0.56,0.026603737422890933,0.06257913736812956,0.017004548629569106,0.11500046973480843,0.0170045486295691,0.11500046973480843,0.01700432063898339,0.11500072594483499
T006,-0.54,0.027507095737162247,0.06436059067457064,0.0182569843202415,0.11906621660755223,0.0182569843202415,0.11906621660755225,0.01825673154273077,0.11906651790274432
T006,-0.52,0.028490486615577532,0.06626385465580278,0.019651788553411997,0.12342191392615992,0.019651788553411997,0.1234219139261599,0.01965150830270832,0.12342226991956547
T006,-0.5,0.029565220422069497,0.06830121761116935,0.021211168911510876,0.12809866539657708,0.021211168911510873,0.12809866539657708,0.021210858413464748,0.12809908810674525
T006,-0.48000000000000004,0.03074468211813743,0.07048657654578426,0.02296178964577997,0.13313198901271908,0.02296178964577997,0.13313198901271905,0.022961446181622488,0.1331324935515111
T006,-0.46,0.032044803947625926,0.07283569338216503,0.024935875990334047,0.13856257811823444,0.02493587599033404,0.1385625781182344,0.02493549714656531,0.1385631835975585
T006,-0.44000000000000006,0.03348466911628217,0.07536649652727748,0.027172646702108606,0.14443720845076294,0.027172646702108585,0.1444372084507629,0.027172230791231423,0.14443793918336292
T006,-0.42000000000000004,0.03508728962303727,0.07809943498617367,0.02972018927446625,0.1508098173709358,0.029720189274466232,0.15080981737093577,0.029719736029071717,0.15081070446673728
T006,-0.4,0.0368806179434376,0.08105789207114046,0.032637938224092826,0.1577427825022666,0.03263793822409281,0.15774278250226656,0.03263744992883586,0.15774386599645893
T006,-0.38000000000000006,0.03889887606679557,0.0842686642448364,0.035999983678817446,0.16530842399816648,0.03599998367881745,0.16530842399816645,0.03599946700612642,0.16530975569114426
T006,-0.36000000000000004,0.04118432004941058,0.08776250637525128,0.039899535725248396,0.17359074296371624,0.039899535725248375,0.17359074296371618,0.039899004707431726,0.17359239020481218
T006,-0.34,0.043789609372494945,0.09157473506373535,0.0444550158792834,0.18268737915471417,0.04445501587928339,0.1826873791547141,0.0444544967266486,0.18268942985325953
T006,-0.32000000000000006,0.046781026829814075,0.09574586179220536,0.04981846587313941,0.19271170639859767,0.0498184658731394,0.1927117063985977,0.04981800481102247,0.19271427557247028
T006,-0.30000000000000004,0.05024291055693591,0.10032218793468023,0.05618729488569601,0.20379484999346734,0.056187294885695994,0.2037948499934673,0.056186970963019445,0.20379808810221875
T006,-0.28,0.054283838022922824,0.10535621566980326,0.06382088958205978,0.21608713935410317,0.06382088958205978,0.21608713935410315,0.06382083572051275,0.21609124235290444
T006,-0.26,0.059045379614406916,0.11090657557411113,0.07306437695026721,0.22975796778319346,0.07306437695026721,0.22975796778319346,0.07306481472062401,0.229763187900918
T006,-0.24,0.06471467754116686,0.11703686761423658,0.08438298424151125,0.24499195114940436,0.08438298424151124,0.24499195114940436,0.08438428153954976,0.2449986049659134
T006,-0.22000000000000008,0.07154280095551185,0.12381219845483778,0.09841213236371095,0.2619771138746422,0.09841213236371095,0.2619771138746422,0.09841489907041436,0.2619855783267326
T006,-0.20000000000000007,0.07987192437267722,0.13129093018055796,0.11603070748973586,0.2808764707358767,0.11603070748973583,0.2808764707358766,0.11603595286898763,0.2808871435734562
T006,-0.18000000000000005,0.09017604383689709,0.1395064669468215,0.13846752558401546,0.30176554471867034,0.1384675255840155,0.30176554471867034,0.13847691085411126,0.30177871318336524
T006,-0.16000000000000003,0.10312219489055886,0.14842805300407144,0.16745183163718247,0.324500527423977,0.16745183163718244,0.324500527423977,0.16746804998105436,0.3245160149906899
T006,-0.14,0.11966095512290237,0.15787655868589934,0.20541032559390815,0.34844649923503757,0.20541032559390815,0.34844649923503757,0.20543758080672306,0.34846280269858443
T006,-0.12,0.1411509165329194,0.16734235640338468,0.2556718374352461,0.37192974147717456,0.255671837435246,0.3719297414771745,0.2557161016546836,0.371942081945557
T006,-0.09999999999999998,0.16948929348179065,0.17559134055789563,0.32249784996103,0.3911790187920383,0.3224978499610299,0.39117901879203837,0.32256556302237016,0.3911754402942296
T006,-0.08000000000000007,0.20708011046354394,0.17983988355868036,0.41034761519053664,0.3984723280791278,0.41034761519053664,0.3984723280791277,0.4104387426219385,0.398427947578921
T006,-0.06000000000000005,0.25599491025940707,0.17424033543532194,0.5208804564183661,0.3796848040293508,0.520880456418366,0.37968480402935073,0.5209680229915579,0.3795618741090003
T006,-0.040000000000000036,0.31457587255778185,0.1482420431167235,0.6453363973800683,0.3139200692954095,0.6453363973800682,0.3139200692954095,0.6453365069534444,0.31370383591919443
T006,-0.020000000000000018,0.3697449233260385,0.08946225169417105,0.7537299840758588,0.18349691134789425,0.7537299840758588,0.18349691134789425,0.7535398848768127,0.18328965064636082
T006,0.0,0.3939462037268887,0.0,0.7985594704720628,0.0,0.7985594704720627,0.0,0.7982491192037114,0.0
T006,0.020000000000000018,0.3697449233260385,-0.08946225169417105,0.7537299840758588,-0.18349691134789425,0.7537299840758588,-0.18349691134789425,0.7535398848768127,-0.18328965064636082
T006,0.039999999999999925,0.31457587255778224,-0.1482420431167233,0.645336397380069,-0.313920069295409,0.645336397380069,-0.313920069295409,0.6453365069534449,-0.3137038359191939
T006,0.05999999999999994,0.2559949102594074,-0.17424033543532194,0.5208804564183667,-0.3796848040293505,0.5208804564183667,-0.3796848040293505,0.5209680229915584,-0.37956187410900005
T006,0.07999999999999996,0.2070801104635442,-0.17983988355868036,0.4103476151905372,-0.3984723280791278,0.4103476151905372,-0.39847232807912764,0.410438742621939,-0.398427947578921
T006,0.09999999999999998,0.16948929348179065,-0.17559134055789563,0.32249784996103,-0.3911790187920383,0.3224978499610299,-0.39117901879203837,0.32256556302237016,-0.3911754402942296
T006,0.12,0.1411509165329194,-0.16734235640338468,0.2556718374352461,-0.37192974147717456,0.255671837435246,-0.3719297414771745,0.2557161016546836,-0.371942081945557
T006,0.14,0.11966095512290237,-0.15787655868589934,0.20541032559390815,-0.34844649923503757,0.20541032559390815,-0.34844649923503757,0.20543758080672306,-0.34846280269858443
T006,0.15999999999999992,0.10312219489055893,-0.1484280530040715,0.16745183163718264,-0.32450052742397717,0.16745183163718264,-0.32450052742397717,0.16746804998105452,-0.32451601499069
T006,0.17999999999999994,0.09017604383689713,-0.1395064669468216,0.13846752558401562,-0.30176554471867045,0.13846752558401565,-0.3017655447186705,0.1384769108541114,-0.30177871318336535
T006,0.19999999999999996,0.07987192437267725,-0.13129093018055793,0.11603070748973597,-0.2808764707358768,0.11603070748973596,-0.28087647073587674,0.11603595286898777,-0.28088714357345634
T006,0.21999999999999997,0.0715428009555119,-0.12381219845483783,0.09841213236371105,-0.26197711387464223,0.09841213236371105,-0.2619771138746423,0.09841489907041444,-0.2619855783267327
T006,0.24,0.06471467754116686,-0.11703686761423658,0.08438298424151125,-0.24499195114940436,0.08438298424151124,-0.24499195114940436,0.08438428153954976,-0.2449986049659134
T006,0.26,0.059045379614406916,-0.11090657557411113,0.07306437695026721,-0.22975796778319346,0.07306437695026721,-0.22975796778319346,0.07306481472062401,-0.229763187900918
T006,0.28,0.054283838022922824,-0.10535621566980326,0.06382088958205978,-0.21608713935410317,0.06382088958205978,-0.21608713935410315,0.06382083572051275,-0.21609124235290444
T006,0.30000000000000004,0.05024291055693591,-0.10032218793468023,0.05618729488569601,-0.20379484999346734,0.056187294885695994,-0.2037948499934673,0.056186970963019445,-0.20379808810221875
T006,0.32000000000000006,0.046781026829814075,-0.09574586179220536,0.04981846587313941,-0.19271170639859767,0.0498184658731394,-0.1927117063985977,0.04981800481102247,-0.19271427557247028
T006,0.3400000000000001,0.043789609372494924,-0.09157473506373533,0.044455015879283376,-0.1826873791547141,0.04445501587928337,-0.18268737915471409,0.04445449672664858,-0.1826894298532595
T006,0.3599999999999999,0.04118432004941059,-0.08776250637525132,0.039899535725248424,-0.1735907429637163,0.03989953572524841,-0.17359074296371627,0.039899004707431754,-0.17359239020481224
T006,0.3799999999999999,0.03889887606679558,-0.08426866424483645,0.03599998367881748,-0.16530842399816653,0.035999983678817474,-0.1653084239981665,0.03599946700612644,-0.16530975569114428
T006,0.3999999999999999,0.03688061794343761,-0.08105789207114049,0.032637938224092826,-0.1577427825022666,0.03263793822409283,-0.1577427825022666,0.03263744992883587,-0.15774386599645893
T006,0.41999999999999993,0.03508728962303729,-0.0780994349861737,0.02972018927446627,-0.15080981737093582,0.029720189274466256,-0.1508098173709358,0.029719736029071735,-0.15081070446673733
T006,0.43999999999999995,0.03348466911628218,-0.07536649652727749,0.027172646702108613,-0.14443720845076297,0.027172646702108595,-0.1444372084507629,0.02717223079123143,-0.14443793918336295
T006,0.45999999999999996,0.032044803947625926,-0.07283569338216503,0.024935875990334047,-0.13856257811823444,0.02493587599033404,-0.1385625781182344,0.02493549714656531,-0.1385631835975585
T006,0.48,0.030744682118137436,-0.07048657654578427,0.022961789645779978,-0.13313198901271908,0.022961789645779974,-0.13313198901271908,0.022961446181622495,-0.13313249355151113
T006,0.5,0.029565220422069497,-0.06830121761116935,0.021211168911510876,-0.12809866539657708,0.021211168911510873,-0.12809866539657708,0.021210858413464748,-0.12809908810674525
T006,0.52,0.028490486615577532,-0.06626385465580278,0.019651788553411997,-0.12342191392615992,0.019651788553411997,-0.1234219139261599,0.01965150830270832,-0.12342226991956547
T006,0.54,0.027507095737162247,-0.06436059067457064,0.0182569843202415,-0.11906621660755223,0.0182569843202415,-0.11906621660755225,0.01825673154273077,-0.11906651790274432
