detuning_over_ef,tunnel_mev,exciton_density_cm2,rho_over_rho0,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number
0.025,0.5,100000000000.0,1.0020343619723855,0.997969768253874,0.0,-0.001323684910302847,0.0,0.0015607073492558694,0.0,131,9.148038200923742e-22,-8.953749404632061e-21,2195840356917.8442
0.05791666666666667,0.5,100000000000.0,1.0055863069844002,0.994444726478871,0.0,-0.002919186952742359,0.0,0.0037993893025699797,0.0,192,1.3085382284408301e-21,-8.150777150065278e-21,2196121611942.5037
0.09083333333333335,0.5,100000000000.0,1.0153244273790787,0.9849068662529507,0.0,-0.0067312432631288195,0.0,0.009520046918154817,0.0,238,1.5530093329988807e-21,-5.129629213737915e-20,2197469470707.6877
0.12375,0.5,100000000000.0,1.0269538224834023,0.9737536178421129,0.0,-0.010371014673452509,0.0,0.01566431066198751,0.0,275,5.7959748241599714e-21,-5.724574647693679e-20,2198049460632.2327
0.15666666666666668,0.5,100000000000.0,1.0454036800387376,0.9565682798849003,0.0,-0.015386245086386044,0.0,0.024736243589680726,0.0,306,1.0599186039202225e-20,-1.9109115697165765e-19,2347973887788.5527
0.18958333333333335,0.5,100000000000.0,1.0598829177077411,0.943500440749387,0.0,-0.017252624400158696,0.0,0.030336442844067807,0.0,331,4.588863486312893e-21,-6.59181083252599e-20,3186131132131.8096
0.2225,0.5,100000000000.0,1.0665379390867809,0.9376131531300671,0.0,-0.016418431479564562,0.0,0.031742743436780595,0.0,354,6.828039586767612e-21,-3.8493321453930176e-20,3521003193200.966
0.2554166666666667,0.5,100000000000.0,1.1246044069055914,0.889201566221453,0.0,-0.02661775427892456,0.0,0.05467948760564683,0.0,375,1.1731066843275522e-20,-6.856080929063448e-20,2210345260601.96
0.2883333333333334,0.5,100000000000.0,1.1648441894848898,0.8584839148678021,0.0,-0.030337276217094145,0.0,0.06739838601570686,0.0,394,3.286426471895839e-20,-1.517563705912093e-19,2513675843937.186
0.32125000000000004,0.5,100000000000.0,1.1905620833187736,0.8399393983826793,0.0,-0.029289583078658674,0.0,0.07288142941852252,0.0,410,2.3856947718790334e-20,-2.135869911989829e-19,2242801245577.6084
