temperature_k,detuning_over_ef,many_body_rho_over_rho0,rho_over_rho0,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number
0.8,0.5,0.03493979007428316,1.0349397900742832,0.9662397847590966,0.0,-0.004726943852206867,0.0,0.014404700965523326,0.0,426,1.7655780109331242e-21,-9.607914446614415e-20,1547462752837.7002
1.405,0.5,0.19330646598559365,1.1933064659855936,0.8380076941710568,0.0,-0.01910920884781137,0.0,0.06673690782611849,0.0,485,4.7348779868136015e-20,-5.047867458897033e-19,156373208589.557
2.01,0.5,0.4602657738134084,1.4602657738134084,0.6848068467622519,0.0,-0.029488157338006003,0.0,0.12472315595848889,0.0,485,8.926494802857224e-20,-1.1402438121652493e-18,234189836491.73392
2.615,0.5,0.7830303963701211,1.783030396370121,0.5608429346105327,0.0,-0.03267932095528432,0.0,0.16817190242993518,0.0,485,1.5369160287754706e-19,-1.7110442146584542e-18,2031449961387.3958
3.2199999999999998,0.5,1.0738706211286244,2.0738706211286244,0.4821901568072691,0.0,-0.03063959077403994,0.0,0.19302967514964972,0.0,485,1.1817389590574134e-19,-1.753830009569299e-18,121829226615.27913
3.825,0.5,1.2817097289304868,2.281709728930487,0.43826784245195516,0.0,-0.026000592349998766,0.0,0.2045777864006924,0.0,485,2.5087987882723095e-19,-2.3502831962537828e-18,275807200258.4557
4.43,0.5,1.4106853419411411,2.410685341941141,0.4148197952681689,0.0,-0.020551775206176494,0.0,0.2087613038844348,0.0,485,3.708377750595809e-19,-2.753034616889125e-18,1368307791219.8838
5.034999999999999,0.5,1.4864396092677192,2.4864396092677192,0.40218149528856234,0.0,-0.015193494810435424,0.0,0.20940211754867796,0.0,485,7.150945768076485e-19,-5.697226066364817e-18,1113083014604.6025
5.64,0.5,1.5303789932817784,2.5303789932817784,0.3951977164903067,0.0,-0.010276725213731732,0.0,0.20845301453643422,0.0,485,5.505169786874802e-19,-3.672428879857976e-18,5751654850036.183
6.245,0.5,1.5549451035308772,2.5549451035308772,0.391397842019393,0.0,-0.005889937894939673,0.0,0.20679732060753817,0.0,485,2.7371214949386734e-19,-3.2478682571833315e-18,7262537787509.689
6.85,0.5,1.5666296357571796,2.5666296357571796,0.3896160108448957,0.0,-0.0020174827819476084,0.0,0.2048145644853008,0.0,485,6.607733582988734e-19,-5.779286710516718e-18,17893678569757.32
7.454999999999999,0.5,1.5689893234929335,2.5689893234929335,0.38925813776460044,0.0,0.0013899605182658738,0.0,0.20267182495618238,0.0,485,7.974213486434243e-19,-2.230086202857693e-18,43434334878804.49
8.06,0.5,1.564271766384517,2.564271766384517,0.38997426603107105,0.0,0.004388207859889548,0.0,0.20045103662996538,0.0,485,4.2536252916017165e-19,-2.294328805603549e-18,104242901978421.23
8.665000000000001,0.5,1.5541023098441378,2.5541023098441378,0.39152699410111896,0.0,0.0070302598189963825,0.0,0.1981989647416134,0.0,485,5.865908354108652e-19,-2.6681100825915614e-18,12416617684934.39
9.27,0.5,1.5397388761091824,2.5397388761091824,0.3937412658469738,0.0,0.009363592869359658,0.0,0.19594561937475036,0.0,485,5.445409490121054e-19,-2.7770294399246103e-18,31833010030766.26
9.875,0.5,1.5221695301715963,2.5221695301715963,0.39648405392161123,0.0,0.01142972255601131,0.0,0.1937111766555359,0.0,485,5.4187114734808405e-19,-3.577092303647826e-18,80546499758811.44
10.48,0.5,1.5021646655649352,2.502164665564935,0.3996539531398991,0.0,0.013264516636522597,0.0,0.19150910115343828,0.0,485,6.650251992937686e-19,-6.692973548463845e-18,21442512622880.543
11.085,0.5,1.4803186620559923,2.4803186620559923,0.40317400150957916,0.0,0.014898746137868056,0.0,0.1893480499601345,0.0,485,5.562856091346284e-19,-3.2134133452985445e-18,52783826279837.71
11.690000000000001,0.5,1.4570875308879039,2.457087530887904,0.4069859080838832,0.0,0.01635869734240707,0.0,0.1872332892323043,0.0,485,1.0692207067993473e-18,-2.3544640289497014e-18,92697219592316.2
12.295,0.5,1.4328216858344032,2.432821685834403,0.4110453330068136,0.0,0.01766677521110127,0.0,0.18516778938435569,0.0,485,7.211501925672285e-19,-3.3421135110491488e-18,20173194206282.87
12.9,0.5,1.4077926331484836,2.4077926331484836,0.4153181574828467,0.0,0.01884206591379622,0.0,0.18315304014757353,0.0,485,4.006151196160221e-19,-3.2311301512640983e-18,52722343626146.85
13.505,0.5,1.3822134855845687,2.3822134855845687,0.41977765890894164,0.0,0.019900842590045674,0.0,0.1811896217650599,0.0,485,4.010344604115402e-19,-7.87188338855193e-18,136551501896324.7
14.11,0.5,1.356254066091099,2.356254066091099,0.4244024506486888,0.0,0.02085700808297283,0.0,0.17927758008674102,0.0,485,3.760789375247908e-19,-4.260903484778168e-18,35219465136897.33
14.715,0.5,1.3300517184668137,2.3300517184668137,0.4291750230582887,0.0,0.021722474718907665,0.0,0.17741665663447867,0.0,485,5.538710562126669e-19,-2.9052119487699423e-18,91745022428159.08
15.32,0.5,1.3037189367121775,2.3037189367121775,0.4340807309711055,0.0,0.022507485176907885,0.0,0.17560641939420976,0.0,485,5.467989544978261e-19,-5.112365112048784e-18,123482331769481.89
15.925,0.5,1.2773487474574696,2.2773487474574696,0.43910709816247645,0.0,0.023220880661013316,0.0,0.17384633059094878,0.0,485,3.9535688068552637e-19,-5.755400013992298e-18,69432357346047.086
16.53,0.5,1.2510185567783147,2.2510185567783147,0.44424333908255836,0.0,0.023870323421111065,0.0,0.17213577762403084,0.0,485,5.345834158784381e-19,-5.8311826527391956e-18,179853075816763.1
17.135,0.5,1.2247929669570072,2.2247929669570072,0.44948002571572515,0.0,0.024462480661840806,0.0,0.17047408464519967,0.0,485,5.534405888031948e-19,-2.128172000934421e-18,157387190750379.0
17.74,0.5,1.198725906205658,2.198725906205658,0.4548088496058612,0.0,0.02500317632282449,0.0,0.16886051557368842,0.0,485,6.48516816768827e-19,-6.398072403931496e-18,149446910761396.8
18.345,0.5,1.1728622950966638,2.172862295096664,0.460222445875482,0.0,0.025497516445368077,0.0,0.16729427465557853,0.0,485,9.379616449134982e-19,-2.6363251439532794e-18,125539656257077.58
18.95,0.5,1.14723939237473,2.14723939237473,0.4657142578285388,0.0,0.025949992983874858,0.0,0.16577450760133683,0.0,485,3.1406031847319006e-19,-3.459614917008049e-18,133664117675618.8
19.555,0.5,1.1218879098209045,2.1218879098209045,0.47127842869155323,0.0,0.026364570101280026,0.0,0.1643003044782007,0.0,485,7.4666908866298525e-19,-3.654311008719576e-18,49578870342603.35
20.16,0.5,1.0968329527034508,2.096832952703451,0.4769097121974824,0.0,0.026744756239186984,0.0,0.16287070450030472,0.0,485,6.628886623364168e-19,-2.170845451859008e-18,127277099514539.23
20.765,0.5,1.0720948221627156,2.0720948221627156,0.482603396960505,0.0,0.02709366463754744,0.0,0.16148470236750434,0.0,485,3.9948015833723585e-19,-4.171106707390192e-18,49940418854237.82
21.37,0.5,1.047689704177837,2.047689704177837,0.4883552414995941,0.0,0.027414064431275687,0.0,0.16014125561935844,0.0,485,5.880427550202416e-19,-1.84874573960582e-18,20654468726614.72
21.975,0.5,1.0236302627009808,2.023630262700981,0.49416141793870955,0.0,0.027708424038155783,0.0,0.15883929247284476,0.0,485,4.473332916390961e-19,-3.824365258070182e-18,26508867095228.207
22.580000000000002,0.5,0.9999261506574599,1.99992615065746,0.5000184630173758,0.0,0.027978948193023583,0.0,0.1575777196872384,0.0,485,5.637291851946632e-19,-4.510353064620608e-18,45873121921159.29
