x,y,aggregate_density,density_over_max
0,-30,0.002697408729809501,8.303456485650746e-06
-1,-29,8.901683937534201e-06,2.7402130202771122e-08
0,-29,8.286143801824885e-05,2.550730771052138e-07
1,-29,0.03257211615569164,0.00010026702522144202
-2,-28,2.7382454867643286e-06,8.429164625704644e-09
-1,-28,0.000272863163772622,8.399570231549486e-07
0,-28,6.876830278245066e-05,2.1169005773420954e-07
1,-28,0.0003718290713613077,1.1446046274072043e-06
2,-28,0.09464970179639297,0.00029136099085053086
-3,-27,1.792416522877832e-06,5.517611193809916e-09
-2,-27,3.2815256565925094e-06,1.0101548643681717e-08
-1,-27,1.59792688233611e-05,4.918912061082599e-08
0,-27,0.0012524478102429967,3.855420862983467e-06
1,-27,0.0001868701244514444,5.752439108330057e-07
2,-27,0.0007695611254615178,2.368946629296854e-06
3,-27,0.15847573395197748,0.00048783721441975975
-4,-26,3.518692078872711e-07,1.083162008057523e-09
-3,-26,5.732894605997864e-07,1.7647618757831703e-09
-2,-26,1.428316279175499e-05,4.3967982830388195e-08
-1,-26,1.2502649173164794e-05,3.8487012449189655e-08
0,-26,4.448890995050877e-05,1.369505940222018e-07
1,-26,0.0025681925647294667,7.905689253667143e-06
2,-26,0.0002959217427165766,9.109384449788452e-07
3,-26,0.001062661639044788,3.2712004603773397e-06
4,-26,0.1969192090881425,0.0006061780944735165
-5,-25,1.6651069849439978e-07,5.125713148563895e-10
-4,-25,2.4115799998732804e-07,7.423587448694732e-10
-3,-25,7.217595531359744e-07,2.2217986382028724e-09
-2,-25,1.7291735442117092e-06,5.322929788810469e-09
-1,-25,3.779392820867951e-05,1.1634137416198747e-07
0,-25,2.3503447229711267e-05,7.235086369297797e-08
1,-25,6.964195221826246e-05,2.1437942030422277e-07
2,-25,0.003510519568857125,1.0806462572725925e-05
3,-25,0.00036594892190200976,1.1265037127683422e-06
4,-25,0.0011537391233226867,3.55156506332629e-06
5,-25,0.2116464765238378,0.0006515131684478168
-6,-24,8.571614689538094e-08,2.638607519868552e-10
-5,-24,6.080384473796946e-08,1.8717299805641604e-10
-4,-24,2.2190587551181656e-07,6.830947645641856e-10
-3,-24,7.628164867829245e-07,2.3481845500612422e-09
-2,-24,1.4420705674417497e-06,4.4391382268700145e-09
-1,-24,3.3971607581006754e-06,1.045750917090025e-08
0,-24,6.044516978482908e-05,1.8606888586422918e-07
1,-24,3.304831767733667e-05,1.017329204599658e-07
2,-24,8.80843546952989e-05,2.711508264195075e-07
3,-24,0.003939004924232044,1.2125472726350476e-05
4,-24,0.0004066939393417342,1.251929450284112e-06
5,-24,0.0011754741136603647,3.6184720709630945e-06
6,-24,0.21814724246931086,0.0006715245321522147
-7,-23,4.411180022057139e-08,1.3578973389809607e-10
-6,-23,2.4050332985195734e-08,7.40343468162821e-11
-5,-23,1.062493747146209e-07,3.270683637302387e-10
-4,-23,1.663726137978012e-07,5.121462475475796e-10
-3,-23,3.6630892596631257e-07,1.1276119163748482e-09
-2,-23,1.489301969732643e-06,4.5845310586439344e-09
-1,-23,2.4088636697232774e-06,7.415225746238611e-09
0,-23,4.929230710319272e-06,1.5173693277755486e-08
1,-23,7.200206885073882e-05,2.2164458762657071e-07
2,-23,3.793109902318986e-05,1.1676362825970754e-07
3,-23,9.350740800359591e-05,2.878446580465701e-07
4,-23,0.004111127207592663,1.2655318231149699e-05
5,-23,0.00048423195925868047,1.490615403676631e-06
6,-23,0.001197751782426251,3.6870496102714743e-06
7,-23,0.21535224793611976,0.0006629206764489587
-8,-22,2.2907366553248267e-08,7.051594342144116e-11
-7,-22,1.060356649066773e-08,3.264104989909407e-11
-6,-22,5.54463740435224e-08,1.7068104995345579e-10
-5,-22,7.109234791865852e-08,2.1884418585944662e-10
-4,-22,1.798096562459023e-07,5.535096108490431e-10
-3,-22,3.1927023582329546e-07,9.828123120626995e-10
-2,-22,6.522217704345973e-07,2.0077398838181414e-09
-1,-22,2.1229524568263943e-06,6.535102801275592e-09
0,-22,3.467933687170933e-06,1.067537008697226e-08
1,-22,7.164843045293626e-06,2.205559795059852e-08
2,-22,8.200387507574221e-05,2.5243323372585564e-07
3,-22,4.966185951531174e-05,1.528745291452415e-07
4,-22,0.0001145568493454216,3.5264133431500164e-07
5,-22,0.004277441339783462,1.316728445426361e-05
6,-22,0.000585802290780546,1.8032802285155765e-06
7,-22,0.0013665486970504438,4.206658603897396e-06
8,-22,0.1939495969892682,0.0005970367120164329
-9,-21,1.2116680749473913e-08,3.7298882531934304e-11
-8,-21,4.801059616109096e-09,1.4779143096416226e-11
-7,-21,2.917164590335405e-08,8.979932840597682e-11
-6,-21,3.455531504472555e-08,1.063719234133623e-10
-5,-21,8.432265134266326e-08,2.595711426454647e-10
-4,-21,1.3774919055747558e-07,4.240345176788944e-10
-3,-21,2.923738339643754e-07,9.00016886961554e-10
-2,-21,5.403407245684724e-07,1.663335498360372e-09
-1,-21,1.078325890835321e-06,3.319419861347453e-09
0,-21,3.2198989596166485e-06,9.911842652506409e-09
1,-21,5.260430924299886e-06,1.619322974415539e-08
2,-21,1.0187742901188711e-05,3.1361016568294406e-08
3,-21,9.041080750568666e-05,2.7831236610887414e-07
4,-21,6.224484328607993e-05,1.916088362769612e-07
5,-21,0.00014066771599619143,4.3301863963076234e-07
