x,y,raw_aggregate_density,raw_density_over_max,reflection_symmetrized_density,symmetrized_density_over_max
0,-56,1.4558241124704283,0.0385271770459729,0.7464544919916334,0.020174473070931915
-1,-55,0.26127206842753803,0.006914348478810331,0.2099705427069208,0.005674887223502988
0,-55,0.24328308034520402,0.006438284837063184,0.24328252968539205,0.0065752124160586446
1,-55,0.26819182460023433,0.0070974740836803,0.2099705427069208,0.005674887223502988
-2,-54,0.2813023492466556,0.007444433238904846,0.25022591222359747,0.006762871657902653
-1,-54,0.35619673599369,0.009426451034348643,0.3493187054062612,0.009441058887043854
0,-54,0.40846054989754277,0.010809569499088605,0.4015500855858609,0.010852719723968327
1,-54,0.3561967000900131,0.009426450084187627,0.3493187054062612,0.009441058887043854
2,-54,0.2849385121885628,0.007540661273755251,0.25022591222359747,0.006762871657902653
-3,-53,0.509019180312039,0.013470770206161347,0.4309935789380962,0.01164849089303712
-2,-53,0.4577962286169101,0.012115197296033692,0.4295925446268368,0.011610625049523284
-1,-53,0.4521009754727949,0.01196447714768238,0.44486109720467304,0.012023289191970588
0,-53,0.5208856296095756,0.013784805939652155,0.49419462898490746,0.013356629695741659
1,-53,0.4523497636695521,0.011971061120856961,0.44486109720467304,0.012023289191970588
2,-53,0.45778637015775453,0.012114936400093012,0.4295925446268368,0.011610625049523284
3,-53,0.5143458565172957,0.013611736271682991,0.4309935789380962,0.01164849089303712
-4,-52,0.7208566030900525,0.019076871810345983,0.5956034249701279,0.01609741168005369
-3,-52,0.5443668587679328,0.014406217183834624,0.5118883303609819,0.013834838489132811
-2,-52,0.4900096215179233,0.012967698007429921,0.4753985453829893,0.012848626747760024
-1,-52,0.4756392169174445,0.012587397174710914,0.46938388369773076,0.012686068103526727
0,-52,0.47546336048459764,0.012582743280147054,0.4620669155292486,0.01248831193907248
1,-52,0.4756206228164313,0.012586905097257595,0.46938388369773076,0.012686068103526727
2,-52,0.48503427819052497,0.012836029674973262,0.4753985453829893,0.012848626747760024
3,-52,0.5442185747514121,0.01440229297038834,0.5118883303609819,0.013834838489132811
4,-52,0.707661667733613,0.01872767879572758,0.5956034249701279,0.01609741168005369
-5,-51,1.0064021981910218,0.026633599029600778,0.8007717465557386,0.021642508967623625
-4,-51,0.6666162635976451,0.017641446236090628,0.6176197669595973,0.016692448756462572
-3,-51,0.564204849152042,0.014931213137135548,0.5441756052008059,0.014707468721488768
-2,-51,0.5114810187109735,0.01353592071647497,0.4948089136207904,0.013373232005698212
-1,-51,0.45639010880325853,0.012077985502009704,0.44807536485813115,0.012110161408446157
0,-51,0.4501778935728672,0.011913584381037175,0.44065950650838925,0.011909732532768107
1,-51,0.4564596604519158,0.012079826128675183,0.44807536485813115,0.012110161408446157
2,-51,0.5114425084579028,0.013534901574584524,0.4948089136207904,0.013373232005698212
3,-51,0.5634958029853834,0.014912448818724671,0.5441756052008059,0.014707468721488768
4,-51,0.6658652364085922,0.017621570924759314,0.6176197669595973,0.016692448756462572
5,-51,1.0002922846530964,0.02647190523802606,0.8007717465557386,0.021642508967623625
-6,-50,1.3252042142987255,0.03507042983353081,1.0383553695090701,0.02806369666866857
-5,-50,0.8267266495463662,0.021878634735378332,0.7516402850771875,0.02031462983075902
-4,-50,0.6706344244386444,0.01774778352834613,0.6420522950016013,0.01735278824711664
-3,-50,0.5556898355150409,0.014705870367269674,0.5395888379538203,0.014583501871131893
-2,-50,0.48373738261414184,0.012801708409750732,0.4685037527701949,0.012662280748923112
-1,-50,0.432342766965498,0.01144159255554568,0.4238749147868651,0.01145609430388024
0,-50,0.41913929651788345,0.011092173666822025,0.4131757065312941,0.011166926121294331
1,-50,0.43248619885429573,0.011445388361458229,0.4238749147868651,0.01145609430388024
