radius,site_count,edge_coordinate,x_over_L,probability_over_max,gaussian_fit
40,3281,-40.0,-0.45892393529591924,1.215629629168005e-31,3.6374219786741444e-10
40,3281,-38.0,-0.43392393529591927,2.3901559085006372e-09,3.647149654898204e-09
40,3281,-36.0,-0.40892393529591925,3.470567744690253e-08,3.2140153407922075e-08
40,3281,-34.0,-0.3839239352959192,3.339213309093947e-07,2.4892973109233895e-07
40,3281,-32.0,-0.3589239352959192,2.487681468035568e-06,1.6944940884670588e-06
40,3281,-30.0,-0.33392393529591924,1.4632269815039196e-05,1.013766205498873e-05
40,3281,-28.0,-0.3089239352959192,7.13368973817201e-05,5.330525493887788e-05
40,3281,-26.0,-0.2839239352959192,0.00029667988765403794,0.0002463410018583571
40,3281,-24.0,-0.2589239352959192,0.0010701058394316505,0.0010005478093497028
40,3281,-22.0,-0.2339239352959192,0.0033939758874340044,0.003571687476601725
40,3281,-20.0,-0.2089239352959192,0.009561290238768764,0.011205816852700095
40,3281,-18.0,-0.18392393529591922,0.024098239431351517,0.030899258147320013
40,3281,-16.0,-0.15892393529591922,0.05463743726634293,0.07488365758766677
40,3281,-14.0,-0.13392393529591923,0.1118607104913734,0.15949993423575134
40,3281,-12.0,-0.10892393529591922,0.2072715529130078,0.2985853060064449
40,3281,-10.0,-0.08392393529591922,0.3479392607631902,0.4912593372112861
40,3281,-8.0,-0.05892393529591923,0.5289516305247304,0.7103749983136707
40,3281,-6.0,-0.03392393529591923,0.7269777564476422,0.9028154478631459
40,3281,-4.0,-0.008923935295919228,0.9003770754493196,1.0084276815342963
40,3281,-2.0,0.016076064704080774,1.0,0.9899767592307062
40,3281,0.0,0.041076064704080775,0.9891464050638177,0.854160931308687
40,3281,2.0,0.06607606470408077,0.8633553844989662,0.6477223319672997
40,3281,4.0,0.09107606470408078,0.6568817082572971,0.4316905103038149
40,3281,6.0,0.11607606470408079,0.4287580079005827,0.25286609182323727
40,3281,8.0,0.1410760647040808,0.23513368101474594,0.13017966643536277
40,3281,10.0,0.1660760647040808,0.10542214678859081,0.05890201824870927
40,3281,12.0,0.19107606470408078,0.03724289325191231,0.023423493094600865
40,3281,14.0,0.21607606470408078,0.009828061947969759,0.008186676124606652
40,3281,16.0,0.24107606470408077,0.0017746218133157063,0.0025147685565604675
40,3281,18.0,0.2660760647040808,0.00018291045848002738,0.0006789267134622949
40,3281,20.0,0.29107606470408076,5.827909220888822e-06,0.00016109506486339042
