basis,energy_real,energy_imag,mu_1,mu_2,k_1,k_2,beta_1_real,beta_1_imag,beta_2_real,beta_2_imag,characteristic_residual,provenance
square,3.7764995805700337,9.487965968446588e-13,0.6515529464604622,-0.36392072990051905,0.11911805062891467,0.11879762860269949,1.9049229282342417,0.22799005253205679,0.6900482000480167,0.0823639187662185,1.2861348271109296e-17,independent_numerics
square,3.7764995805700337,9.487965968446588e-13,0.6515529464604622,-0.36392072990051905,-0.1191180505799081,-0.1187976286522745,1.9049229282454148,-0.22799005243870304,0.6900482000439335,-0.08236391880042764,1.3295029140103498e-17,independent_numerics
square,-1.952609666074279,2.637621307544854,0.5309148664088109,-0.24321741931399113,-1.957208176261073,2.0876372144155333,-0.6408579986144277,-1.5751057542983375,-0.38745263765337923,0.6816853069434676,6.90840681820861e-15,independent_numerics
square,-1.952609666074279,2.637621307544854,0.5309148664088109,-0.24321741931399113,-2.08765206666545,1.9571579489278976,-0.8402941694655901,-1.4783649144828754,-0.2954655233009284,0.7263019541951399,4.440892098500626e-16,independent_numerics
square,-1.952609666074279,2.637621307544854,0.5309148664088109,-0.24321741931399113,-1.9815485492887115,1.8647348515266184,-0.6790030447040329,-1.5590420061353314,-0.2271729336538398,0.7504710936087269,4.440892098500626e-16,independent_numerics
square,-1.952609666074279,2.637621307544854,0.5309148664088109,-0.24321741931399113,-1.8647481341804684,1.9815108852353118,-0.49269371534858647,-1.6275472387822822,-0.3130637493920051,0.7188918506589084,0.0,independent_numerics
square,-1.9526096660722883,-2.6376213075452,0.5309148664078727,-0.2432174193152368,1.9572081762941274,-2.0876372144084563,-0.6408579986658907,1.5751057542756766,-0.3874526376480723,-0.6816853069453604,1.1102230246251565e-14,independent_numerics
square,-1.9526096660722883,-2.6376213075452,0.5309148664078727,-0.2432174193152368,2.0876520666562044,-1.957157948968163,-0.8402941694511334,1.4783649144892572,-0.29546552332980514,-0.726301954182338,4.965068306494546e-16,independent_numerics
square,-1.9526096660722883,-2.6376213075452,0.5309148664078727,-0.2432174193152368,1.8647481341898722,-1.9815108852041723,-0.4926937153634293,1.6275472387761218,-0.31306374936922915,-0.7188918506677615,0.0,independent_numerics
square,-1.9526096660722883,-2.6376213075452,0.5309148664078727,-0.2432174193152368,1.981548549252211,-1.864734851537905,-0.6790030446464899,1.5590420061586523,-0.22717293366202707,-0.750471093605228,4.965068306494546e-16,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,2.239823041265044,2.1904766142805165,-1.1073623124490866,1.4005345052001013,-0.4337163679500096,0.6079342352681986,3.582258934182318e-14,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,-2.190474735091895,-2.239824550797434,-1.0369282738009737,-1.4534537991559324,-0.46317650329076193,-0.5857998370076765,4.809409384954737e-16,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,-1.9905818602096925,-0.14442116440551578,-0.727676713124501,-1.6304093941292792,0.7390145356254996,-0.10747761801000574,2.4708698718685164e-16,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,-0.246232507400034,-2.043041994753719,1.7315739253563542,-0.4352010251764902,-0.3397048719360163,-0.6650522702929539,1.6999581999428832e-15,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,2.0430423269221594,0.24622960409865824,-0.8121684340185029,1.590009630811277,0.7242646791786246,0.1820291095763576,1.0838898772828417e-16,independent_numerics
square,0.22459513121605945,0.07359936744990377,0.5796573856935048,-0.29197249677506115,0.14442373451437085,1.9905814915774425,1.766838550290658,0.25696250406525495,-0.30436455157486103,0.6819502489064075,1.7388818282700985e-16,independent_numerics
