real_E,imag_E,provenance
2.1014160370855905,-0.9959664792244987,independent_numerics
2.1011689770366533,-0.9921037835646868,independent_numerics
2.094081334597753,-0.9950261452524828,independent_numerics
2.0882603165550266,-0.9438167263040793,independent_numerics
2.0949044826147767,-0.9643918844565608,independent_numerics
2.0889277341443715,-0.9537928516357612,independent_numerics
2.097265063085348,-0.9840625574052915,independent_numerics
2.0951040578188502,-0.9778279782549844,independent_numerics
2.085110029948274,-0.9933270981084775,independent_numerics
2.0728326274791695,-0.9916852110406811,independent_numerics
2.090294912571998,-0.9863794850741718,independent_numerics
2.089724801991552,-0.983911161862712,independent_numerics
2.0809010435208153,-0.9853826858504431,independent_numerics
2.0844662757150685,-0.9826987842830445,independent_numerics
2.0799219506242013,-0.972302063886454,independent_numerics
2.07882081540519,-0.9694519777135088,independent_numerics
2.1014160370855657,0.9959664792244762,independent_numerics
2.101168977036639,0.9921037835646784,independent_numerics
2.0940813345977665,0.9950261452524898,independent_numerics
2.088260316555019,0.9438167263040615,independent_numerics
2.0949044826147634,0.9643918844565539,independent_numerics
2.0889277341444172,0.9537928516357611,independent_numerics
2.0972650630853296,0.9840625574052854,independent_numerics
2.095104057818831,0.977827978254988,independent_numerics
2.0851100299482432,0.9933270981084692,independent_numerics
2.090294912571986,0.9863794850741733,independent_numerics
2.0897248019915518,0.9839111618626947,independent_numerics
2.0728326274791664,0.9916852110406789,independent_numerics
2.0844662757150885,0.9826987842830531,independent_numerics
2.080901043520824,0.9853826858504495,independent_numerics
2.0799219506241817,0.9723020638864633,independent_numerics
2.078820815405214,0.9694519777134906,independent_numerics
2.064358343125737,0.9788261522703143,independent_numerics
-1.8987333020867783,-0.9960626395682509,independent_numerics
-1.8982798785401949,-0.9920580269126956,independent_numerics
-1.897102384187808,-0.9858721291098752,independent_numerics
-1.892288919185992,-0.9940997498112567,independent_numerics
-1.892737467402185,-0.9769986361768912,independent_numerics
-1.8870250478757524,-0.9886021618894686,independent_numerics
-1.8830044546346916,-0.9914140151375265,independent_numerics
-1.8829065433743475,-0.9776203790370719,independent_numerics
-1.8987333020867627,0.9960626395682415,independent_numerics
-1.8982798785401929,0.9920580269126889,independent_numerics
-1.8971023841878296,0.9858721291098863,independent_numerics
-1.8922889191859869,0.9940997498112675,independent_numerics
-1.892737467402202,0.9769986361769154,independent_numerics
-1.8870250478757569,0.9886021618894562,independent_numerics
-1.8830044546347262,0.9914140151375371,independent_numerics
-1.889402365943301,0.9646837752520578,independent_numerics
-1.8742070821896375,0.9883151469804021,independent_numerics
-1.875839810403985,0.9848871645693452,independent_numerics
-1.8829065433743344,0.9776203790370654,independent_numerics
-1.8797740633788884,0.9808856383085063,independent_numerics
-1.8796805485426706,0.9735122443833598,independent_numerics
-1.8867610003252049,0.9535205413378811,independent_numerics
-1.889402365943304,-0.9646837752520713,independent_numerics
-1.8742070821896497,-0.9883151469804,independent_numerics
-1.8758398104039853,-0.9848871645693434,independent_numerics
-1.879774063378898,-0.9808856383085,independent_numerics
-1.879680548542626,-0.9735122443833562,independent_numerics
-1.8867610003252095,-0.9535205413378931,independent_numerics
-1.8623947096222397,0.9867259959867113,independent_numerics
-1.8718398475413833,0.9745238394610749,independent_numerics
-1.8758878956127438,0.9581711342728654,independent_numerics
-1.871839847541398,-0.9745238394610741,independent_numerics
-1.8623947096222373,-0.9867259959867066,independent_numerics
-1.8568853917130554,0.981468891746837,independent_numerics
2.0574074892690946,0.9883033483865181,independent_numerics
2.0574074892691043,-0.9883033483865136,independent_numerics
2.064358343125753,-0.9788261522703201,independent_numerics
2.0873013403119436,-0.929955146381048,independent_numerics
2.070472126904104,-0.9652099064020583,independent_numerics
2.0733274528738312,-0.9518389252754587,independent_numerics
2.085427067544216,-0.91453896117389,independent_numerics
2.0410026431184822,-0.9854807346334016,independent_numerics
2.055602280838058,-0.9735356123416764,independent_numerics
2.0567617507821807,-0.9672081943595271,independent_numerics
2.0873013403119356,0.9299551463810518,independent_numerics
2.041002643118482,0.9854807346334,independent_numerics
2.0704721269040838,0.9652099064020434,independent_numerics
2.0556022808380665,0.9735356123416699,independent_numerics
2.0733274528738446,0.9518389252754655,independent_numerics
2.085427067544264,0.9145389611739061,independent_numerics
