delta,radius,site_count,inverse_boundary_length,realization,seed,probe_index,real_E,imag_E,finite_potential,geometry_potential,amoeba_potential,absolute_difference
0.0,30,1861,0.03333333333333333,0,3648006565,0,-0.16,-0.14,0.12305992748225705,0.06625056070992372,0.31301879122762066,0.056809366772333336
0.0,30,1861,0.03333333333333333,0,3648006565,1,-0.08,-0.14,0.11803053953743774,0.06614970249029017,0.3121849580039453,0.05188083704714756
0.0,30,1861,0.03333333333333333,0,3648006565,2,0.0,-0.14,0.1146295773197128,0.06611613254671064,0.312906981203851,0.04851344477300215
0.0,30,1861,0.03333333333333333,0,3648006565,3,0.07999999999999999,-0.14,0.11803053953743828,0.06614970249029024,0.31218338365071446,0.051880837047148035
0.0,30,1861,0.03333333333333333,0,3648006565,4,0.16,-0.14,0.12305992748225705,0.06625056070992372,0.31301879122765136,0.056809366772333336
0.0,30,1861,0.03333333333333333,0,3648006565,5,-0.16,-0.06000000000000001,0.10297348440031766,0.03149805697907505,0.3110250093502154,0.0714754274212426
0.0,30,1861,0.03333333333333333,0,3648006565,6,-0.08,-0.06000000000000001,0.09287591837964553,0.028361901098260117,0.31018502348809524,0.06451401728138541
0.0,30,1861,0.03333333333333333,0,3648006565,7,0.0,-0.06000000000000001,0.07852078221726279,0.028347487609051127,0.3108631341486675,0.05017329460821166
0.0,30,1861,0.03333333333333333,0,3648006565,8,0.07999999999999999,-0.06000000000000001,0.09287591837964233,0.028361901098260114,0.3100553111750942,0.06451401728138222
0.0,30,1861,0.03333333333333333,0,3648006565,9,0.16,-0.06000000000000001,0.10297348440031766,0.03149805697907504,0.31102500935021676,0.07147542742124262
0.0,30,1861,0.03333333333333333,0,3648006565,10,-0.16,0.01999999999999999,0.09621563077149292,0.025533102161761113,0.31053033970976895,0.07068252860973182
0.0,30,1861,0.03333333333333333,0,3648006565,11,-0.08,0.01999999999999999,0.08383497239728509,0.01381153579883153,0.3102205615316422,0.07002343659845356
0.0,30,1861,0.03333333333333333,0,3648006565,12,0.0,0.01999999999999999,0.04068513133711618,0.009449963212444772,0.31041296635172294,0.03123516812467141
0.0,30,1861,0.03333333333333333,0,3648006565,13,0.07999999999999999,0.01999999999999999,0.08383497239728192,0.01381153579883148,0.3102205615316422,0.07002343659845045
0.0,30,1861,0.03333333333333333,0,3648006565,14,0.16,0.01999999999999999,0.09621563077149292,0.025533102161761127,0.3105303397097842,0.07068252860973179
0.0,30,1861,0.03333333333333333,0,3648006565,15,-0.16,0.09999999999999998,0.11227216158365279,0.047333933742356823,0.3115241219099743,0.06493822784129596
0.0,30,1861,0.03333333333333333,0,3648006565,16,-0.08,0.09999999999999998,0.105103718387886,0.047261813482988746,0.3102874853590251,0.057841904904897254
0.0,30,1861,0.03333333333333333,0,3648006565,17,0.0,0.09999999999999998,0.09756071750198661,0.0472378085554786,0.310321646783417,0.05032290894650801
0.0,30,1861,0.03333333333333333,0,3648006565,18,0.07999999999999999,0.09999999999999998,0.1051037183878866,0.04726181348298877,0.31068284921704975,0.05784190490489783
0.0,30,1861,0.03333333333333333,0,3648006565,19,0.16,0.09999999999999998,0.11227216158365279,0.04733393374235685,0.3115241219099534,0.06493822784129594
0.0,30,1861,0.03333333333333333,0,3648006565,20,-0.16,0.18,0.13477330359935594,0.08515026247053452,0.31522304919731525,0.04962304112882142
0.0,30,1861,0.03333333333333333,0,3648006565,21,-0.08,0.18,0.1310351443971531,0.08502077710574574,0.31434829377432116,0.04601436729140737
0.0,30,1861,0.03333333333333333,0,3648006565,22,0.0,0.18,0.12865548613157196,0.08497767931497673,0.31454678782337747,0.043677806816595235
