real_E,imag_E
3.777281388550784,5.62772755913904e-15
3.7692504283481942,6.101921609056731e-15
3.7558722147719905,-3.9901711789024806e-14
3.743640590575326,-4.469418582960897e-15
3.737156793872206,9.139504420712576e-14
3.7356621493357647,7.761272086318048e-14
3.7223713581900992,-1.7052185776585558e-13
3.7131181617429077,-9.380523522594238e-14
3.7037780989060445,1.859784105232242e-13
3.6837741953039242,6.187659259491871e-14
3.6798961361325975,-1.3759085173965517e-13
3.687808826210851,-2.3368875621694334e-14
-1.9530679082787898,2.638787795277763
-1.9495177529240684,2.630472963361939
-1.9436133779742575,2.6166107130594285
-1.9339351682896173,2.6230763536109922
-1.930395842288202,2.614830286357732
-1.935373905786553,2.59719464659301
-1.9530679082788476,-2.638787795277812
-1.9245092114320839,2.601082587505444
-1.9495177529238892,-2.630472963361858
-1.9022451096351467,2.5968632678615875
-1.9248267132966148,2.5722156106402094
-1.9162939358635334,2.581826768042791
-1.9436133779744296,-2.616610713059507
-1.933935168289604,-2.6230763536110264
-1.8987242286021229,2.58873165204508
-1.93039584228831,-2.6148302863577078
-1.8928678342581067,2.5751746194351903
-1.9057767356757689,2.5570535328845083
-1.9120080677480824,2.5416615193583807
-1.9353739057865695,-2.597194646592941
-1.8846938205504318,2.5561855408224328
-1.8582904394456454,2.5601068815424513
-1.8929930173936937,2.526750588595915
-1.8969639872583741,2.505517158139434
-1.8547962117820236,2.5521351580182476
-1.9245092114318851,-2.6010825875055708
-1.8742278181237797,2.5317549019891863
-1.8489835391409193,2.5388445079516977
-1.8779877235968407,2.490902425648407
-1.8797513584820749,2.4637639979116908
-1.902245109635133,-2.5968632678614934
-1.8615038047860424,2.5018700864712935
-1.8408692521453724,2.5202281304606298
-1.8608164388688444,2.4494901036179493
-1.9162939358637134,-2.5818267680426166
-1.9248267132965418,-2.5722156106402787
3.679917863872999,6.288682061969994e-14
3.666772689800336,-8.402277766462946e-14
-1.8987242286021795,-2.5887316520451433
-1.8024728397601089,2.5127476327700906
-1.7990143003200931,2.5049808755482115
-1.8928678342578635,-2.575174619435238
3.6491465624365444,-1.3541251453474956e-14
3.650743047308096,8.443202734187416e-14
-1.905776735675567,-2.557053532884632
-1.9120080677482183,-2.541661519358494
3.6483829129243652,7.781671723295434e-14
-1.8304774681978242,2.4962762401637977
-1.8846938205508155,-2.5561855408224674
3.624761914696,-7.798615743524577e-14
-1.892993017393748,-2.5267505885957706
-1.8582904394455928,-2.560106881542424
-1.8969639872582797,-2.505517158139333
3.616340131368576,-3.762550298269528e-14
-1.854796211782034,-2.5521351580183658
3.6092606108191165,1.0722806320712708e-14
-1.8742278181235255,-2.5317549019890153
3.61013708302822,1.4245288031711898e-15
-1.848983539141108,-2.538844507951531
-1.8779877235968196,-2.4909024256485655
3.6023684822847097,-2.368584296516245e-15
3.595926776093077,5.5846467006813835e-14
3.589426992631047,-3.154832581820671e-14
-1.879751358482223,-2.4637639979119723
-1.8408692521452195,-2.5202281304605325
-1.8615038047861092,-2.501870086471506
3.5767122948046968,2.067431619564382e-14
-1.860816438868593,-2.4494901036172854
3.5641452340854247,-7.136425098488885e-15
3.571321844839879,3.0543962692453016e-14
3.56189818350092,-6.82534096229373e-14
-1.8024728397600212,-2.512747632770217
3.548065887096137,-4.757622337148422e-14
3.5318879159336074,-2.8137478207590407e-14
-1.8304774681977565,-2.496276240163884
-1.7990143003203793,-2.5049808755480387
-1.8465649359449585,2.4665151226021793
3.4818986842992294,-4.684040786441744e-14
3.5227003124137655,3.3211633279994876e-14
3.5138327146958583,6.118849141259897e-14
3.5196755106282422,5.33106576669486e-14
-1.8465649359450105,-2.466515122601895
3.503498542742893,1.659446371701812e-14
3.48617055153494,-3.472501809244019e-14
3.4908186360233815,-7.699022168083406e-15
3.51111000185753,3.569693700229777e-15
3.4583585419980127,-3.4699917808975934e-15
3.4783606863091543,-1.0214037248838712e-14
3.4730790303651897,1.371300558167016e-14
3.4475741688038193,2.2316171234711867e-15
3.4502918961452855,-2.716157868550316e-14
3.428910011027073,-1.0498576756978759e-14
3.4267794147922253,-6.422848644919505e-16
3.3977612040115788,-1.2028593691896232e-14
3.403912698176815,1.5512355697509462e-14
3.422472747046667,2.295296249507181e-14
3.38964033679812,-1.6078364274333098e-16
-1.8604393497881841,-2.4163800641404642
-1.7932602194449399,-2.4920317284023072
-1.839111162111379,-2.3633399241764415
-1.8415467922088253,-2.402491081806632
-1.8178401783206746,-2.466975816168549
-1.7852260780568812,-2.4738932111274647
-1.8294646297904318,-2.4256704208933377
-1.8029980488063158,-2.4323103011807117
-1.7749340706214551,-2.450555249850837
-1.8604393497880958,2.4163800641404234
-1.7932602194454137,2.49203172840244
-1.7352948668380614,-2.454706857763069
-1.7318821051051916,-2.447189631316788
-1.8178401783205855,2.4669758161684756
-1.7852260780566989,2.4738932111269754
-1.8415467922089008,2.4024910818067404
-1.8391111621114522,2.3633399241764232
-1.8294646297902768,2.4256704208926636
-1.7749340706212025,2.450555249851127
-1.8029980488063961,2.4323103011808493
-1.7352948668379,2.4547068577629787
-1.8102679499410712,-2.3793125412851315
-1.762413659527241,-2.42200438450818
-1.82026020052071,2.349879157118877
-1.73188210510529,2.4471896313170367
-1.8102679499409502,2.3793125412851426
-1.7262032546116277,2.4346562772471416
-1.7624136595275546,2.4220043845081145
-1.7860014747697845,2.3922592734446058
-1.820260200520715,-2.349879157118854
-1.815866158997032,-2.304614882605503
-1.7262032546114654,-2.4346562772476763
-1.7970539985646652,-2.2916245971083757
-1.786001474769628,-2.3922592734445924
-1.718272175953607,-2.4170996578951813
-1.7890533342945991,-2.327414049019783
-1.7477023368178994,-2.3882234090368137
