x,y,aggregate_density,density_over_max
0,0,7.622011991945518e-12,2.2746059109188643e-14
1,0,1.247020670948307e-11,3.7214328607386714e-14
2,0,4.746089209868966e-11,1.4163560201590087e-13
3,0,1.1620068113409854e-10,3.4677294714273124e-13
4,0,2.745014681282277e-10,8.191835208606112e-13
5,0,6.275594859597444e-10,1.8728001447986204e-12
6,0,1.3754052236165212e-09,4.1045656381186964e-12
7,0,2.9555706935448353e-09,8.82018891702067e-12
8,0,6.270921044078841e-09,1.8714053571209843e-11
9,0,1.3183085960193482e-08,3.9341745041723005e-11
10,0,2.7540070517255482e-08,8.218670772476978e-11
11,0,5.727864910241638e-08,1.709343332908457e-10
12,0,1.1880574054794884e-07,3.5454711956242887e-10
13,0,2.460857004346551e-07,7.343835058155028e-10
14,0,5.093889227771934e-07,1.5201485591074874e-09
15,0,1.0539172967998359e-06,3.1451623474927658e-09
16,0,2.179467349496532e-06,6.504095402969969e-09
17,0,4.505323870299682e-06,1.3445054031424781e-08
18,0,9.313668168441644e-06,2.7794399550487697e-08
19,0,1.9271632324435277e-05,5.751154530396712e-08
20,0,3.9969287603465176e-05,1.1927871267341328e-07
21,0,8.323800511881724e-05,2.484037792861422e-07
22,0,0.00017436988252643503,5.203649192627669e-07
23,0,0.0003678260091861346,1.0976881374217321e-06
24,0,0.0007812300896744806,2.331393051649701e-06
25,0,0.0016698101529486187,4.983146245404661e-06
26,0,0.0035959019799369336,1.0731103424256934e-05
27,0,0.00782559412126468,2.33536009435444e-05
28,0,0.01726070968868649,5.151043100697005e-05
29,0,0.03863916535374698,0.00011530928316496999
30,0,0.0877450591004288,0.00026185399641809836
31,0,0.20197127082337712,0.0006027346151332743
32,0,0.47130826377012897,0.0014065060036238598
33,0,1.1134243837620452,0.003322746916880533
34,0,2.6585803366609317,0.007933892723879152
35,0,6.439015947695305,0.019215692327177937
36,0,15.875387638540579,0.047376270988436914
37,0,39.98067933619198,0.11931270855615837
38,0,103.71954692807242,0.30952600805368347
39,0,335.0915407085389,1.0
0,1,7.635618032920604e-12,2.2786663061608078e-14
1,1,5.9275106267017375e-12,1.7689227887305753e-14
2,1,2.467356372745976e-11,7.363230857839145e-14
3,1,4.8831427982975846e-11,1.4572563628351692e-13
4,1,1.0890991280970928e-10,3.250154049828391e-13
5,1,2.4391319814533593e-10,7.279001959571714e-13
6,1,5.308717750028461e-10,1.5842589576577703e-12
7,1,1.1563612250611852e-09,3.4508815788548447e-12
8,1,2.5138891299225026e-09,7.502096664711306e-12
9,1,5.445732979831428e-09,1.625147853125932e-11
10,1,1.1772961360530883e-08,3.5133567787588385e-11
11,1,2.5471598067001897e-08,7.601384986664577e-11
12,1,5.531775952597995e-08,1.6508253060943453e-10
13,1,1.2071025769728153e-07,3.6023069231185026e-10
14,1,2.64320065510317e-07,7.887995768303247e-10
15,1,5.79397847437997e-07,1.7290733338504495e-09
16,1,1.2685099365176649e-06,3.785562398368657e-09
17,1,2.7697723260899912e-06,8.265718436918486e-09
18,1,6.028971285614031e-06,1.7992012788105574e-08
19,1,1.3090585307675294e-05,3.906569912208385e-08
20,1,2.8393588024305237e-05,8.473382516391797e-08
