detuning_over_lambda,detuning,printed_eq24_density,eq25_required_density,density_ratio,printed_zero_time_kernel,eq25_required_zero_time_kernel,kernel_ratio
-5.0,-250.0,0.00012242687930145795,0.006121343965072897,50.0,0.5,25.0,50.0
-2.0,-100.0,0.0006366197723675814,0.03183098861837907,49.99999999999999,0.5,25.0,50.0
-1.0,-50.0,0.0015915494309189533,0.07957747154594767,50.0,0.5,25.0,50.0
0.0,0.0,0.0031830988618379067,0.15915494309189535,50.0,0.5,25.0,50.0
1.0,50.0,0.0015915494309189533,0.07957747154594767,50.0,0.5,25.0,50.0
2.0,100.0,0.0006366197723675814,0.03183098861837907,49.99999999999999,0.5,25.0,50.0
5.0,250.0,0.00012242687930145795,0.006121343965072897,50.0,0.5,25.0,50.0
