gamma0,max_amplitude_error_vs_pseudomode_ode,operator_norm_at_0p37tau,hilbert_schmidt_norm_at_0p37tau,trace_norm_at_0p37tau,norm_identity_error
0.2,4.3143266736933583e-13,0.1868292141985953,0.2642164085671615,0.3736584283971906,0.0
5.0,3.6465275243813267e-11,0.8396700741989217,1.1874728068509381,1.6793401483978434,0.0
25.0,5.055289520328188e-12,4.379128480377935e-05,6.193022888324757e-05,8.75825696075587e-05,1.3552527156068805e-20
40.0,4.205052972494627e-11,1.2020458561995421e-06,1.6999495524317716e-06,2.4040917123990842e-06,0.0
80.0,2.7752784445556067e-11,9.306462186319413e-07,1.316132504160528e-06,1.8612924372638826e-06,2.117582368135751e-22
150.0,2.8944069363490144e-11,2.052915210664728e-07,2.903260533324078e-07,4.105830421329456e-07,0.0
