epsilon,epsilon_out,success_probability,identity
0.0,0.0,1.0,0.0
0.00025,5.472855224825481e-10,0.9962565559416003,0.00025
0.0005,4.381574280634107e-09,0.9925261975655725,0.0005
0.00075,1.4798937314716619e-08,0.9888088856443286,0.00075
0.001,3.5105377936690366e-08,0.9851045810483217,0.001
0.00125,6.86168760991699e-08,0.9814132447458565,0.00125
0.0015,1.1865943241811931e-07,0.9777348378028866,0.0015
0.00175,1.88569112884461e-07,0.9740693213828261,0.00175
0.002,2.816920927641379e-07,0.9704166567463474,0.002
0.0022500000000000003,4.0138470077845664e-07,0.9667768052511924,0.0022500000000000003
0.0025,5.510134633065679e-07,0.963149728351972,0.0025
0.00275,7.339551488539335e-07,0.9595353875999781,0.00275
0.003,9.535968116842934e-07,0.9559337446429826,0.003
0.0032500000000000003,1.2133358361897867e-06,0.9523447612250504,0.0032500000000000003
0.0035,1.516579981021797e-06,0.9487683991863395,0.0035
0.00375,1.8667474231682947e-06,0.9452046204629142,0.00375
0.004,2.2672668015060662e-06,0.9416533870865456,0.004
0.00425,2.721577261009949e-06,0.9381146611845251,0.00425
0.0045000000000000005,3.2331284970441833e-06,0.9345884049794669,0.0045000000000000005
0.00475,3.805380798625408e-06,0.9310745807891209,0.00475
0.005,4.441805092363586e-06,0.9275731510261751,0.005
0.00525,5.1458829863460215e-06,0.9240840781980708,0.00525
0.0055,5.921106814025203e-06,0.920607324906805,0.0055
0.00575,6.770979677340712e-06,0.9171428538487452,0.00575
0.006,7.699015490682239e-06,0.9136906278144337,0.006
0.00625,8.708739024170655e-06,0.9102506096884021,0.00625
0.006500000000000001,9.803685947324108e-06,0.9068227624489763,0.006500000000000001
0.00675,1.0987402872138389e-05,0.9034070491680923,0.00675
0.007,1.2263447396678879e-05,0.900003433011101,0.007
0.00725,1.3635388148205455e-05,0.8966118772365846,0.00725
0.0075,1.5106804825785883e-05,0.8932323451961622,0.0075
0.00775,1.6681288244347585e-05,0.8898648003343071,0.00775
0.008,1.8362440376792708e-05,0.8865092061881525,0.008
0.00825,2.0153874397132508e-05,0.8831655263873093,0.00825
0.0085,2.2059214723244332e-05,0.8798337246536725,0.0085
0.00875,2.4082097059766133e-05,0.8765137648012401,0.00875
0.009000000000000001,2.622616844006314e-05,0.8732056107359194,0.009000000000000001
0.00925,2.849508726946216e-05,0.8699092264553465,0.00925
0.0095,3.089252336693691e-05,0.8666245760486937,0.0095
0.00975,3.342215800775762e-05,0.8633516236964889,0.00975
0.01,3.6087683965315816e-05,0.8600903336704239,0.01
0.01025,3.889280555344118e-05,0.8568406703331748,0.01025
0.0105,4.1841238668053936e-05,0.8536025981382104,0.0105
0.010750000000000001,4.493671082883945e-05,0.8503760816296124,0.010750000000000001
0.011,4.8182961221188345e-05,0.8471610854418862,0.011
0.01125,5.1583740737014584e-05,0.84395757429978,0.01125
0.0115,5.51428120171668e-05,0.8407655130180968,0.0115
0.01175,5.886394949135307e-05,0.8375848665015144,0.01175
0.012,6.275093942030825e-05,0.8344155997443977,0.012
0.01225,6.680757993581794e-05,0.831257677830619,0.01225
0.0125,7.10376810818366e-05,0.8281110659333705,0.0125
0.012750000000000001,7.544506485523107e-05,0.8249757293149866,0.012750000000000001
0.013000000000000001,8.003356524577866e-05,0.8218516333267561,0.013000000000000001
0.01325,8.48070282766745e-05,0.8187387434087446,0.01325
0.0135,8.976931204436078e-05,0.8156370250896073,0.0135
0.01375,9.492428675866182e-05,0.8125464439864132,0.01375
0.014,0.00010027583478232833,0.8094669658044575,0.014
0.01425,0.0001058278506706919,0.8063985563370862,0.01425
0.0145,0.00011158424121047803,0.8033411814655094,0.0145
0.014750000000000001,0.00011754892545972615,0.8002948071586264,0.014750000000000001
0.015,0.00012372583478587455,0.7972593994728399,0.015
0.01525,0.0001301189129052878,0.7942349245518809,0.01525
0.0155,0.0001367321159208679,0.791221348626624,0.0155
