epsilon,epsilon_out,success_probability,identity
0.0,0.0,0.16666666666666666,0.0
0.00025,3.126562108358838e-07,0.16645848953125653,0.00025
0.0005,1.2512493717465634e-06,0.16625062458343753,0.0005
0.00075,2.816715561218679e-06,0.166043071510944,0.00075
0.001,5.009989895780162e-06,0.16583583000166666,0.001
0.00125,7.83200651771623e-06,0.16562889974365239,0.00125
0.0015,1.1283698582746851e-05,0.1654222804251042,0.0015
0.00175,1.536599824766576e-05,0.1652159717343815,0.00175
0.002,2.0079836657941023e-05,0.16500997336,0.002
0.0022500000000000003,2.5426143935277353e-05,0.16480428499063152,0.0022500000000000003
0.0025,3.1405849165139973e-05,0.1645989063151042,0.0025
0.00275,3.801988038424039e-05,0.16439383702240232,0.00275
0.003,4.5269164567983925e-05,0.16418907680166667,0.003
0.0032500000000000003,5.3154627617879135e-05,0.16398462534219402,0.0032500000000000003
0.0035,6.167719434890912e-05,0.16378048233343753,0.0035
0.00375,7.083778847686507e-05,0.1635766474650065,0.00375
0.004,8.063733260564164e-05,0.16337312042666666,0.004
0.00425,9.107674821449453e-05,0.16316990090833985,0.00425
0.0045000000000000005,0.00010215695564526041,0.16296698860010422,0.0045000000000000005
0.00475,0.00011387887408953901,0.16276438319219397,0.00475
0.005,0.00012624342157583756,0.162562084375,0.005
0.00525,0.00013925151495667782,0.16236009183906905,0.00525
0.0055,0.00015290406989566536,0.16215840527510422,0.0055
0.00575,0.00016720200085452183,0.1619570243739648,0.00575
0.006,0.0001821462210800792,0.16175594882666666,0.006
0.00625,0.00019773764259123748,0.16155517832438152,0.00625
0.006500000000000001,0.00021397717616588495,0.16135471255843753,0.006500000000000001
0.00675,0.00023086573132778104,0.161154551220319,0.00675
0.007,0.00024840421633340294,0.16095469400166665,0.007
0.00725,0.0002665935381587539,0.16075514059427737,0.00725
0.0075,0.00028543460248613666,0.1605558906901042,0.0075
0.00775,0.0003049283136908882,0.1603569439812565,0.00775
0.008,0.0003250755748280789,0.16015830016,0.008
0.00825,0.0003458772876191748,0.15995995891875653,0.00825
0.0085,0.00036733435243866384,0.15976191995010422,0.0085
0.00875,0.00038944766830064476,0.1595641829467773,0.00875
0.009000000000000001,0.00041221813284538026,0.15936674760166666,0.009000000000000001
0.00925,0.00043564664232581443,0.15916961360781903,0.00925
0.0095,0.0004597340915940535,0.15897278065843753,0.0095
0.00975,0.00048448137408781046,0.15877624844688148,0.00975
0.01,0.0005098893818168136,0.15858001666666666,0.01
0.01025,0.0005359590053491808,0.15838408501146486,0.01025
0.0105,0.0005626911337977554,0.1581884531751042,0.0105
0.010750000000000001,0.00059008665480641,0.157993120851569,0.010750000000000001
0.011,0.000618146454536311,0.157798087735,0.011
0.01125,0.0006468714176521507,0.15760335351969404,0.01125
0.0115,0.0006762624273083432,0.1574089179001042,0.0115
