state,selection_rule,length,inverse_length,site_count,target_real,target_imaginary,eigenvalue_real,eigenvalue_imaginary,rms_width,inverse_rms_width,effective_site_count,boundary_mass,normalized_residual
A_normal,narrowest,20,0.05,400,1.5,8.0,1.3249078958227158,6.9660477467070985,2.0677311357874943,0.4836218707028129,5.637708478296862,0.8103628566252578,5.316839578814849e-14
B_scale_free,widest,20,0.05,400,-1.0,10.0,-1.1237525407950075,9.608439557995975,7.761673838941294,0.12883818886885895,125.80906527790529,0.3010207852707948,6.642163653769798e-15
A_normal,narrowest,30,0.03333333333333333,900,1.5,8.0,1.4660836748495747,6.661878908453382,2.1894917066400805,0.4567270097289229,5.876656137964876,0.8123469630661703,8.216529167258442e-14
B_scale_free,widest,30,0.03333333333333333,900,-1.0,10.0,-1.2592140284907716,9.373690955247232,11.547019383065493,0.08660243538402383,242.18447729472976,0.23833567459252267,1.4667392737066035e-14
A_normal,narrowest,40,0.025,1600,1.5,8.0,1.4895834826913341,7.202694941702518,2.314079053720296,0.4321373543364135,6.539818156301489,0.804070035769799,1.4796622566861896e-13
B_scale_free,widest,40,0.025,1600,-1.0,10.0,-1.334540194451249,9.256036799651783,15.45046252238054,0.06472298149983954,384.712645794702,0.2102152303991603,3.384892590082068e-14
A_normal,narrowest,50,0.02,2500,1.5,8.0,1.5058702409512323,7.531138055387565,2.4063470659257304,0.4155676519651567,6.991728984382523,0.7972088081616299,5.10903364860176e-14
B_scale_free,widest,50,0.02,2500,-1.0,10.0,-1.3345154329641082,9.711649980244896,19.130347656003124,0.052272965341860836,548.6148134616623,0.20711438449178884,6.304027028184242e-14
A_normal,narrowest,60,0.016666666666666666,3600,1.5,8.0,1.5573686860018336,7.289454336990098,2.458997567221312,0.40666978012914773,7.006836120641981,0.7992825062855174,6.135243905164582e-13
B_scale_free,widest,60,0.016666666666666666,3600,-1.0,10.0,-1.3769286828171412,9.580705795011294,23.060152784875996,0.043364847116531255,727.1583986452193,0.20096589089742356,7.050837068824024e-14
A_normal,narrowest,70,0.014285714285714285,4900,1.5,8.0,1.5620909956610574,7.51456488476524,2.519109266139966,0.39696571063481545,7.303069435764696,0.7943065372451451,1.3898647862994086e-13
B_scale_free,widest,70,0.014285714285714285,4900,-1.0,10.0,-1.140927003403592,9.724094350016777,26.62449539812578,0.03755939727858258,405.88670497128504,0.2921224637196983,1.0082926770697896e-13
A_normal,narrowest,80,0.0125,6400,1.5,8.0,1.5661126006252493,7.683884640797897,2.5678112327391744,0.3894367262087505,7.535772484637528,0.7901776385818363,9.086220064487282e-14
B_scale_free,widest,80,0.0125,6400,-1.0,10.0,-1.189093229784358,9.62053654054089,30.93335930361681,0.03232755906608169,502.22742938903923,0.28166796845931696,2.6680460920705873e-13
A_normal,narrowest,90,0.011111111111111112,8100,1.5,8.0,1.5696056282340152,7.815879736582861,2.608095069145583,0.3834216059952147,7.72366405184013,0.786718772469814,2.7722007072810898e-14
B_scale_free,widest,90,0.011111111111111112,8100,-1.0,10.0,-1.053385376236748,9.746339593328278,34.505071621398535,0.02898124690110319,382.3421672367502,0.3286102820418615,2.6693577800778366e-13
A_normal,narrowest,100,0.01,10000,1.5,8.0,1.5726827202747915,7.921675717074268,2.6419860758059097,0.3785031303372637,7.87872626018869,0.7837885484802697,6.0419613857489175e-15
B_scale_free,widest,100,0.01,10000,-1.0,10.0,-1.097691856932087,9.659981118388366,38.8737345535465,0.025724310038248405,462.4107770606699,0.31859127335475224,1.0252918087433506e-12
A_normal,narrowest,110,0.00909090909090909,12100,1.5,8.0,1.5754292369225056,8.008359256553417,2.670982519584906,0.3743940638575982,8.009196776951459,0.7812743541908487,3.233697263666926e-15
B_scale_free,widest,110,0.00909090909090909,12100,-1.0,10.0,-1.1132896098548088,9.827541876350697,42.34794945850316,0.023613894244865433,569.431610312419,0.31642558013079636,1.1809326442435136e-12
A_normal,narrowest,120,0.008333333333333333,14400,1.5,8.0,1.5985913879592384,7.849268692418285,2.6888509006336974,0.3719060806846241,7.962645488677425,0.7836153425395498,6.078704448937863e-15
B_scale_free,widest,120,0.008333333333333333,14400,-1.0,10.0,-1.1470122441249264,9.74978012832422,46.35226398186877,0.021573919245695565,677.5544805642795,0.30960278518885365,1.3082413803241172e-11
