series,length,band,momentum,real_energy,imag_energy
PBC,0,1,-3.141592653589793,-0.9999000099980005,-6.122009716209237e-17
PBC,0,1,-3.1376656627728057,-0.9998884456113756,-0.0019630977876506674
PBC,0,1,-3.1337386719558187,-0.999853752629482,-0.003926165338199769
PBC,0,1,-3.1298116811388312,-0.9997959315862598,-0.005889172414996601
PBC,0,1,-3.1258846903218442,-0.9997149833716009,-0.00785208878228967
PBC,0,1,-3.121957699504857,-0.9996109092313368,-0.009814884205678637
PBC,0,1,-3.11803070868787,-0.9994837107672199,-0.011777528452562646
PBC,0,1,-3.1141037178708824,-0.9993333899369016,-0.013739991292592237
PBC,0,1,-3.1101767270538954,-0.9991599490539044,-0.01570224249811779
PBC,0,1,-3.106249736236908,-0.9989633907875884,-0.017664251844641453
PBC,0,1,-3.1023227454199205,-0.9987437181631142,-0.019625989111265934
PBC,0,1,-3.0983957546029335,-0.9985009345614,-0.02158742408114542
PBC,0,1,-3.094468763785946,-0.9982350437190719,-0.02354852654193665
PBC,0,1,-3.090541772968959,-0.9979460497284138,-0.025509266286247802
PBC,0,1,-3.0866147821519716,-0.9976339570373058,-0.027469613112090806
PBC,0,1,-3.0826877913349846,-0.997298770449164,-0.02942953682333007
PBC,0,1,-3.078760800517997,-0.99694049512287,-0.031389007230135074
PBC,0,1,-3.07483380970101,-0.9965591365726985,-0.033347994149429225
PBC,0,1,-3.0709068188840227,-0.9961547006682381,-0.03530646740534255
PBC,0,1,-3.0669798280670357,-0.9957271936343092,-0.03726439682966086
PBC,0,1,-3.0630528372500483,-0.9952766220508721,-0.039221752262278545
PBC,0,1,-3.059125846433061,-0.9948029928529372,-0.041178503551648205
PBC,0,1,-3.055198855616074,-0.9943063133304634,-0.043134620555232595
PBC,0,1,-3.0512718647990864,-0.993786591128254,-0.0450900731399566
PBC,0,1,-3.0473448739820994,-0.9932438342458484,-0.047044831182657225
PBC,0,1,-3.043417883165112,-0.9926780510374074,-0.04899886457053691
PBC,0,1,-3.039490892348125,-0.9920892502115941,-0.05095214320161366
PBC,0,1,-3.0355639015311375,-0.9914774408314476,-0.052904636985174364
