x,y,aggregate_density,density_over_max
0,0,0.0021215623861447364,8.447067492821557e-05
1,0,0.005774455409119812,0.00022991176169822946
2,0,0.01674341690873515,0.0006666444202262866
3,0,0.0473610281467032,0.0018856942595574964
4,0,0.13333324185626266,0.005308705039040576
5,0,0.37457090252413716,0.014913658514742429
6,0,1.0505175021719029,0.041826685376722156
7,0,2.958016411567268,0.1177743555247869
8,0,8.43108622541896,0.33568635477803715
9,0,25.115963474278754,1.0
0,1,0.001868339547511756,7.438852781519298e-05
1,1,0.004329784864755251,0.00017239174874535
2,1,0.01219311836583186,0.0004854728498995799
3,1,0.03467002420518631,0.0013803979385736832
4,1,0.09734624297096992,0.003875871338587594
5,1,0.2680273981648276,0.010671595315836255
6,1,0.7326423973881216,0.029170387914380445
7,1,1.9825123825142321,0.07893435521772924
8,1,4.520631121397345,0.17999035259096954
9,1,14.988597734078164,0.596775741827622
0,2,0.0012496073045138488,4.9753508591998516e-05
1,2,0.0027751152614852374,0.00011049208860043261
2,2,0.0077966137501571265,0.00031042463324736216
3,2,0.02218646994737615,0.0008833612921159606
4,2,0.06156332589239118,0.0024511632195769895
5,2,0.16631880996075948,0.006622035827177663
6,2,0.43595798621666787,0.01735780459559643
7,2,0.8860695471034022,0.0352791382266034
8,2,3.524466457803036,0.1403277426092947
9,2,9.348792609397725,0.372225123633892
0,3,0.0007467920716744338,2.973376165478275e-05
1,3,0.0016242474991599567,6.466992599441179e-05
2,3,0.00462043381541013,0.00018396402830183736
3,3,0.013105706750832518,0.0005218078440133927
4,3,0.03583054936586567,0.0014266046135383067
5,3,0.09391038126433943,0.0037390714220664084
6,3,0.18445586652489637,0.007344168449432471
7,3,0.7750364199407296,0.030858319281059792
8,3,2.315511774461154,0.09219283093927369
9,3,5.902496143890374,0.23500974389993506
0,4,0.0004144502196295455,1.6501466091634662e-05
1,4,0.0008878693303531703,3.5350797163821206e-05
2,4,0.002566117141574098,0.00010217076259893663
3,4,0.0072098320871416535,0.0002870617364340906
4,4,0.01946434039354301,0.0007749788461619811
5,4,0.03839792087826373,0.0015288253193068632
6,4,0.16695178891437915,0.006647238083673532
7,4,0.5256495722216475,0.02092890335503016
8,4,1.5059536665063467,0.05996001977183129
9,4,3.7414843267523077,0.14896837744584077
0,5,0.00021200519272628938,8.441053553187549e-06
1,5,0.00044933866402741945,1.7890560499006417e-05
2,5,0.0013112596473293862,5.220821604842062e-05
3,5,0.0037207250511659263,0.00014814184034692992
4,5,0.0074256209620578,0.0002956534384859404
5,5,0.034603271810742214,0.0013777401709545965
6,5,0.11324223009458473,0.004508775074886378
7,5,0.3459031314886576,0.013772242177485917
8,5,0.9723644839727856,0.038714998330387905
9,5,2.367695260083529,0.09427053286282584
0,6,9.706025370885156e-05,3.864484585998499e-06
1,6,0.0002046482542908413,8.148134731141071e-06
2,6,0.0006284233827697512,2.5020875006977906e-05
3,6,0.0012512388283386982,4.9818468227193085e-05
4,6,0.00661462231318365,0.0002633632717278667
5,6,0.022786629806274366,0.0009072568460138964
6,6,0.07363645384281037,0.002931858613276828
7,6,0.22161446341582589,0.008823649693661211
8,6,0.6156608122233567,0.02451272923906959
9,6,1.4951541172008207,0.05953003231319425
0,7,3.7815077779716305e-05,1.505619237678965e-06
1,7,8.666930504235976e-05,3.450765690558427e-06
2,7,0.00017275090861751085,6.878131862009792e-06
3,7,0.0011171971249239708,4.448155556795947e-05
4,7,0.004144228021189082,0.00016500374454809128
5,7,0.014418128685716463,0.0005740623369070456
6,7,0.04615222535081796,0.001837565395334423
7,7,0.13845013564471403,0.005512435777608163
8,7,0.38492811156295503,0.015326034056274996
9,7,0.9396938915753777,0.037414208399280315
0,8,1.2522695007291086e-05,4.985950477319165e-07
1,8,1.5952414794605983e-05,6.351504218001768e-07
2,8,0.00015407876451974567,6.13469456099256e-06
3,8,0.0006467895444253616,2.5752129520642855e-05
4,8,0.002524679242601186,0.00010052089959386622
5,8,0.00886867923091371,0.00035310925818140003
6,8,0.02884294307573597,0.0011483908672376441
7,8,0.08760842345026898,0.0034881569858941992
8,8,0.24300131875253045,0.009675174078087347
9,8,0.5761437005708229,0.022939342986417834
0,9,1.2647048673372139e-06,5.0354622813192e-08
1,9,2.2262568901850072e-05,8.863911959678218e-07
2,9,0.00011951431989638418,4.758500306738332e-06
3,9,0.0005453481470390218,2.1713208318586407e-05
4,9,0.0021176607697774553,8.431533084311699e-05
5,9,0.007359693703505024,0.0002930285239123748
6,9,0.023575696819721072,0.000938673797796566
7,9,0.07013194244163024,0.0027923253875349963
8,9,0.18641274103981953,0.007422082024873333
9,9,0.37631633116504026,0.014983153306080639
