state,length,site,probability,probability_over_max
wing_max_real,80,1,0.08427419796231585,0.4460757053964661
wing_max_real,80,2,0.1683200334735864,0.8909426548047513
wing_max_real,80,3,0.18892353235739226,1.0
wing_max_real,80,4,0.16738271347182868,0.8859812823909402
wing_max_real,80,5,0.13021219465867956,0.6892322678593225
wing_max_real,80,6,0.09326202542913341,0.4936495960318319
wing_max_real,80,7,0.06307469076540022,0.33386360067670107
wing_max_real,80,8,0.04089389213174833,0.21645737628062203
wing_max_real,80,9,0.025665071654294457,0.1358489931563585
wing_max_real,80,10,0.015696140705454286,0.08308197771657916
wing_max_real,80,11,0.009398680639211565,0.04974859681022585
wing_max_real,80,12,0.005529457325163544,0.02926822961738459
wing_max_real,80,13,0.003204730511653535,0.01696310920966188
wing_max_real,80,14,0.0018335306334833418,0.009705146895172368
wing_max_real,80,15,0.0010372425649828735,0.0054902772144906275
wing_max_real,80,16,0.0005809483814361973,0.0030750450946322554
wing_max_real,80,17,0.00032249616386892946,0.0017070195535982987
wing_max_real,80,18,0.0001775927246534026,0.000940024370904971
wing_max_real,80,19,9.708669605365376e-05,0.0005138941392964851
wing_max_real,80,20,5.272274078918973e-05,0.0002790692092790884
wing_max_real,80,21,2.8455677783571765e-05,0.00015062008119635044
wing_max_real,80,22,1.527102878991139e-05,8.083179792034976e-05
wing_max_real,80,23,8.152002484140387e-06,4.314974626199028e-05
wing_max_real,80,24,4.330143624076404e-06,2.292008607950937e-05
wing_max_real,80,25,2.289329841948573e-06,1.2117759039238055e-05
wing_max_real,80,26,1.2050143811433413e-06,6.378318074551876e-06
wing_max_real,80,27,6.316108763454284e-07,3.34320911992367e-06
wing_max_real,80,28,3.297342826786848e-07,1.7453319793688624e-06
wing_max_real,80,29,1.7147816916868942e-07,9.07659130808009e-07
wing_max_real,80,30,8.884800179249087e-08,4.7028552072811377e-07
wing_max_real,80,31,4.587079569383116e-08,2.4280085768805134e-07
wing_max_real,80,32,2.360060114344878e-08,1.2492144757701662e-07
wing_max_real,80,33,1.2101797569312e-08,6.405659167127295e-08
wing_max_real,80,34,6.185184009249472e-09,3.273908724906104e-08
wing_max_real,80,35,3.1510967041633123e-09,1.6679217590544988e-08
wing_max_real,80,36,1.600304446701661e-09,8.470646439503987e-09
wing_max_real,80,37,8.102069557699977e-10,4.2885443949740745e-09
wing_max_real,80,38,4.089385550028253e-10,2.1645718238489425e-09
wing_max_real,80,39,2.0577893132105056e-10,1.089218101913172e-09
wing_max_real,80,40,1.0323630451109322e-10,5.464449199255815e-10
wing_max_real,80,41,5.163647983054533e-11,2.733194705086451e-10
wing_max_real,80,42,2.5749775011626793e-11,1.3629734046532213e-10
wing_max_real,80,43,1.280203281315108e-11,6.776303964576046e-11
wing_max_real,80,44,6.345490241197382e-12,3.358761167557162e-11
wing_max_real,80,45,3.1355963067920486e-12,1.6597171711040992e-11
wing_max_real,80,46,1.544641011827963e-12,8.176011704597602e-12
wing_max_real,80,47,7.585194582139089e-13,4.014954880152225e-12
wing_max_real,80,48,3.712891219433711e-13,1.9652878458835526e-12
wing_max_real,80,49,1.8114802706696288e-13,9.588431086725595e-13
wing_max_real,80,50,8.808358335207327e-14,4.662393416688978e-13
wing_max_real,80,51,4.2682954259278384e-14,2.259271448436279e-13
wing_max_real,80,52,2.0609321313350116e-14,1.090881641698444e-13
wing_max_real,80,53,9.91441134944241e-15,5.247843519401819e-14
wing_max_real,80,54,4.751167373151472e-15,2.5148626610281388e-14
wing_max_real,80,55,2.267726999356863e-15,1.2003412021044242e-14
wing_max_real,80,56,1.0778407975009151e-15,5.705169621018581e-15
wing_max_real,80,57,5.100304924767367e-16,2.69966629414856e-15
wing_max_real,80,58,2.402180296208848e-16,1.2715093065614357e-15
