panel,basis,fixed_momentum,reference_energy_real,reference_energy_imag,winding
normal_eq11_square,kx_fixed_ky_integrated,-1.4529866022852793,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.4268066635053644,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.4006267247254496,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.3744467859455345,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.3482668471656196,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.3220869083857048,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.2959069696057897,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.2697270308258748,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.24354709204596,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.2173671532660448,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.19118721448613,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.165007275706215,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.1388273369263002,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.1126473981463851,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.08646745936647,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.0602875205865554,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.0341075818066403,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-1.0079276430267252,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.9817477042468106,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.9555677654668955,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.9293878266869804,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.9032078879070657,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.8770279491271507,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.8508480103472356,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.8246680715673209,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.7984881327874058,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.7723081940074907,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.7461282552275761,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.719948316447661,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,-0.6937683776677459,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.6675884388878313,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.6414085001079162,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.6152285613280011,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.5890486225480864,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.5628686837681713,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.5366887449882562,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.5105088062083416,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.4843288674284265,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.4581489286485114,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.4319689898685968,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.4057890510886817,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.3796091123087666,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.35342917352885195,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.32724923474893686,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.30106929596902177,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.2748893571891071,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.24870941840919203,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.22252947962927694,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.1963495408493623,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.1701696020694472,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.1439896632895321,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.11780972450961746,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.09162978572970237,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.06544984694978728,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.039269908169872636,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,-0.013089969389957545,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.013089969389957545,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.03926990816987219,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.06544984694978728,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.09162978572970237,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.11780972450961702,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.1439896632895321,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.1701696020694472,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.19634954084936185,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.22252947962927694,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.24870941840919158,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.2748893571891067,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.30106929596902177,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.3272492347489364,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.3534291735288515,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.3796091123087666,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.40578905108868124,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.43196898986859633,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.4581489286485114,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.48432886742842607,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.5105088062083412,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.5366887449882562,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.5628686837681709,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.589048622548086,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.6152285613280011,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.6414085001079157,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.6675884388878308,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.6937683776677459,0.0,0.0,1
normal_eq11_square,kx_fixed_ky_integrated,0.7199483164476606,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.7461282552275756,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.7723081940074907,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.7984881327874054,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.8246680715673205,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.8508480103472356,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.8770279491271502,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.9032078879070653,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.9293878266869804,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.9555677654668955,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,0.9817477042468106,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.0079276430267248,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.0341075818066399,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.060287520586555,0.0,0.0,0
