basis,boundary_length,site_count,region,probe_index,real_energy,imaginary_energy,finite_obc_potential,geometry_adaptive_potential,absolute_deviation,lu_ordering_spread,numerically_reliable
square,10,100,red,0,1.3599999999999999,0.48,0.5634651768858013,0.6218555780935194,0.0583904012077181,0.0,True
square,10,100,red,1,1.42,0.48,0.5717531911392666,0.6322032053803683,0.060450014241101746,,True
square,10,100,red,2,1.48,0.48,0.5971464118048512,0.6431746842824446,0.046028272477593446,,True
square,10,100,red,3,1.54,0.48,0.6157640900914396,0.654519985750284,0.03875589565884441,,True
square,10,100,red,4,1.5999999999999996,0.48,0.6317604093325758,0.6661401311275489,0.03437972179497306,,True
square,10,100,red,5,1.6599999999999997,0.48,0.6462628967814388,0.6790992815940596,0.032836384812620856,,True
square,10,100,red,6,1.7199999999999998,0.48,0.6598182485751894,0.6925325940966025,0.03271434552141306,,True
square,10,100,red,7,1.3599999999999999,0.54,0.5856215161530467,0.6335940159920909,0.04797249983904417,,True
square,10,100,red,8,1.42,0.54,0.5984850041089961,0.644888942420968,0.04640393831197187,,True
square,10,100,red,9,1.48,0.54,0.6152941596394855,0.6566175171088023,0.04132335746931681,,True
square,10,100,red,10,1.54,0.54,0.6320916584631285,0.6697407784040991,0.03764911994097053,,True
square,10,100,red,11,1.5999999999999996,0.54,0.6477830361228514,0.6828608374250024,0.03507780130215099,,True
square,10,100,red,12,1.6599999999999997,0.54,0.6625695174711987,0.6960357414369435,0.033466223965744724,4.440892098500626e-16,True
square,10,100,red,13,1.7199999999999998,0.54,0.6768180999548861,0.7093096261768024,0.03249152622191631,,True
square,10,100,red,14,1.3599999999999999,0.5999999999999996,0.6061396390394489,0.6487320332673713,0.04259239422792238,,True
square,10,100,red,15,1.42,0.5999999999999996,0.619522095381391,0.6612267940006419,0.04170469861925086,,True
square,10,100,red,16,1.48,0.5999999999999996,0.6343297598731604,0.6741176621108157,0.03978790223765527,,True
square,10,100,red,17,1.54,0.5999999999999996,0.6496342948677573,0.6869390324475794,0.03730473757982211,,True
square,10,100,red,18,1.5999999999999996,0.5999999999999996,0.6647207364992077,0.6998564574978114,0.03513572099860374,,True
square,10,100,red,19,1.6599999999999997,0.5999999999999996,0.6794339202706499,0.7128256476231007,0.033391727352450884,,True
square,10,100,red,20,1.7199999999999998,0.5999999999999996,0.6938985525666846,0.725820983127275,0.03192243056059041,,True
square,10,100,red,21,1.3599999999999999,0.6599999999999997,0.6253307102244993,0.6662701219173373,0.04093941169283799,,True
square,10,100,red,22,1.42,0.6599999999999997,0.6388340917513593,0.6787762636217445,0.03994217187038518,,True
square,10,100,red,23,1.48,0.6599999999999997,0.6529782771733297,0.6913400019301279,0.03836172475679822,,True
square,10,100,red,24,1.54,0.6599999999999997,0.6674953573647028,0.7039938440530633,0.03649848668836053,1.1102230246251565e-16,True
square,10,100,red,25,1.5999999999999996,0.6599999999999997,0.6820719710538614,0.7164715415127095,0.03439957045884812,,True
square,10,100,red,26,1.6599999999999997,0.6599999999999997,0.6965649687643675,0.7295890809741382,0.03302411220977075,,True
square,10,100,red,27,1.7199999999999998,0.6599999999999997,0.7109904236624307,0.7425610626009757,0.03157063893854495,,True
square,10,100,red,28,1.3599999999999999,0.7199999999999998,0.6439228068579296,0.6837628726473295,0.039840065789399914,,True
square,10,100,red,29,1.42,0.7199999999999998,0.6574264406249836,0.6960677041629091,0.03864126353792552,,True
square,10,100,red,30,1.48,0.7199999999999998,0.6712543630529183,0.708344345449393,0.03708998239647465,,True
square,10,100,red,31,1.54,0.7199999999999998,0.6853324271691335,0.7208961632943363,0.035563736125202805,,True
square,10,100,red,32,1.5999999999999996,0.7199999999999998,0.6995341432329503,0.7335544790202901,0.03402033578733987,,True
square,10,100,red,33,1.6599999999999997,0.7199999999999998,0.7137774753880657,0.7462449041474529,0.03246742875938724,,True
square,10,100,red,34,1.7199999999999998,0.7199999999999998,0.7280507627804451,0.7590350108083745,0.03098424802792943,,True
square,10,100,red,35,1.3599999999999999,0.7799999999999998,0.6622438561992131,0.7011067144103978,0.038862858211184736,,True
square,10,100,red,36,1.42,0.7799999999999998,0.6756644653661289,0.7130841724387076,0.03741970707257869,4.440892098500626e-16,True
square,10,100,red,37,1.48,0.7799999999999998,0.6892723602658601,0.7254985020045583,0.0362261417386982,,True
square,10,100,red,38,1.54,0.7799999999999998,0.7030557532239148,0.7378287576552635,0.034773004431348675,,True
