geometry,real_energy,imag_energy,potential,density_raw,density_clipped,phi_cylinder_1,phi_cylinder_2,mu_1,mu_2
rhombus,-2,-3,1.2133271475620173,0,0,1.2164902632638763,1.2133271475620173,-0.39726384519701513,-0.68767970269641365
rhombus,-1.3999999999999999,-3,1.1508751450160986,0,0,1.1508751450160986,1.1515318285418794,-0.41862734787233458,-0.67494500069604602
rhombus,-0.80000000000000004,-3,1.1266811373054642,0,0,1.1400223002134404,1.1266811373054642,-0.48181938376293376,-0.741338695109649
rhombus,-0.20000000000000018,-3,1.1465708045445773,0,0,1.1553894895153074,1.1465708045445773,-0.53154973826315355,-0.11098528493222981
rhombus,0.39999999999999991,-3,1.1875096232228675,0,0,1.1885317914304727,1.1875096232228675,-0.66724911104985152,-0.87139645206085625
rhombus,1,-3,1.2324750068289096,0,0,1.2324750068289096,1.2357419372907066,-0.73729625140423183,-0.92747103349795124
rhombus,1.5999999999999996,-3,1.299586653176203,0,0,1.299586653176203,1.2999689372923142,-0.77855738810660702,-0.07870101254315387
rhombus,2.2000000000000002,-3,1.3704922488031372,0,0,1.3704922488031372,1.3704922491972027,0.16749738403045875,-0.47166990763550193
rhombus,2.7999999999999998,-3,1.4482373352101936,0,0,1.4482583355287735,1.4482373352101936,0.06139978054146631,-0.98134933883409903
rhombus,3.3999999999999995,-3,1.5138224496471746,0,0,1.5308544842316092,1.5138224496471746,-1.0137571502191056,-1.0773687833157921
rhombus,4,-3,1.6156894414953644,0,0,1.6156894414953644,1.6168705406210331,-1.1388405374717896,-0.47210906167668282
rhombus,-2,-2.3999999999999999,1.0230583410860623,0,0,1.0230935030925603,1.0230583410860623,0.14392803839462362,-0.30420847561270514
rhombus,-1.3999999999999999,-2.3999999999999999,0.92739023412653832,0.063931843206891492,0.063931843206891492,0.92739023412653832,0.92820417567433,0.14406667814588037,-0.42432754912291493
rhombus,-0.80000000000000004,-2.3999999999999999,0.94071207566349702,-0.0058737515372393372,0,0.94071207566349702,0.94115284945911137,0.58371955728590907,-0.46037673417817576
rhombus,-0.20000000000000018,-2.3999999999999999,0.97445046831412652,-0.0047685969225705954,0,0.9750575946813832,0.97445046831412652,0.14359899944074758,-0.26564833050116454
rhombus,0.39999999999999991,-2.3999999999999999,1.024529117807214,-0.0050024143524102825,0,1.0253783328388817,1.024529117807214,0.1440300807978139,-0.22276957875553663
rhombus,1,-2.3999999999999999,1.0892073066620096,-0.0036388866430551491,0,1.0892073066620096,1.0892074414351733,0.14311066621723645,-0.52132607111231366
rhombus,1.5999999999999996,-2.3999999999999999,1.1636799244084166,-0.0024487358041102645,0,1.1636799244084166,1.1640110379466284,-0.61544826365189553,-0.88800418100867662
rhombus,2.2000000000000002,-2.3999999999999999,1.2417938224663096,0.010833815189729657,0.010833815189729657,1.2417938224663096,1.249039454456339,-0.69857065824368192,-0.52123989942373528
rhombus,2.7999999999999998,-2.3999999999999999,1.3375953613452789,-0.00016971957157251645,0,1.3395764541183626,1.3375953613452789,-0.78829159906062796,-0.97472201483932108
rhombus,3.3999999999999995,-2.3999999999999999,1.4383169795221504,-0.0096471348052631321,0,1.4388494723274958,1.4383169795221504,0.20408485057399664,-0.98216175128768046
rhombus,4,-2.3999999999999999,1.5362971426846603,0,0,1.5387865384126871,1.5362971426846603,0.0028978488457779283,0.07945600181510977
rhombus,-2,-1.8,0.93145525030355836,0,0,0.93262779208387581,0.93145525030355836,0.14381199446397108,-0.15315717038815291
rhombus,-1.3999999999999999,-1.8,0.73952579718393729,0.12895313900637195,0.12895313900637195,0.73952579718393729,0.74724003890899782,0.14416809456783108,-0.35844800987530484
rhombus,-0.80000000000000004,-1.8,0.72104034993940902,0.052177913892855511,0.052177913892855511,0.72198283717402023,0.72104034993940902,0.14410203124888224,-0.46147258931964541
rhombus,-0.20000000000000018,-1.8,0.77520356311810512,-0.00016656893729621037,0,0.77520356311810512,0.77863175812339525,0.57942757308018267,-0.51467919917543936
rhombus,0.39999999999999991,-1.8,0.83563387834043656,0.016714112795948088,0.016714112795948088,0.84730559436426922,0.83563387834043656,0.61032613140476255,-0.3212105063190403
rhombus,1,-1.8,0.92791420993104901,-0.0056977987272939738,0,0.92803821567475775,0.92791420993104901,0.14353904371840415,-0.73279405097621542
rhombus,1.5999999999999996,-1.8,1.0185930054319461,0.00060192556293823174,0.00060192556293823174,1.0191916545156474,1.0185930054319461,0.14406854867915153,-0.79263616824684879
rhombus,2.2000000000000002,-1.8,1.1199132679398969,-0.011037538798962026,0,1.1199132679398969,1.1199133403680859,0.14393568719773384,-0.49588319320614915
rhombus,2.7999999999999998,-1.8,1.2216494115558216,0.0062488283029738835,0.0062488283029738835,1.2289445302010213,1.2216494115558216,0.14318047846919368,-0.8943740887752154
rhombus,3.3999999999999995,-1.8,1.3437316595721565,-0.0054185785709901088,0,1.3440961546455212,1.3437316595721565,0.14719159219203587,-0.10358399189911872
rhombus,4,-1.8,1.4611527990820823,0,0,1.4612974883305436,1.4611527990820823,-0.83455892184374447,-0.95236909850229678
rhombus,-2,-1.2000000000000002,0.87810982469539134,0,0,0.87810982469539134,0.87872358894744396,0.35009489440184016,-0.60528544148051389
rhombus,-1.3999999999999999,-1.2000000000000002,0.66990248296127186,0.05484016863724836,0.05484016863724836,0.66990248296127186,0.67339956805862355,0.14356576389443784,-0.30389379739259148
rhombus,-0.80000000000000004,-1.2000000000000002,0.54674362448721026,0.11564285324774354,0.11564285324774354,0.54674362448721026,0.57763210773395113,0.14384169432037047,-0.40793149063732209
rhombus,-0.20000000000000018,-1.2000000000000002,0.56931278581864564,0.039711085898085578,0.039711085898085578,0.56931278581864564,0.58590505157772954,0.37204304695424961,-0.4300634787153565
rhombus,0.39999999999999991,-1.2000000000000002,0.65269505496451363,0.0028358693012246121,0.0028358693012246121,0.65269505496451363,0.65793710733230881,0.49144049618269214,-0.51582397141325087
rhombus,1,-1.2000000000000002,0.75533453220102786,-0.0026853976297458171,0,0.75533453220102786,0.75537401379393843,0.51542168826774526,-0.40784842040228597
rhombus,1.5999999999999996,-1.2000000000000002,0.86422614299552669,-0.0063490506630943799,0,0.8642827256414134,0.86422614299552669,0.52347377132495898,-0.67533475077890459
rhombus,2.2000000000000002,-1.2000000000000002,0.97265050772624773,0.01007532153538462,0.01007532153538462,0.98201619678694962,0.97265050772624773,0.59287365616642473,-0.29783880358011067
rhombus,2.7999999999999998,-1.2000000000000002,1.0994918739908741,0.0071660539585101388,0.0071660539585101388,1.1082855657296506,1.0994918739908741,-0.40991666931586607,-0.80005292490615809
rhombus,3.3999999999999995,-1.2000000000000002,1.2415509121538759,-0.0048294093048807333,0,1.2415509121538759,1.2463813506596211,-0.51892200477660133,-0.20796768616259043
rhombus,4,-1.2000000000000002,1.371676338151032,0,0,1.3842542059301262,1.371676338151032,-0.69264533399591621,-0.90318929818409921
rhombus,-2,-0.60000000000000009,0.84911025963009523,0,0,0.84911281042692055,0.84911025963009523,0.14354272751116506,-0.39620937665797656
rhombus,-1.3999999999999999,-0.60000000000000009,0.63927622453548016,0.034979942345257559,0.034979942345257559,0.64102859727941186,0.63927622453548016,0.14378945986637609,-0.28323187836106334
rhombus,-0.80000000000000004,-0.60000000000000009,0.48829685073587142,0.043242765651545993,0.043242765651545993,0.48829685073587142,0.52234877282135872,0.14369506316502687,-0.36226653817950416
rhombus,-0.20000000000000018,-0.60000000000000009,0.39243326082567265,0.138783076902808,0.138783076902808,0.39243326082567265,0.4881690289784994,0.14355823569383597,-0.41363266530459164
rhombus,0.39999999999999991,-0.60000000000000009,0.45691360873549747,0.041744433443497327,0.041744433443497327,0.45691360873549747,0.52512663399408921,0.28898252104078914,-0.43050315256803529
rhombus,1,-0.60000000000000009,0.57042849457780687,0.0070111935515818182,0.0070111935515818182,0.57042849457780687,0.5769414119134092,0.33603371177282143,-0.50172329571821028
rhombus,1.5999999999999996,-0.60000000000000009,0.69596531236016346,-0.0015160686948990872,0,0.69596531236016346,0.70050431185153716,0.3588527030005999,-0.52805253809824471
rhombus,2.2000000000000002,-0.60000000000000009,0.82976058638373917,0.0021009884317847827,0.0021009884317847827,0.82976058638373917,0.83459356531325524,0.38485011537618891,-0.47194827261243688
rhombus,2.7999999999999998,-0.60000000000000009,0.9783258967068752,-0.0015206625044405753,0,0.98181959652502582,0.9783258967068752,0.14415211011405962,-0.37683636766342343
rhombus,3.3999999999999995,-0.60000000000000009,1.140379910410199,-0.0047070983279000203,0,1.1440101758637597,1.140379910410199,0.54968322894098798,-0.71711919601279994
rhombus,4,-0.60000000000000009,1.3194996007433923,0,0,1.3194996007433923,1.3195000552783696,0.14467454891076528,-0.48650955123231543
rhombus,-2,0,0.83945444719487683,0,0,0.83946206468465634,0.83945444719487683,0.14406949932127067,-0.64627676649566912
