state_index,real_energy,imaginary_energy
0,6.9074721818010065,-4.568920585780886e-10
1,6.9011983885226,-4.5689205858889666e-10
2,6.890753976704538,-4.5689205858349263e-10
3,6.8761567904492065,-4.5689205858349263e-10
4,6.857431768804455,-4.5689205858349263e-10
5,6.834610903155659,-4.5689205858349263e-10
6,6.807733182568983,-4.5689205858349263e-10
7,6.77684452717917,-4.5689205858349263e-10
8,6.741997709735814,-4.5689205858349263e-10
9,6.7032522654419715,-4.5689205858349263e-10
10,6.6606743902393,-4.5689205858349263e-10
11,6.614336827713327,-4.5689205858349263e-10
12,6.564318744812348,-4.5689205858349263e-10
13,6.51070559659196,-4.5689205858349263e-10
14,6.453588980216564,-4.5689205858349263e-10
15,6.39306647846717,-4.5689205858349263e-10
16,6.3292414930226615,-4.5689205858349263e-10
17,6.2622230678001385,-4.5689205858349263e-10
18,6.192125702654883,-4.5689205858349263e-10
19,6.1190691577592915,-4.5689205858349263e-10
20,6.043178248994951,-4.5689205858349263e-10
21,5.964582634706351,-4.5689205858349263e-10
22,5.883416594182153,-4.5689205858349263e-10
23,5.79981879824102,-4.5689205858349263e-10
24,5.7139320723150275,-4.5689205858349263e-10
25,5.62590315243469,-4.5689205858349263e-10
26,5.535882434532981,-4.5689205858349263e-10
27,5.444023717496364,-4.5689205858349263e-10
28,5.350483940402015,-4.5689205858349263e-10
29,5.255422914389998,-4.5689205858349263e-10
30,5.159003049628649,-4.5689205858349263e-10
31,5.0613890778395,-4.5689205858349263e-10
32,4.962747770855934,-4.5689205858349263e-10
33,4.86324765569624,-4.5689205858349263e-10
34,4.7630587266381115,-4.5689205858349263e-10
35,4.662352154786212,-4.5689205858349263e-10
36,4.561299995629231,-4.5689205858349263e-10
37,4.460074895085983,-4.5689205858349263e-10
38,4.358849794542738,-4.5689205858349263e-10
39,4.2577976353857565,-4.5689205858349263e-10
40,4.157091063533855,-4.5689205858349263e-10
41,4.056902134475726,-4.5689205858349263e-10
42,3.957402019316038,-4.5689205858349263e-10
43,3.8587607123324643,-4.5689205858349263e-10
44,3.76114674054332,-4.5689205858349263e-10
45,3.6647268757819687,-4.5689205858349263e-10
46,3.569665849769951,-4.5689205858349263e-10
47,3.476126072675603,-4.5689205858349263e-10
48,2.012677608370969,-4.5689205858349263e-10
49,2.018951401649368,-4.5689205858349263e-10
50,2.0293958134674326,-4.5689205858349263e-10
51,2.0439929997227684,-4.5689205858349263e-10
52,2.0627180213675205,-4.5689205858349263e-10
53,2.085538887016309,-4.5689205858349263e-10
54,2.1124166076029907,-4.5689205858349263e-10
55,2.143305262992804,-4.5689205858349263e-10
56,2.1781520804361563,-4.5689205858349263e-10
57,2.216897524729994,-4.5689205858349263e-10
58,2.2594753999326724,-4.5689205858349263e-10
59,2.305812962458646,-4.5689205858349263e-10
60,2.3558310453596274,-4.5689205858349263e-10
61,2.40944419358,-4.5689205858349263e-10
62,2.4665608099553924,-4.5689205858349263e-10
63,2.527083311704824,-4.5689205858349263e-10
64,2.590908297149298,-4.5689205858349263e-10
