state,geometry,x,y,probability,probability_over_max
A_normal,square,0,0,0.30013910779350755,1.0
A_normal,square,1,0,0.12797620947614852,0.42638965117533023
A_normal,square,2,0,0.019064931494285783,0.06352031774347197
A_normal,square,3,0,0.053020566240004424,0.17665330796039413
A_normal,square,4,0,0.015558796595748872,0.05183861813320627
A_normal,square,5,0,0.011224359045670384,0.03739718935058813
A_normal,square,6,0,0.008469859319961902,0.02821977909586202
A_normal,square,7,0,0.003699589802051092,0.012326250415178716
A_normal,square,8,0,0.0026683219897686043,0.00889028427313238
A_normal,square,9,0,0.0014825009519790914,0.004939379485991662
A_normal,square,10,0,0.0008098138205224579,0.002698128299493717
A_normal,square,11,0,0.0004850117885520025,0.0016159566546245794
A_normal,square,12,0,0.0002592220078412219,0.0008636728807082475
A_normal,square,13,0,0.00014140013814280218,0.0004711153410907183
A_normal,square,14,0,7.722782346885086e-05,0.00025730676697414176
A_normal,square,15,0,3.9770269305761726e-05,0.00013250612223823641
A_normal,square,16,0,2.0875724060961523e-05,6.95534954256071e-05
A_normal,square,17,0,1.0594390873281676e-05,3.5298268696695475e-05
A_normal,square,18,0,5.266073641341553e-06,1.754544311154731e-05
A_normal,square,19,0,2.607122159705069e-06,8.68637938878242e-06
A_normal,square,20,0,1.2486264967198986e-06,4.160159287136084e-06
A_normal,square,21,0,5.935866108236825e-07,1.9777049888215957e-06
A_normal,square,22,0,2.756645261661774e-07,9.184558726543281e-07
A_normal,square,23,0,1.2580238950523073e-07,4.19146942996117e-07
A_normal,square,24,0,5.641918465223373e-08,1.8797678538795923e-07
A_normal,square,25,0,2.4803536527768047e-08,8.264013546955904e-08
A_normal,square,26,0,1.0726240415549647e-08,3.57375634731652e-08
A_normal,square,27,0,4.5439899950455125e-09,1.5139613189533863e-08
A_normal,square,28,0,1.898132554584738e-09,6.324176041366234e-09
A_normal,square,29,0,7.762790837920266e-10,2.5863976524048913e-09
A_normal,square,30,0,3.1343192223966233e-10,1.0442888450754644e-09
A_normal,square,31,0,1.245352210622204e-10,4.1492500586727697e-10
A_normal,square,32,0,4.870310556676593e-11,1.6226844253922797e-10
A_normal,square,33,0,1.8928852280880863e-11,6.306693059774039e-11
A_normal,square,34,0,7.241465404064376e-12,2.4127030486964816e-11
A_normal,square,35,0,2.7655559415828757e-12,9.21424722660783e-12
