geometry,real_energy,imaginary_energy
square,-0.0795117128703815,19.59787977982895
square,-0.07710632426767923,19.575495435631904
square,-0.07951171287493407,-19.597879779828045
square,-0.02888511827907835,-19.226301600161374
square,-0.07710632425845634,-19.575495435625864
square,-0.04035529367139018,-19.298307092775374
square,-0.07935462580737669,-19.55009464240521
square,-0.07890087906907084,-19.541495008267397
square,-0.08158931905160245,-19.575564611082342
square,-0.07122518056141194,-19.51435228718589
square,-0.07908002900796676,-19.538183307209415
square,-0.08110596069318972,-19.39986747872214
square,-0.09160954413988012,-19.47073993039734
square,-0.06562374244483006,-19.470105358924247
square,-0.05937725655062267,-19.42080820756721
square,-0.08670425398458906,-19.514638271796777
square,-0.07879144182331099,-19.487693938513395
square,-0.0784963441984636,-19.487640653332146
square,-0.0793546258128814,19.55009464245644
square,-0.08158931905156502,19.575564611082594
square,-0.07890087906434687,19.541495008166276
square,-0.07122518052389548,19.51435228722113
square,-0.07740340851089321,19.319123184428673
square,-0.0790800290077032,19.53818330720946
square,-0.050207846251166637,19.36337005381239
square,-0.10561733042378581,19.364506914907157
square,-0.06562374241218644,19.47010535874094
square,-0.09160954419610731,19.470739930428532
square,-0.05937725676411748,19.420808207986965
square,-0.07813757080626847,19.4214306418534
square,-0.08670425398444176,19.514638271797377
square,-0.07879144183128611,19.487693938641677
square,-0.07849634419917047,19.487640653332157
square,-0.07862740984476117,19.461566882298275
square,-0.07862740984524391,-19.46156688229812
square,-0.10561733046500127,-19.3645069149307
square,-0.050207846895055364,-19.363370054011337
square,-0.09734306916155969,-19.421705738460997
square,-0.07813757080513536,-19.42143064201973
square,-0.07812948987170468,-19.421316429038264
square,-0.07740340865289472,-19.31912318387741
square,-0.07500448826361986,-19.39946008709951
square,-0.07821220014498784,-19.350827684591092
square,-0.07749849892977898,-19.34054256949666
square,-0.07752599337833764,-19.34053882701802
square,-0.07749849890872326,19.34054256967741
square,-0.08110596069151274,19.399867478448947
square,-0.09734306916213026,19.421705738460982
square,-0.07812948987247004,19.42131642903746
square,-0.07500448826088212,19.399460087099506
square,-0.12500592703861138,-19.22822367900056
square,-0.07645726100220736,-19.2239876880684
square,-0.0767798949457426,-19.245396358513606
square,-0.08737430150778819,-19.278119053350487
square,-0.0771905293814907,-19.320119320023103
