geometry,real_energy,imaginary_energy,potential,density,positive_density
square,-2.0,-20.0,2.837983131202367,0.0,0.0
square,-1.96,-20.0,2.837023921851759,0.0,0.0
square,-1.92,-20.0,2.8360481762318015,0.0,0.0
square,-1.88,-20.0,2.8350766568951604,0.0,0.0
square,-1.84,-20.0,2.834109498923031,0.0,0.0
square,-1.8,-20.0,2.8331468453447357,0.0,0.0
square,-1.76,-20.0,2.8321888478148347,0.0,0.0
square,-1.72,-20.0,2.831235667363269,0.0,0.0
square,-1.68,-20.0,2.8302874752280114,0.0,0.0
square,-1.6400000000000001,-20.0,2.829344453781114,0.0,0.0
square,-1.6,-20.0,2.8284067975607186,0.0,0.0
square,-1.56,-20.0,2.8274747144235475,0.0,0.0
square,-1.52,-20.0,2.8265484268346786,0.0,0.0
square,-1.48,-20.0,2.8256281733141315,0.0,0.0
square,-1.44,-20.0,2.8247142100629508,0.0,0.0
square,-1.4,-20.0,2.823806812795252,0.0,0.0
square,-1.3599999999999999,-20.0,2.8227756013517555,0.0,0.0
square,-1.3199999999999998,-20.0,2.821847712398223,0.0,0.0
square,-1.28,-20.0,2.8211266316786214,0.0,0.0
square,-1.24,-20.0,2.8202492046488334,0.0,0.0
square,-1.2,-20.0,2.819379617327662,0.0,0.0
square,-1.1600000000000001,-20.0,2.81851879761097,0.0,0.0
square,-1.12,-20.0,2.8174666846513508,0.0,0.0
square,-1.08,-20.0,2.816825463451455,0.0,0.0
square,-1.04,-20.0,2.8159933807122073,0.0,0.0
square,-1.0,-20.0,2.8151737105923305,0.0,0.0
square,-0.96,-20.0,2.8143650917545697,0.0,0.0
square,-0.9199999999999999,-20.0,2.8135690082687734,0.0,0.0
square,-0.8799999999999999,-20.0,2.812786339269462,0.0,0.0
square,-0.8400000000000001,-20.0,2.8120180634442073,0.0,0.0
square,-0.8,-20.0,2.81126527325052,0.0,0.0
square,-0.76,-20.0,2.8105291913167796,0.0,0.0
square,-0.72,-20.0,2.8098111892827125,0.0,0.0
square,-0.6799999999999999,-20.0,2.8091128092918436,0.0,0.0
square,-0.6399999999999999,-20.0,2.8084357882421926,0.0,0.0
square,-0.5999999999999999,-20.0,2.8077820846900643,0.0,0.0
square,-0.56,-20.0,2.8071330029465593,0.0,0.0
square,-0.52,-20.0,2.8064377170765757,0.0,0.0
square,-0.48,-20.0,2.8059844050766714,0.0,0.0
square,-0.43999999999999995,-20.0,2.805449012936154,0.0,0.0
square,-0.3999999999999999,-20.0,2.8048680951040073,0.0,0.0
square,-0.3599999999999999,-20.0,2.8044882347064455,0.0,0.0
square,-0.32000000000000006,-20.0,2.804083023700718,0.0,0.0
square,-0.28,-20.0,2.8037010220263174,0.0,0.0
square,-0.24,-20.0,2.8033873034975265,0.0,0.0
square,-0.19999999999999996,-20.0,2.803164933961123,0.0,0.0
square,-0.15999999999999992,-20.0,2.8029536634976253,0.0,0.0
square,-0.11999999999999988,-20.0,2.802845448615544,0.0,0.0
square,-0.08000000000000007,-20.0,2.8028027448954176,0.0,0.0
square,-0.040000000000000036,-20.0,2.802750125523632,0.0,0.0
square,0.0,-20.0,2.80289839530194,0.0,0.0
square,0.040000000000000036,-20.0,2.803045779042617,0.0,0.0
square,0.08000000000000007,-20.0,2.8031444435607824,0.0,0.0
square,0.1200000000000001,-20.0,2.8035192912697844,0.0,0.0
square,0.16000000000000014,-20.0,2.8038475013531183,0.0,0.0
square,0.20000000000000018,-20.0,2.8041609732634556,0.0,0.0
square,0.2400000000000002,-20.0,2.804623053995995,0.0,0.0
square,0.28000000000000025,-20.0,2.8051014539095154,0.0,0.0
square,0.31999999999999984,-20.0,2.8056005489969293,0.0,0.0
square,0.3599999999999999,-20.0,2.805926864743399,0.0,0.0
square,0.3999999999999999,-20.0,2.8066974528187196,0.0,0.0
square,0.43999999999999995,-20.0,2.8072924370761925,0.0,0.0
square,0.48,-20.0,2.807911872872728,0.0,0.0
square,0.52,-20.0,2.808289905569107,0.0,0.0
square,0.56,-20.0,2.8092201501600536,0.0,0.0
square,0.6000000000000001,-20.0,2.8099052672040523,0.0,0.0
square,0.6400000000000001,-20.0,2.8106088963272646,0.0,0.0
square,0.6800000000000002,-20.0,2.811329652054507,0.0,0.0
square,0.7200000000000002,-20.0,2.8120662984301226,0.0,0.0
square,0.7600000000000002,-20.0,2.8128177302314628,0.0,0.0
square,0.8000000000000003,-20.0,2.8135829565920263,0.0,0.0
square,0.8399999999999999,-20.0,2.8143610867884856,0.0,0.0
square,0.8799999999999999,-20.0,2.8151504980607656,0.0,0.0
square,0.9199999999999999,-20.0,2.8156239421007188,0.0,0.0
square,0.96,-20.0,2.816765248328431,0.0,0.0
square,1.0,-20.0,2.817587692217523,0.0,0.0
square,1.04,-20.0,2.8184197114812415,0.0,0.0
square,1.08,-20.0,2.819260808726671,0.0,0.0
