state,length,inverse_length,eigenvalue_real,eigenvalue_imag,kappa,fit_r_squared,fit_point_count,peak_site,normalized_residual
wing_max_real,20,0.05,1.8985653933244098,8.286675233486528e-17,0.23201412095759677,0.9740973079596816,8,2,2.2177354712115902e-15
central_max_imag,20,0.05,-7.138522256851167e-17,0.1615097165265595,0.23499935175232745,0.9030055915551952,10,0,1.2788611882506487e-15
wing_max_real,30,0.03333333333333333,1.907108559454796,4.613957714643149e-16,0.2537184010481946,0.9818412656599603,13,2,1.9294739492943314e-15
central_max_imag,30,0.03333333333333333,4.1978196193365115e-16,0.25922459509556894,0.1500804650166342,0.9518538039498037,15,0,1.419260446882234e-15
wing_max_real,40,0.025,1.9102163230361453,-5.365425321541379e-16,0.26894165690555605,0.9868965483306609,18,2,1.2572814042001502e-15
central_max_imag,40,0.025,1.1301772161346727e-15,0.3100654605329345,0.11079745960962183,0.9657632943202803,20,0,1.5273246034540197e-15
wing_max_real,50,0.02,1.9116843644315693,-1.8431436932253575e-13,0.2798942456190593,0.9900887405171531,23,2,3.648718684303558e-15
central_max_imag,50,0.02,1.159475056150475e-16,0.3412213501694008,0.08794228550306016,0.9725087270286621,25,0,1.6372245072257493e-15
wing_max_real,60,0.016666666666666666,1.912491978911513,4.509521547930242e-15,0.28810643937360547,0.992211413118672,28,2,3.0392028066500032e-15
central_max_imag,60,0.016666666666666666,-5.5163097226805367e-17,0.362279753049364,0.07294508121106394,0.9765452979350256,30,0,1.898666833998702e-15
wing_max_real,70,0.014285714285714285,1.9129831781454498,7.703590532813026e-15,0.29448507651702205,0.9936954207495459,33,2,1.5805772227176616e-15
central_max_imag,70,0.014285714285714285,-1.0454736798948466e-15,0.37746787559268624,0.062334192466323365,0.979245260444364,35,0,1.951645090257243e-15
wing_max_real,80,0.0125,1.9133040000237158,-3.5498631543053953e-13,0.2911921664676422,0.9939825223198695,33,2,2.1987516813466642e-15
central_max_imag,80,0.0125,-6.32015054644239e-17,0.38894118274021194,0.0544258738980249,0.9811821052776256,40,0,2.078917573298484e-15
wing_max_real,100,0.01,1.9136836652288072,1.0047462021122705e-09,0.2891378049538365,0.9944759646956813,34,2,2.8224213166541983e-15
central_max_imag,100,0.01,-5.167407781654539e-17,0.4051250263338512,0.043419285046791836,0.9837791014970576,50,0,2.294769390159324e-15
wing_max_real,120,0.008333333333333333,1.913891260752094,-1.1785621804647269e-11,0.28710375624315493,0.9946303840025518,34,2,2.00716115529853e-15
central_max_imag,120,0.008333333333333333,1.2261347600502895e-15,0.41599449007564576,0.03612003309796959,0.9854420345305389,60,0,2.6805580667748387e-15
