basis,region,inverse_length,site_count,mean_absolute_deviation,provenance
square,red,0.008333333333333333,14400,0.09706988607116993,author_released_ed_recomputed_observable
square,yellow,0.008333333333333333,14400,0.052122648248684976,author_released_ed_recomputed_observable
square,green,0.008333333333333333,14400,0.0468660033854911,author_released_ed_recomputed_observable
square,cyan,0.008333333333333333,14400,0.07300810795559286,author_released_ed_recomputed_observable
square,global_coarse,0.008333333333333333,14400,0.02981341648886054,author_released_ed_recomputed_observable
square,red,0.008695652173913044,13225,0.09152236495677676,author_released_ed_recomputed_observable
square,yellow,0.008695652173913044,13225,0.047889411673788344,author_released_ed_recomputed_observable
square,green,0.008695652173913044,13225,0.043529546496016674,author_released_ed_recomputed_observable
square,cyan,0.008695652173913044,13225,0.06754199380502003,author_released_ed_recomputed_observable
square,global_coarse,0.008695652173913044,13225,0.02768318609557214,author_released_ed_recomputed_observable
square,red,0.00909090909090909,12100,0.08586137125279802,author_released_ed_recomputed_observable
square,yellow,0.00909090909090909,12100,0.04361135570731049,author_released_ed_recomputed_observable
square,green,0.00909090909090909,12100,0.040279799798911345,author_released_ed_recomputed_observable
square,cyan,0.00909090909090909,12100,0.06195984628216205,author_released_ed_recomputed_observable
square,global_coarse,0.00909090909090909,12100,0.025609343229870355,author_released_ed_recomputed_observable
square,red,0.009523809523809525,11025,0.07945068745003599,author_released_ed_recomputed_observable
square,yellow,0.009523809523809525,11025,0.038934406619939355,author_released_ed_recomputed_observable
square,green,0.009523809523809525,11025,0.03664050694461845,author_released_ed_recomputed_observable
square,cyan,0.009523809523809525,11025,0.05590034087416354,author_released_ed_recomputed_observable
square,global_coarse,0.009523809523809525,11025,0.023328228571367397,author_released_ed_recomputed_observable
square,red,0.01,10000,0.07314779749104607,author_released_ed_recomputed_observable
square,yellow,0.01,10000,0.034223944162417246,author_released_ed_recomputed_observable
square,green,0.01,10000,0.03285222060508588,author_released_ed_recomputed_observable
square,cyan,0.01,10000,0.04965041728832799,author_released_ed_recomputed_observable
square,global_coarse,0.01,10000,0.02104063645773604,author_released_ed_recomputed_observable
square,red,0.010526315789473684,9025,0.0663843418206484,author_released_ed_recomputed_observable
