target_id,n_sites,thermal_ratio,mechanism,gamma_rec,gamma_abs,gamma_deph,eta_mean,eta_sem,samples,parameter_match,artifact_stage
T004,6,0.029999999999999995,rescue,0.025,8.345594488412497e-17,0.0,0.5321769183830526,0.004592215454423644,15,paper_subset,exploratory
T004,6,0.029999999999999995,both,0.025,8.345594488412497e-17,0.5,0.7338947812473214,0.0028289096295576817,15,paper_subset,exploratory
T004,6,0.029999999999999995,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.046197795781784755,rescue,0.025,9.935232481095305e-12,0.0,0.5321769183545468,0.004592215454781289,15,paper_subset,exploratory
T004,6,0.046197795781784755,both,0.025,9.935232481095305e-12,0.5,0.7338947812313725,0.002828909629849009,15,paper_subset,exploratory
T004,6,0.046197795781784755,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.07114121116984964,rescue,0.025,1.964526354997205e-08,0.0,0.5321768620212397,0.004592216163002899,15,paper_subset,exploratory
T004,6,0.07114121116984964,both,0.025,1.964526354997205e-08,0.5,0.7338947497106735,0.002828910204372249,15,paper_subset,exploratory
T004,6,0.07114121116984964,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.1095522381764513,rescue,0.025,2.714385672931313e-06,0.0,0.5321691310144767,0.004592313360764746,15,paper_subset,exploratory
T004,6,0.1095522381764513,both,0.025,2.714385672931313e-06,0.5,0.7338904238579028,0.0028289890508222965,15,paper_subset,exploratory
T004,6,0.1095522381764513,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.1687023975571047,rescue,0.025,6.662188121691992e-05,0.0,0.5319858678862627,0.004594619435805735,15,paper_subset,exploratory
T004,6,0.1687023975571047,both,0.025,6.662188121691992e-05,0.5,0.7337878504032705,0.002830858456169465,15,paper_subset,exploratory
T004,6,0.1687023975571047,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.25978929700801956,rescue,0.025,0.0005323801605002651,0.0,0.5306550169868037,0.004611480667301317,15,paper_subset,exploratory
T004,6,0.25978929700801956,both,0.025,0.0005323801605002651,0.5,0.7330412731921954,0.0028444543489784054,15,paper_subset,exploratory
T004,6,0.25978929700801956,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.4000564296489972,rescue,0.025,0.002052848745438539,0.0,0.5263680205080749,0.004667120938818558,15,paper_subset,exploratory
T004,6,0.4000564296489972,both,0.025,0.002052848745438539,0.5,0.7306159801152317,0.002888490372380431,15,paper_subset,exploratory
T004,6,0.4000564296489972,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.6160575079371438,rescue,0.025,0.004931537181530011,0.0,0.5184847293046331,0.004774321330024479,15,paper_subset,exploratory
T004,6,0.6160575079371438,both,0.025,0.004931537181530011,0.5,0.726073417898015,0.002970399659522451,15,paper_subset,exploratory
T004,6,0.6160575079371438,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,0.9486832980505137,rescue,0.025,0.008712713418717537,0.0,0.5085681090233706,0.004916985497648859,15,paper_subset,exploratory
T004,6,0.9486832980505137,both,0.025,0.008712713418717537,0.5,0.720202287646401,0.0030750720275563837,15,paper_subset,exploratory
T004,6,0.9486832980505137,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,1.460902575497589,rescue,0.025,0.012608453260707746,0.0,0.49883525594273453,0.005063946609903651,15,paper_subset,exploratory
T004,6,1.460902575497589,both,0.025,0.012608453260707746,0.5,0.7142633537526575,0.003179465426399245,15,paper_subset,exploratory
T004,6,1.460902575497589,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,2.2496826279973674,rescue,0.025,0.016028504698248833,0.0,0.4906670889913689,0.005191467431214855,15,paper_subset,exploratory
T004,6,2.2496826279973674,both,0.025,0.016028504698248833,0.5,0.7091388420931827,0.003268253017859743,15,paper_subset,exploratory
T004,6,2.2496826279973674,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,3.464345954068374,rescue,0.025,0.01873177070474378,0.0,0.4844440653922913,0.005290619626770083,15,paper_subset,exploratory
T004,6,3.464345954068374,both,0.025,0.01873177070474378,0.5,0.7051457699692399,0.003336564588359235,15,paper_subset,exploratory
T004,6,3.464345954068374,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,5.334838230116768,rescue,0.025,0.02072682420048021,0.0,0.47997679755260353,0.005362638290613761,15,paper_subset,exploratory
T004,6,5.334838230116768,both,0.025,0.02072682420048021,0.5,0.7022306261031831,0.003385935079254798,15,paper_subset,exploratory
T004,6,5.334838230116768,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,8.215258902793083,rescue,0.025,0.022134801883763808,0.0,0.4768858029685042,0.005412803518586799,15,paper_subset,exploratory
T004,6,8.215258902793083,both,0.025,0.022134801883763808,0.5,0.7001893026921614,0.003420249110906973,15,paper_subset,exploratory
T004,6,8.215258902793083,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
